NATURAL GAS EXPORTS - SUMMARY,,,,,,,,Table 1
EXPORTATION DE GAZ NATUREL - SOMMAIRE,,,,,,,,
,,,,,,,,
,,- - - - - - -Month/Mois- - - - - -,,Variation,,- - - - - - - Cumulative to date - - - - - -,,Variation
,,1999-11-01 00:00:00,2000-11-01 00:00:00,% Change,,1999/11-1999/11,2000/11-2000/11,% Change
,,,,,,,,
Volume (Millions M3),Long-term / Long terme,2038.4,1974.4,-0.031,,2038.4,1974.4,-0.031
,Short-term / Court terme,6191,7235.2,0.169,,6191,7235.2,0.169
,Total,8229.4,9209.5,0.119,,8229.4,9209.5,0.119
,,,,,,,,
Revenue/Recettes (Millions $CDN),Long-term / Long terme,305.3,467.8,0.532,,305.3,467.8,0.532
,Short-term / Court terme,887.6,1883.2,1.122,,887.6,1883.2,1.122
,Total,1193,2351,0.971,,1193,2351,0.971
,,,,,,,,
Avg. price/Prix moyen ($CDN/GJ),Long-term / Long terme,3.95,6.26,0.583,,3.95,6.26,0.583
,Short-term / Court terme,3.78,6.86,0.815,,3.78,6.86,0.815
,Total,3.82,6.73,0.761,,3.82,6.73,0.761
,,,,,,,,
,,,,,,,,
Volume (BCF),Long-term / Long terme,72,69.7,-0.031,,72,69.7,-0.031
,Short-term / Court terme,218.5,255.4,0.169,,218.5,255.4,0.169
,Total,290.5,325.1,0.119,,290.5,325.1,0.119
,,,,,,,,
Revenue/Recettes (Millions $US),Long-term / Long terme,208.1,303.3,0.458,,208.1,303.3,0.458
,Short-term / Court terme,604.9,1221.1,1.019,,604.9,1221.1,1.019
,Total,813,1524.4,0.875,,813,1524.4,0.875
,,,,,,,,
Avg. price/Prix moyen ($US/MMBTU),Long-term / Long terme,2.89,4.36,0.506,,2.89,4.36,0.506
,Short-term / Court terme,2.76,4.77,0.727,,2.76,4.77,0.727
,Total,2.8,4.68,0.675,,2.8,4.68,0.675
,,,,,,,,
