,12-13 LAR Exceptional Items Summary -- DRAFT  06/24,,,,,,,,,,,
Ranking,Agency Priority,"Exceptional Item Name/Strategy
(in strategy order)",EI Name,Short EI Name,Division,Divisional Priority,BOARD Description,Short Description,FY12,FY13,Biennium Total,MOF
9,Exceptional Item Request #9,"Texas High School Completion and Success Initiatives (HB2237)

A.1.3. College Readiness Admin ($300,000/yr)",Texas High School Completion and Success Initiatives (HB2237),Transfer HB2237 Funds (Admin),A1.3.,1st,"The 81st Texas Legislature moved the statutory responsibility for Mathematics, Science, Technology Teacher Preparatory Academies and the Intensive Programs from the public education section to the higher education section of the Texas Education Code but did not appropriate funding to the Coordinating Board. Currently, funding is provided to TEA under General Appropriations Act, Senate Bill 1, 81st Texas Legislature, Section 51 (pages III-19 and 20), Texas High School Completion and Success Initiative.  In turn, TEA provides the Coordinating Board with funding through a Memorandum of Understanding. TEA has indicated they will not request funding in the 2012-2013 LAR since they have no statutory authority for these two programs. Therefore, the Coordinating Board would need to seek this appropriation in order to fund these programs for the 2012-2013.  The amounts indicated above represent administrative funds. The requested grant funds are shown in Strategy E.1.10.",Provides a direct appropriation to THECB of GR funds for Texas High School Completion and Success Initiative (HB 2237). These funds are currently appropriated to TEA and then transferred to CB via MOU. TEA has indicated that they will not request these funds in 12-13.,300000,300000,600000,GR
10,Exceptional Item Request #10,"National Student Clearinghouse Data
A.3.1. Planning and Information",National Student Clearing House Data,National Student Clearing House Data,A.3.1.,3rd,"To enhance the capability of research in the area of college access and success, this purchase of matching records from the National Student Clearing house would provide increased coverage of student higher education attendance patterns. Currently the longitudinal tracking is limited to only students attending higher education institutions in the state.",Provides funds to purchase matching records from NSCH to provide increased coverage of student higher education attendance patterns.,250000,250000,500000,GR
6,Exceptional Item Request #6,Teach for Texas Loan Repayment Program -- B.1.6.,Teach for Texas Loan Repayment Program,Teach for Texas Loan Repay Program,B.1.6.,5th,"The number of applications for participation in this program has increased by 76% during the past four years, and yet the funding has increased by 16% during that period. Funding for the FY2010-2011 biennium ($11.2 million) was sufficient for only 1,124 of approximately 5,000 applicant teachers in FY2010  (22%).  Staff recommends raising the funding level by $19,378,557 per year over the base funding, to provide loan repayment for 5,000 teachers. (Note: For FY10 receipts from borrower payments applied to TFT conditional grants will provide loan repayment funds for approximately 200 additional teachers. This source of funds will diminish over the next few years as the loans in these portfolios are paid-in-full or go into default.)","Provides loan repayment for 5,000 additional teachers.",19378557,19378557,38757114,GR
1,Exceptional Item Request #1,"TEXAS Grants
B.1.9. Student Financial Aid",TEXAS Grants,TEXAS Grants,B.1.9.,1st,"CB staff recommends increased funding for this program by $148.33 million.  This will enable us to keep the number of new students added to the program level with the numbers added for the 2010/2011 biennium and increase the overall number of students by over 17,000 students for the biennium.","Keeps the number of new students added to the program level with the numbers added for the 2010/2011 biennium and increases the overall number of students by over 17,000 students for the biennium.",53365819,94963455,148329274,
2,Exceptional Item Request #2,"Texas Education Opportunity Grants (TEOG)
B.1.9. Student Financial Aid",Texas Education Opportunity Grants (TEOG),Texas Education Opportunity Grants,B.1.9.,2nd,"CB staff recommends that the Legislature substantially increase funding for the TEOG by $10 million.  This will enable an additional 2,630 new students to enter the program during the 2012/2013 biennium and overall fund an additional 4,090 students for the biennium.","Provides funding for an additional 2,630 new students to enter the program during the 2012/2013 biennium and overall funding for an additional 4,090 students for the biennium.",4706947,5293053,10000000,
3,Exceptional Item Request #3,"Texas College Work Study
B.1.9. Student Financial Aid",Texas College Work Study,Texas College Work Study,B.1.9.,3rd,"CB staff recommends doubling the funding over the 2010-2011 biennium, which was $15 million.  This increase will enable an additional 6,024 students to participate in the program each year of the biennium.","Provides funding for an additional 6,024 students to participate in the program each year of the biennium (double the funding over the 2010-2011 biennium).",7500000,7500000,15000000,
4,Exceptional Item Request #4,"Tuition Equalization Grants (TEG) 
B.1.9.",Tuition Equalization Grants (TEG),Tuition Equalization Grants,B.1.9.,4th,"CB staff recommends that the Legislature  increase funding for the TEG by $10,587,465.  This will enable the number of students served by the program to remain relatively steady for the 2012/2013 biennium.",Provides funding to enable the number of students served by the program to remain relatively steady for the 2012/2013 biennium.,5293732,5293733,10587465,
5,Exceptional Item Request #5,Higher Education Performance Incentive Initiative,Higher Education Performance Incentive Initiative,Higher Ed Perf Incentive Initiative,B.1.12.,1st,"The incentive funding was originally appropriated by rider in FY 2009 as General Revenue funds and then funded during the FY 2010-11 biennium through federal American Recovery and Reinvestment (ARRA) funds, which will not be available for FY 2012-13. This request would restore the General Revenue funding for this program.",Restores GR that was replaced by ARRA funds in 10-11.,40000000,40000000,80000000,GR
