"UNIVERSITY OF HAWAI‘I, WINDWARD COMMUNITY COLLEGE",,,,,,,,,,,,,,,,,,,,,,
PEER GROUP  1/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,Asnuntuck Community College,,,Enfield,,CT,,,Associate of Arts Colleges,,,Associate's Colleges,,,128577.0,,,11150.0,,,www.acc.commnet.edu
,2.0,Atlanta Metropolitan College,,,Atlanta,,GA,,,Associate of Arts Colleges,,,Associate's Colleges,,,138901.0,,,12165.0,,,www.atlm.edu
,3.0,Big Bend Community College,,,Moses Lake,,WA,,,Associate of Arts Colleges,,,Associate's Colleges,,,234711.0,,,3770.0,,,www.bbcc.ctc.edu
,4.0,Carroll Community College,,,Westminster,,MD,,,Associate of Arts Colleges,,,Associate's Colleges,,,405872.0,,,31007.0,,,www.carrollcc.edu
,5.0,College of the Siskiyous,,,Weed,,CA,,,Associate of Arts Colleges,,,Associate's Colleges,,,123484.0,,,1187.0,,,www.siskiyous.edu
,6.0,Independence Community College,,,Independence,,KS,,,Associate of Arts Colleges,,,Associate's Colleges,,,155201.0,,,1924.0,,,www.indycc.edu
,7.0,"Kent State University, Stark Campus",,,Canton,,OH,,,Associate of Arts Colleges,,,Associate's Colleges,,,203465.0,,,3054.0,,,www.stark.kent.edu
,8.0,Mesabi Range Community & Technical College  2/,,,Virginia  3/,,MN,,,,,,Associate's Colleges,,,173531.0,,,5739.0,,,www.mr.mnscu.edu
,9.0,Richard Bland College,,,Petersburg,,VA,,,Associate of Arts Colleges,,,Associate's Colleges,,,233338.0,,,3707.0,,,www.rbc.edu
,10.0,South Mountain Community College,,,Phoenix,,AZ,,,Associate of Arts Colleges,,,Associate's Colleges,,,105792.0,,,21466.0,,,www.smc.maricopa.edu
,11.0,St. Johns River Community College,,,Palatka,,FL,,,Associate of Arts Colleges,,,Associate's Colleges,,,137281.0,,,1523.0,,,www.sjrcc.cc.fl.us
,12.0,Taft College,,,Taft,,CA,,,Associate of Arts Colleges,,,Associate's Colleges,,,124113.0,,,1309.0,,,www.taftcollege.edu
,13.0,University of Akron - Wayne College,,,Orrville,,OH,,,Associate of Arts Colleges,,,Associate's Colleges,,,200846.0,,,10818.0,,,www.wayne.uakron.edu
,14.0,University of South Carolina - Sumter,,,Sumter,,SC,,,Associate of Arts Colleges,,,Associate's Colleges,,,218690.0,,,3426.0,,,www.uscsumter.edu
,15.0,Western Oklahoma State College,,,Altus,,OK,,,Associate of Arts Colleges,,,Associate's Colleges,,,208035.0,,,3146.0,,,www.wosc.edu
,16.0,Whatcom Community College,,,Bellingham,,WA,,,Associate of Arts Colleges,,,Associate's Colleges,,,237039.0,,,10364.0,,,www.whatcom.ctc.edu
,,,,,,,,,,,,,,,,,,,,,,
,,"University of Hawai‘i, Windward Community College",,,Kane‘ohe,,HI,,,Associate of Arts Colleges,,,Associate's Colleges,,,141990.0,,,11220.0,,,www.wcc.hawaii.edu
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Note:  Windward Community College peer group listing was developed by the National Center for Higher Education Management Systems (NCHEMS) Information Service.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1/  Benchmark comparison group for Windward Community College is not available.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2/  Carnegie Foundation electronic data file does not list a 1994 classification.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3/  Mesabi Range Community & Technical College has two campus location (Virginia and Eveleth).  The Virginia campus is being listed here to match data published in the Higher Education Directory.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,
,,"Peer Group Listing:  University of Hawai‘i, Office of Planning & Policy, Revised April 1998",,,,,,,,,,,,,,,,,,,,
,,"Institution Names, Campus Locations, Unit ID, and FICE:  Higher Education Directory, 2004",,,,,,,,,,,,,,,,,,,,
,,"Carnegie Classifications:  Carnegie Foundation for the Advancement of Teaching, ""The Carnegie Classification of Institutions of Higher Education, 2000 Edition,"" Electronic Data File, 2000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Group Listing last updated:  April 1998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Institution Information last updated:  October 2004,,,,,,,,,,,,,,,,,,,,,
