,,REQUEST FOR SUPPLEMENTAL REVENUE,,,,,,,,,,,,
,,"CITY  OF  KANSAS  CITY,  MISSOURI",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,DEPARTMENT:,,,Finance,,,,,,,,
,,,,,,,,,,,,,,
BUSINESS UNIT:,,,,KCMBU,,DATE:,,39317.0,,JOURNAL ID:,,,,
,,,,,,,,,,,,,,
LEDGER GROUP:,,,,,REVENUE,,,,,,,,,
,,,,,,,,,,,,,,
,,FUND,,DEPT ID,,ACCOUNT,,PROJECT,,AMOUNT,,INC/DEC,,
,,,,,,,,,,,,,,
08,,8200.0,,800000.0,,590350.0,,,,517300.0,,I,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTAL,,517300.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DESCRIPTION:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
APPROVED BY:,,,,,,DATE,,APPROVED BY:  DEPARTMENT HEAD,,,,,,DATE
