2012 High-Priority Occupations for Three Rivers Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
SOC Code,SOC Title,Educational Attainment,Annual Average,Entry Level,Exper. Level,Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,115110,59840,142740,4690,4370,-0.0682,113
11-2022,Sales Managers,BD+,114740,61050,141580,1320,1330,0.0076,30
11-3051,Industrial Production Managers,BD+,101100,64470,119410,550,510,-0.0727,19
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1022,Wholesale & Retail Buyers,LT OJT,63350,41830,74120,1390,1280,-0.0791,31
13-1023,Purchasing Agents,LT OJT,58660,39320,68320,1560,1510,-0.0321,33
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,58840,36650,69930,2120,2120,N/A,54
13-1051,Cost Estimators,BD,61040,42470,70320,1590,1760,0.1069,49
13-1081,Logisticians,BD+,74050,52000,85070,530,590,0.11320000000000001,14
13-1111,Management Analysts,BD+,93520,56260,112150,3640,3580,-0.0165,62
13-1151,Training & Development Specialists,BD,54320,35300,63830,N/A,N/A,N/A,N/A
13-1161,Market Research Analysts & Marketing Specialists,BD,60030,39330,70380,N/A,N/A,N/A,N/A
13-2011,Accountants & Auditors,BD,69330,41550,83220,9910,10330,0.0424,217
13-2052,Personal Financial Advisors,BD,88520,47160,109190,1670,1790,0.0719,27
13-2072,Loan Officers,MT OJT,74760,41800,91240,1960,1960,N/A,21
15-1121,Computer Systems Analysts,BD,73040,51270,83930,N/A,N/A,N/A,N/A
15-1131,Computer Programmers,BD,65080,43760,75740,N/A,N/A,N/A,N/A
15-1132,"Software Developers, Applications",BD,80490,52080,94690,N/A,N/A,N/A,N/A
15-1133,"Software Developers, Systems Software",BD,89650,60660,104140,N/A,N/A,N/A,N/A
15-1142,Network & Computer Systems Administrators,BD,72210,47890,84360,N/A,N/A,N/A,N/A
15-1150,Computer Support Specialists,PS,47710,31180,55970,N/A,N/A,N/A,N/A
17-2051,Civil Engineers,BD,80120,56750,91800,2810,2760,-0.0178,74
17-2112,Industrial Engineers,BD,80750,58340,91960,1260,1470,0.16670000000000001,51
17-2141,Mechanical Engineers,BD,83720,60010,95570,1380,1310,-0.0507,30
17-2199,"Engineers, Other",BD,100930,69210,116800,350,340,-0.0286,4
17-3011,Architectural & Civil Drafters,AD,47830,34180,54660,1010,850,-0.15839999999999999,29
17-3013,Mechanical Drafters,AD,52520,33220,62170,520,500,-0.0385,15
17-3023,Electrical & Electronic Engineering Technicians,AD,55700,34070,66520,940,970,0.0319,21
17-3025,Environmental Engineering Technicians,AD,44320,34420,49270,190,180,-0.0526,4
17-3026,Industrial Engineering Technicians,AD,52070,37740,59240,370,390,0.0541,9
19-4021,Biological Technicians,BD,37350,24300,43870,590,620,0.0508,24
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,37560,29420,41630,690,790,0.1449,25
21-1014,Mental Health Counselors,MD,43200,30410,49590,1220,1370,0.12300000000000001,39
21-1015,Rehabilitation Counselors,MD,37680,24850,44100,650,680,0.0462,16
21-1021,"Child, Family & School Social Workers",BD,38470,25790,44810,2010,2100,0.044800000000000006,51
21-1022,Healthcare Social Workers,MD,44900,34010,50350,1040,1040,N/A,23
21-1023,Mental Health & Substance Abuse Social Workers,BD,45820,32280,52590,840,960,0.1429,31
23-2011,Paralegals & Legal Assistants,AD,49620,31710,58570,1260,1360,0.0794,28
23-2091,Court Reporters,ST OJT,47780,36180,53570,90,90,N/A,2
25-1011,"Business Teachers, Postsecondary",PhD,105650,46760,135100,590,700,0.1864,21
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,68020,50000,77040,460,540,0.1739,16
25-1081,"Education Teachers, Postsecondary",PhD,74450,38960,92200,470,570,0.21280000000000002,17
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,45110,29830,52750,710,780,0.0986,19
25-2011,Preschool Teachers,AD,26750,18700,30770,1790,1950,0.0894,46
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,59750,45640,66810,N/A,N/A,N/A,N/A
25-2053,"Special Education Teachers, Middle School",BD,59310,44920,66500,N/A,N/A,N/A,N/A
25-2054,"Special Education Teachers, Secondary School",BD,58210,39350,67640,N/A,N/A,N/A,N/A
27-1014,Multimedia Artists & Animators,BD,50050,33860,58140,240,260,0.0833,8
27-1027,Set & Exhibit Designers,BD,35340,16980,44510,180,180,N/A,5
27-2022,Coaches & Scouts,LT OJT,26440,16780,31270,860,920,0.0698,27
27-4011,Audio & Video Equipment Technicians,PS,37850,24080,44740,270,290,0.0741,11
27-4012,Broadcast Technicians,AD,33120,21370,39000,140,130,-0.0714,5
27-4014,Sound Engineering Technicians,PS,52960,34060,62400,80,50,-0.375,2
27-4031,"Camera Operators: TV, Video & Motion Picture",BD,37580,29000,41870,140,120,-0.1429,3
27-4032,Film & Video Editors,BD+,44270,31120,50840,40,40,N/A,1
29-1031,Dietitians & Nutritionists,BD,48300,35220,54840,500,510,0.02,14
29-1051,Pharmacists,PROF,97380,71990,110070,1620,1920,0.1852,58
