Example Offer,,,,,,,,,,,
Wild Goose Storage Inc.,,,"April 1, 2004 Expansion Open Season",,,,Offer Sheet,,,,
,,,,,,,,,,,
Term,commencing at,2004-04-01 00:00:00,and ending on,2010-03-31 00:00:00,,,,,,,
,,,,,,,,,,,
Inventory Capacity :,,1000000,Dth.,,,"Offer Deadline is 2:00 MST, Tuesday May 22, 2001",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Maximum,Injection,Injection,Inventory,Inventory,Maximum Daily,Withdrawal,Withdrawal,Monthly,,
,Daily Injection,Demand,Demand,Demand,Demand,Withdrawal,Demand,Demand,Storage Demand,,
Month,Quantity,Rate,Charge (A),Rate,Charge (B),Quantity,Rate,Charge (C),Charge,,
,,,,,,,,,(A)+(B)+(C),,
,Dth/day/month,$US/Dth/day/month,$US/month,$US/Dth/month,$US/month,Dth/day/month,$US/Dth/day/month,$US/month,$US/month,,
Rack Rate:,,3,,0.03,,,2,,,,
April,10000,4,40000,0.03,30000,10000,2,20000,90000,,Rack Rate
May,10000,4,40000,0.03,30000,10000,2,20000,90000,,
June,10000,4,40000,0.03,30000,10000,2,20000,90000,,994000
July,8000,3,24000,0.03,30000,10000,2,20000,74000,,
August,8000,3,24000,0.03,30000,10000,2,20000,74000,,
September,10000,3,30000,0.03,30000,10000,2,20000,80000,,
October,10000,4,40000,0.03,30000,10000,2,20000,90000,,
November,10000,3,30000,0.03,30000,15000,3,45000,105000,,
December,8000,3,24000,0.03,30000,20000,3,60000,114000,,
January,8000,3,24000,0.03,30000,20000,3,60000,114000,,
February,8000,3,24000,0.03,30000,15000,3,45000,99000,,
March,8000,3,24000,0.03,30000,15000,2,30000,84000,,
,,,,,Total Storage Demand Charge (US$),,,,1104000,"Annual Demand charge effective April 1, 2004",
,,,,,,,,,,,
,,,,,Rack Rate,,,,1.1106639839034205,,
Injection Commodity Rate:,,,0.02,$US/Dth,0.02,$US/Dth,,,of Rack Rate,,
Withdrawal Commodity Rate:,,,0.02,$US/Dth,0.02,$US/Dth,,,,,
,,,,,,,,,,,
"This offer is open for acceptance by Wild Goose Storage Inc. until 2:00 pm MST, Thursday June 28, 2001.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Fax Offer Sheets to: 403-290-8192,,,,,
,,,,,,Attention: Ben Ledene,,,,,
Company Name,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Per:,,,,,,,,,,,
,,,,,,,,"3900, 421 - 7th Avenue S.W.",,,
,,,,,,,,"Calgary, Alberta",,,
,,,,,,,,Canada,,,
Name:,,,,,,,,T2P 4K9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Title:,,,,,,,,,,,
,,,,,,,,,,,
