Table 6.,"Change in HICP-based annual inflation rate, 1996-2013",,,,,,,,,,,,,,,
,"Harmonized Indexes of Consumer Prices (HICP), percentage point change in inflation from the previous year",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,United States,Austria,Belgium,Denmark,Euro Area,European Union,France,Germany,Italy,Japan,Nether-lands,Norway,Spain,Sweden,Switzer-land,United Kingdom
Year,,,,,,,,,,,,,,,,
1996.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998.0,NA,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-1.0,0.2,-0.9,-0.1,-0.6,-0.1,-0.8,NA,-0.2
1999.0,NA,-0.3,0.2,0.8,0.0,-0.1,-0.1,0.1,-0.4,-1.1,0.2,0.0,0.4,-0.4,NA,-0.3
2000.0,1.4,1.5,1.6,0.6,1.0,0.7,1.2,0.7,0.9,-0.5,0.3,1.1,1.3,0.7,NA,-0.4
2001.0,-1.1,0.3,-0.3,-0.4,0.3,0.3,0.0,0.4,-0.1,0.0,2.8,-0.4,-0.7,1.4,NA,0.3
2002.0,-1.4,-0.6,-0.8,0.2,-0.2,-0.1,0.1,-0.4,0.2,-0.3,-1.2,-1.9,0.8,-0.8,NA,0.1
2003.0,1.4,-0.4,-0.1,-0.5,-0.1,-0.1,0.3,-0.4,0.2,0.9,-1.7,1.1,-0.5,0.4,NA,0.1
2004.0,0.5,0.7,0.4,-1.2,0.0,0.0,0.1,0.8,-0.6,0.3,-0.8,-1.3,0.0,-1.3,NA,-0.1
2005.0,1.1,0.1,0.6,0.9,0.1,0.2,-0.4,0.1,0.0,-0.4,0.1,0.9,0.3,-0.2,NA,0.7
2006.0,-0.7,-0.4,-0.2,0.1,0.0,0.0,0.0,-0.1,0.0,0.7,0.2,1.0,0.2,0.7,NA,0.3
2007.0,-0.6,0.5,-0.5,-0.1,-0.1,0.1,-0.3,0.5,-0.1,-0.2,-0.1,-1.8,-0.8,0.2,-0.2,0.0
2008.0,1.8,1.0,2.7,2.0,1.2,1.4,1.6,0.5,1.4,1.5,0.6,2.7,1.3,1.6,1.6,1.3
2009.0,-5.3,-2.8,-4.5,-2.7,-3.0,-2.7,-3.1,-2.6,-2.8,-3.1,-1.2,-1.1,-4.3,-1.4,-3.2,-1.5
2010.0,3.4,1.3,2.3,1.2,1.3,1.1,1.6,0.9,1.0,0.7,-0.1,0.1,2.2,0.0,1.5,1.2
2011.0,1.4,1.9,1.1,0.5,1.1,1.0,0.6,1.4,1.2,0.5,1.6,-1.2,1.1,-0.5,-0.6,1.2
2012.0,-1.7,-1.0,-0.8,-0.3,-0.2,-0.5,-0.1,-0.3,0.4,0.3,0.3,-0.8,-0.7,-0.5,-0.9,-1.7
2013.0,-0.9,-0.5,-1.4,-2.0,-1.2,-1.1,-1.2,-0.6,-2.0,0.5,-0.2,1.5,-0.9,-0.5,0.9,-0.3
,,,,,,,,,,,,,,,,
Note: The HICP is an internationally comparable measure of consumer price inflation.,,,,,,,,,,,,,,,,
Underlying HICPs are from the national statistical agencies of the countries compared and from the European Commission (Eurostat). Inflation rates are calculated by The Conference Board.,,,,,,,,,,,,,,,,
NA means data not available.,,,,,,,,,,,,,,,,
"For more information, see Technical Notes and",,,,Country Notes,,,,,,,,,,,,
"Source: The Conference Board, International Labor Comparisons program",,,,,,,,,,,,,,,,
