UNIVERSITY OF MIAMI ACADEMIC CALENDAR FOR 2006-2007,,,,,,
,,,Subject to Change,,,
FALL SEMESTER 2006,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2007,,
"Aug. 8,",Tue.,,Deadline for Readmission,,"Dec. 28,",Thu.
,,,INTERSESSION,,Jan.  2-12,
"Aug. 18,",Fri.,,International Student Orientation Begins,,"Jan.  9,",Tue.
"Aug.  19,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan.  10,",Wed.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan.  15,",Mon.
"Aug. 23,",Wed.,,CLASSES BEGIN,,"Jan.  16,",Tue.
"Aug.  24,",Thu.,,Late Registration Fees in Effect,,"Jan.  17,",Wed.
"Sept. 1,",Fri.,,Last Day for Registration and to Add a Course,,"Jan.  24,",Wed.
"Sept. 4,",Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 8,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Jan. 31,",Wed.
"Sept. 8,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Jan. 31,",Wed.
"Sept.  19,",Tue.,,Last Day to Apply for Graduation,,"Feb.  9,",Fri.
"Sept.  25,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 4,",Wed.,,Academic Alert Grades Due in EASY,,"Feb. 26,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar.  10-18,
"Oct.26,",Thu.,,Last Day to Drop a Course,,"Mar. 26,",Mon.
"Oct.30,",Mon.,,Registration Appointments Available on EASY,,"Apr. 2,",Mon.
"Nov. 6,",Mon.,,Registration for Spring 2007* (Begins),,,
,,,Registration for Fall Semester 2007 & Summer 2007* (Begins),,"Apr.  9,",Mon.
"Nov.  17,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr.  13,",Fri.
Nov. 23-26,,,<THANKSGIVING RECESS>,,,
"Nov.  27,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr.  20,",Fri.
"Dec. 1,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"Apr.  27,",Fri.
Dec. 2-5,,,Reading Days,,Apr.  28 – May 1,
Dec.6 - 13,,,FINAL EXAMS,,May  2 - 10,
,,,Honors Day Convocation (Spring),,"May 10,",Thu.
"Dec. 13,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 10,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec.  14,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May  11,",Fri.
TBA,Fri.,,Housing Closes at NOON for Commencement Participants,,"May  12,",Sat.
"Dec.  19,",Tues.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May  14,",Mon.
"Dec. 22,",Fri.,,Final Grades Available to Students in EASY,,"May  17,",Thu.
,,,,,,
FIRST SUMMER SESSION 2007,,,- 25 Class Days/85 Minutes Per Class -,SECOND SUMMER SESSION 2007,,
Apr.  9 - May 15,,,Registration for Summer Sessions*,,Apr.  9 - Jun.  26,
"May  4,",Fri.,,Deadline for Readmission,,"Jun.  15,",Fri.
"May  15,",Tue.,,Housing Available,,"Jun.  26,",Tue.
"May  15,",Tue.,,Academic Advising for New Students*/Registration,,"Jun.  26,",Tue.
"May  16,",Wed.,,CLASSES BEGIN,,"Jun.  27,",Wed.
"May  18,",Fri.,,Last Day for Registration and to Add a Course,,Jun.  29,Fri.
,,,HOLIDAY (INDEPENDENCE DAY),,"Jul.   4,",Wed.
"May  22,",Tue.,,"Last Day To Drop a Course Without a ""W""",,"Jul.   5,",Thu.
"May  22,",Tue.,,Last Day to Make a Change in Credit-Only Designation,,"Jul.   5,",Thu.
"May  28,",Mon.,,HOLIDAY (MEMORIAL DAY),,,
"May 30,",Wed.,,Last Day to Drop a Course,,"Jul.  11,",Wed.
"Jun   1,",Fri.,,Last Day to Apply for Graduation,,"Jul.  20,",Fri.
"Jun.  11,",Mon.,,Theses/Dissertations Due In The Graduate School Office,,"Jul.  23,",Mon.
"Jun.  13,",Wed.,,Magna/Summa Theses Due in Honors Program Office,,"Jul.  25,",Wed.
"Jun.  20,",Wed.,,CLASSES END,,"Aug.  1,",Wed.
"Jun.  21,",Thu.,,Reading Day,,"Aug.  2,",Thu.
"Jun.  22,",Fri.,,FINAL EXAMS FOR ALL CLASSES - SESSION ENDS,,"Aug.  3,",Fri.
"Jun.  23,",Sat.,,Housing Closes At NOON,,"Aug.  4,",Sat.
"Jun.  25,",Mon.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"Aug.  6,",Mon.
"Jun.  28,",Thu.,,Final Grades Available to Students in EASY,,"Aug.  9,",Thu.
*As Scheduled By Appointment,,,,,,
,,,"Updated November 14, 2003",,,
Most up-to-date calendars available at: http://www.miami.edu/registrar,,,,,,
