2001 Rank,NAME OF EMPLOYER,EMPLOYEES(1),BUSINESS,2000 Rank
1,HARVARD UNIVERSITY,8403,HIGHER EDUCATION,1
2,MASSACHUSETTS INST. OF TECHNOLOGY,7426,HIGHER EDUCATION,2
3,CITY OF CAMBRIDGE,3018,GOVERNMENT,3
4,CAMBRIDGE PUBLIC HEALTH COMM.,1729,MEDICAL,7
5,LOTUS DEVELOPMENT CORP./IBM,1620,COMPUTER SOFTWARE,5
6,FEDERAL GOVERNMENT,1484.5,GOVERNMENT,6
7,MT AUBURN HOSPITAL,1476,MEDICAL,4
8,MILLENIUM PHARMACEUTICALS,1348,BIOTECHNOLOGY,8
9,BIOGEN INC.,1155,BIOTECHNOLOGY,11
10,GENZYME CORPORATION,1112,BIOTECHNOLOGY,13
11,DRAPER LABORATORY INC.,1044,RESEARCH & DEVELOPMENT,10
12,COMMONWEALTH OF MASSACHUSETTS,930,GOVERNMENT,9
13,"CAMP, DRESSER, MCKEE",750,ENGINEERING CONSULTANTS,16
14,ARTHUR D. LITTLE INC.,694,MANAGEMENT CONSULTING,12
15,NECCO/HAVILAND,647,CONFECTIONARY PRODUCTS,18
16,WYETH GENETICS INSTITUTE,638,BIOTECHNOLOGY,20
17,MODERN CONTINENTAL COMPANIES,633,CONSTRUCTION MANAGEMENT,23
18,QUEST DIAGNOSTICS,632,CLINICAL TESTING SERVICES,14
19,EF INTERNATIONAL,612,TRAVEL & EXCHANGE PROGRAMS,19
20,AKAMAI TECHNOLOGIES INC.(2),608,INTERNET NETWORK SERVICES,NA
21,WHITEHEAD INSTITUTE,562,RESEARCH & DEVELOPMENT,21
22,LESLEY UNIVERSITY,543,HIGHER EDUCATION,22
23,VERTEX PHARMACEUTICALS INC.(2),460,PHARMACEUTICAL PRODUCTS,30
24,MONITOR GROUP(2),451,MANAGEMENT CONSULTING,26
25,SHAWS SUPERMARKETS/STAR MARKET(2),440,RETAIL SUPERMARKET,28
