IGS Daily Update,,,,,,,,36906.0,,,,,IGS Daily Update,,,,,,,,,36906.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,36906.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Scheduled California Sendout (Dth),,,,,,,,,,,,,,,,,,,,
,,"as of  January 15,  2001",,,,,,,,,,,,,,,,,,,,
,,,,,Total,,Total,,Weekly Report,,,,,,,,,,,,,
,,,PG&E,SoCal,36906.0,,36905.0,Change,36902.0,,,,,,,,,,,,,
,Pipeline/Source of Gas:,,,,,,,,,,,,,,,,,,,,,
,California Production,,198300.0,326400.0,524700.0,,524900.0,-200.0,517100.0,,,,,,,,,,,,,
,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,,
,Topock,,654900.0,545000.0,1199900.0,,1154800.0,45100.0,962200.0,,,,,,,,,,,,,
,Ehrenberg,,,1272400.0,1272400.0,,1273200.0,-800.0,1304300.0,,,,,,,,,,,,,
,Kern/Mojave,,15300.0,484100.0,499400.0,,517500.0,-18100.0,425400.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1820400.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-347900.0,347900.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1820400.0,,1820400.0,,1662800.0,157600.0,1706500.0,,,,,,,,,,,,,
,Transwestern **,,278700.0,770900.0,1049600.0,,1051700.0,-2100.0,1055600.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,42700.0,,42700.0,,21400.0,21300.0,84400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,657000.0,570000.0,1227000.0,,522100.0,704900.0,1892000.0,,,,,,,,,,,,,
,Total,,3319400.0,4316700.0,7636100.0,,6728400.0,907700.0,7947500.0,,,,,PG&E System Status 1/15 = Low Inventory; 1/16 = Low Inventory; 1/17 = Within Limits; 1/18 = Within Limits;,,,,,,,,
,,*Total is reduced by the amount of Net Injection.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Nuclear: (Selected Plants of NRC Region 4): Diablo Canyon 1 and 2 are both at 58% (Increasing power following termination of storm condition) Palo Verde 3 at 99%: San Onofre 3 at 0% (Refueling outage - now defueled); all other selected plants at 100%.,,,,,,,,
,,"Available Capacities (Dth) as of  January 15,  2001",,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimated,,,,,,,,,,,,,,
,,,,,Available,,Scheduled,Available,,,,,,,,,,,,,,
,,,,,Capacity,,Volume,Capacity,,,,,,,,,,,,,,
,,El Paso Natural Gas:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,1156000.0,,654900.0,501100.0,,,,,,,,,,,,,,
,,SoCal:,,,,,,,,,,,,,,,,,,,,
,,Topock,,,545900.0,,545000.0,900.0,,,,,,,,,,,,,,
,,Ehrenberg,,,1281300.0,,1272400.0,8900.0,,,,,,,,,,,,,,
,,PG&E-GT NW/Malin,,,2078000.0,,1820400.0,257600.0,,,,,,,,,,,,,,
,,Transwestern:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,409000.0,*,278700.0,130300.0,,,,,,,,,,,,,,
,,SoCal,,,816000.0,,770900.0,45100.0,,,,,,,,,,,,,,
,,Kern Pipeline:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,306000.0,*,15300.0,290700.0,,,,,,,,,,,,,,
,,SoCal,,,491500.0,,484100.0,7400.0,,,,,,,,,,,,,,
,,California Production:,,,,,,,,,,,,,,,,,,,,
,,PG&E,,,,,198300.0,,,,,,,,,,,,,,,
,,SoCal (Incl Elk Hills),,,,,326400.0,,,,,,,,,,,,,,,
,,Storage:,,,,,,,,,,,,,,,,,,,,
,,PG&E & Wild Goose,,,,,699700.0,,,,,,,,,,,,,,,
,,SoCal,,,,,570000.0,,,,,,,,,,,,,,,
,,Total,,,,,7636100.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Line 300 *,,,1161000.0,,948900.0,212100.0,,,,,,,,,,,,,,
