STATE SENATE DISTRICT NO. 15,,,,
36837.0,"MacNeil, r","Larsen, d","Vogt, lib",Scatter
Concord Ward 1,600.0,989.0,51.0,1.0
Concord Ward 2,610.0,936.0,57.0,1.0
Concord Ward 3,472.0,876.0,34.0,2.0
Concord Ward 4,586.0,1261.0,76.0,5.0
Concord Ward 5,588.0,1361.0,48.0,1.0
Concord Ward 6,482.0,891.0,56.0,1.0
Concord Ward 7,641.0,1273.0,46.0,4.0
Concord Ward 8,502.0,872.0,56.0,0.0
Concord Ward 9,553.0,864.0,41.0,1.0
Concord Ward 10,871.0,1552.0,65.0,4.0
Hopkinton,1161.0,1830.0,106.0,1.0
Pembroke,1151.0,1659.0,92.0,4.0
,,,,
Totals,8217.0,14364.0,728.0,25.0
,,,,
STATE SENATE DISTRICT NO. 16,,,,
,"Gatsas, r","DeStefano, d","Blevens, lib",Scatter
Bow,1431.0,2319.0,125.0,4.0
Candia,1289.0,735.0,96.0,3.0
Chester,981.0,683.0,87.0,0.0
Dunbarton,607.0,586.0,45.0,0.0
Hooksett,2825.0,2082.0,170.0,6.0
Manchester Ward 1,2281.0,1960.0,112.0,0.0
Manchester Ward 2,2060.0,1659.0,104.0,6.0
Manchester Ward 12,1780.0,1628.0,132.0,2.0
,,,,
Totals,13254.0,11652.0,871.0,21.0
,,,,
STATE SENATE DISTRICT NO. 17,,,,
,"Barnes, Jr., r","Devine, d",Scatter,Mary Brown
Allenstown,856.0,782.0,2.0,6.0
Brentwood,869.0,542.0,1.0,0.0
Chichester,656.0,369.0,0.0,49.0
Danville,958.0,661.0,0.0,0.0
Deerfield,1265.0,545.0,3.0,37.0
Epping,1468.0,860.0,3.0,1.0
Epsom,1144.0,654.0,2.0,12.0
Fremont,943.0,450.0,8.0,1.0
Loudon,1216.0,693.0,2.0,14.0
Northwood,930.0,588.0,0.0,11.0
Raymond,2616.0,1068.0,2.0,0.0
Sandown,1067.0,1004.0,4.0,0.0
,,,,
Totals,13988.0,8216.0,27.0,131.0
