UNIVERSITY OF MIAMI ACADEMIC CALENDAR FOR 2005-2006,,,,,,
,,,Subject to Change,,,
FALL SEMESTER 2005,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2006,,
"Aug. 17,",Wed.,,Deadline for Readmission,,"Jan.  2,",Mon.
,,,INTERSESSION,,Jan.  2-13,
"Aug. 19,",Fri.,,International Student Orientation Begins,,"Jan.  10,",Tue.
"Aug. 20,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan.  11,",Wed.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan.  16,",Mon.
"Aug.  24,",Wed.,,CLASSES BEGIN,,"Jan.  17,",Tue.
"Aug.  25,",Thu.,,Late Registration Fees in Effect,,"Jan.  18,",Wed.
"Sept. 2,",Fri.,,Last Day for Registration and to Add a Course,,"Jan.  25,",Wed.
Sept. 5,Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 9,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Feb.  1,",Wed.
"Sept.  9,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Feb.  1,",Wed.
"Sept.  20,",Tue.,,Last Day to Apply for Graduation,,"Feb.  10,",Fri.
"Sept.  26,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 5,",Wed.,,Academic Alert Grades Due in EASY,,"Feb. 27,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar.  11-19,
"Oct. 27,",Thu.,,Last Day to Drop a Course,,"Mar. 27,",Mon.
Oct. 31,Mon.,,Registration Appointments Available on EASY,,"Apr. 3,",Mon.
"Nov. 7,",Mon.,,Registration for Spring 2006* (Begins),,,
,,,Registration for Fall Semester 2006 & Summer 2006* (Begins),,"Apr.  10,",Mon.
"Nov.  18,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr.  14,",Fri.
Nov. 24-27,,,<THANKSGIVING RECESS>,,,
"Nov.  28,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr.  21,",Fri.
"Dec. 2,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"Apr.  28,",Fri.
Dec. 3-6,,,Reading Days,,Apr.  29 – May 2,
Dec. 7-14,,,FINAL EXAMS,,May  3 - 11,
,,,Honors Day Convocation (Spring),,"May 11,",Thu.
"Dec.  14,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 11,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec. 15,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May  12,",Fri.
"Dec.  16,",Fri.,,Housing Closes at NOON for Commencement Participants,,"May  13,",Sat.
"Dec.  19,",Mon.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May  15,",Mon.
"Dec.  21,",Wed.,,Final Grades Available to Students in EASY,,"May  18,",Thu.
,,,,,,
FIRST SUMMER SESSION 2006,,,- 25 Class Days/85 Minutes Per Class -,SECOND SUMMER SESSION 2006,,
Apr.  10 - May 16,,,Registration for Summer Sessions*,,Apr.  10 - Jun.  27,
"May  3,",Wed.,,Deadline for Readmission,,"Jun.  14,",Wed.
"May  16,",Tue.,,Housing Available,,"Jun.  27,",Tue.
"May  16,",Tue.,,Academic Advising for New Students*/Registration,,"Jun.  27,",Tue.
"May  17,",Wed.,,CLASSES BEGIN,,"Jun.  28,",Wed.
"May  19,",Fri.,,Last Day for Registration and to Add a Course,,Jun. 30,Fri.
,,,HOLIDAY (INDEPENDENCE DAY),,"Jul.   4,",Tue.
"May  23,",Tue.,,"Last Day To Drop a Course Without a ""W""",,"Jul.   6,",Thu.
"May  23,",Tue.,,Last Day to Make a Change in Credit-Only Designation,,"Jul.   6,",Thu.
"May  29,",Mon.,,HOLIDAY (MEMORIAL DAY),,,
"May 31,",Wed.,,Last Day to Drop a Course,,"Jul.  12,",Wed.
"Jun   2,",Fri.,,Last Day to Apply for Graduation,,"Jul.  21,",Fri.
"Jun.  12,",Mon.,,Theses/Dissertations Due In The Graduate School Office,,"Jul.  24,",Mon.
"Jun.  14,",Wed.,,Magna/Summa Theses Due in Honors Program Office,,"Jul.  26,",Wed.
"Jun.  21,",Wed.,,CLASSES END,,"Aug.  2,",Wed.
"Jun.  22,",Thu.,,Reading Day,,"Aug.  3,",Thu.
"Jun.  23,",Fri.,,FINAL EXAMS FOR ALL CLASSES - SESSION ENDS,,"Aug.  4,",Fri.
"Jun.  24,",Sat.,,Housing Closes At NOON,,"Aug.  5,",Sat.
"Jun.  26,",Mon.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"Aug.  7,",Mon.
"Jun.  29,",Thu.,,Final Grades Available to Students in EASY,,"Aug.  10,",Thu.
*As Scheduled By Appointment,,,,,,
,,,"Updated November 14, 2003",,,
Most up-to-date calendars available at: http://www.miami.edu/registrar,,,,,,
