STATE SENATE DISTRICT NO. 1,,,
36837.0,"Burns, r","Presby, d",Scatter
Atkinson & Gilmanton Academy Grant,0.0,0.0,
Bean's Grant,0.0,0.0,
Bean's Purchase,0.0,0.0,
Berlin Ward 1,327.0,673.0,
Berlin Ward 2,385.0,658.0,
Berlin Ward 3,495.0,767.0,1.0
Berlin Ward 4,303.0,603.0,2.0
Bethlehem,454.0,601.0,3.0
Cambridge,1.0,0.0,
Carroll,241.0,175.0,
Chandler's Purchase,0.0,0.0,
Clarksville,72.0,36.0,
Colebrook,537.0,265.0,
Columbia,166.0,91.0,
Crawford's Purchase,0.0,0.0,
Cutt's Grant,0.0,0.0,
Dalton,264.0,132.0,
Dix's Grant,0.0,0.0,
Dixville,25.0,1.0,
Dummer,105.0,67.0,
Errol,108.0,43.0,
Erving's Location,0.0,0.0,
Franconia,306.0,293.0,1.0
Gorham,580.0,824.0,1.0
Green's Grant,0.0,0.0,
Hadley's Purchase,0.0,0.0,
Jefferson,355.0,159.0,
Kilkenny,0.0,0.0,
Lancaster,898.0,600.0,
Lisbon,356.0,233.0,1.0
Littleton,1267.0,1214.0,4.0
Low & Burbank's Grant,0.0,0.0,
Martin's Location,0.0,0.0,
Milan,331.0,281.0,
Millsfield,10.0,0.0,
Northumberland,475.0,476.0,2.0
Odell,0.0,0.0,
Pinkham's Grant,0.0,6.0,
Pittsburg,308.0,128.0,
Randolph,100.0,134.0,
Sargent's Purchase,0.0,0.0,
Second College Grant,0.0,0.0,
Shelburne,126.0,86.0,
Stark,137.0,105.0,
Stewartstown,199.0,96.0,
Stratford,131.0,125.0,
Success,0.0,0.0,
Sugar Hill,172.0,196.0,1.0
Thompson & Meserve's Purchase,0.0,0.0,
Wentworth's Location,9.0,7.0,
Whitefield,635.0,345.0,1.0
,,,
Totals,9878.0,9420.0,17.0
