,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
E-rating,Call Credit for approval,E-rating,Call Credit for approval (cont.),E-rating,NO TRADES,,
11,Abraxas Petroleum Corporation,7,JN Exploration and Production LP,12,Alma Energy Corp,,
9,"ACN Power, Inc.",9,JN Oil & Gas,11,Arcadia Energy Corporation,,
10,"Adams Resources Marketing, Ltd.",10,"Kaztex Energy Management, Inc.",11,"Aurora Natural Gas, LLC",,
11,Adonis Energy Corporation - WMBE,12,KCS Energy Inc.,11,Barrington Petroleum Ltd.,,
11,Agave Energy,12,KCS Energy Marketing Inc.,11,Brigham Exploration Company,,
6,AGIP Petroleum Company Inc.,12,"KCS Resources, Inc.",12,Bristol Resources,,
9,"Altra Streamline, LLC",9,Louisiana Municipal Natural Gas Purchasing a,12,Browning Exploration LP,,
9,"Altrade Transaction, LLC",10,Magnum Hunter Resources Inc.,11,"C & L Petroleum, Inc.",,
11,"American Central Energy, LLC",11,"Makoil Inc,.",12,Cage Gas Services,,
10,"American Atlas #1, Ltd. LLC",11,Mallon Oil Company,11,Coho Energy Inc.,,
9,Aries Resources LLC,9,"Mariner Energy, Inc.",12,Costilla Energy Inc.,,
9,Aspect Resources,7,"MarkWest Hydrocarbon, Inc.",12,"Denbury Energy Services, Inc.",,
6,Barrett Resources Corporation,10,Mega Natural Gas Company,11,"Eagle Gas Marketing, LLC",,
7,"Basin Exploration, Inc.",10,MG Natural Gas Corp,11,Eagle Natural Gas Company,,
9,Belco Oil & Gas Corp.,11,"Micah-Tech Industries, Inc -WMBE.",11,"Energy Dynamics, Inc.",,
10,Bellwether Exploration Company,9,Middle Bay Oil Co,11,"Euell Energy Resources, Inc. - WMBE",,
11,"Berco Resources, Inc.",9,"Midwest United Energy, LLC",11,"Exploration Partners, Inc.",,
9,BHP Copper Inc.,9,Mystic River Energy Corporation,9,Filtrol Corporation,,
10,"Black Hills Energy Resources, Inc.",11,"National Fuel Marketing Company, L.L.C.",12,"Forcenergy, Inc.",,
10,"Blackhawk Energy Services, LLC",11,Natural Gas Trading Company- WMBE,11,G M Hydrocarbons Ltd.,,
9,Bonavista Petroleum Ltd.,9,Neumin Production Co.,11,"Gas Services, Inc.",,
11,BP Capital Energy Fund LP,10,"NGTS, LLC",11,"Gasco, Inc.",,
9,Breitburn Energy Comapny LLC,10,"Niagara Mohawk Energy Marketing, Inc.  fka",11,Gothic Energy Corp,,
11,"BWAB, LLC",11,"Nine Energy Services, LLC - WMBE",11,"Great Lakes Energy Partners, LLC",,
8,Cabot Oil & Gas Corporation,11,Northeast Utilities Service Company,11,"Heritage Gas Services, L.L.C.",,
8,Cabot Oil & Gas Marketing Corporation,11,"NUI Energy Brokers, Inc.",11,Hogan Exploration,,
9,Callon Petroleum Company,10,"Onyx Gas Marketing Company, L.C.",12,"Houston Hydrocarbons, Inc.",,
11,Cambright Gas Corp.,10,"Oxford Oil Company, The",11,"Infinite Energy, Inc.",,
11,CanEnerco Energy Services Limited,10,"Oxy Vinyls, LP",11,Inland Production Company,,
10,CanWest Gas Supply (USA) Inc.,11,"Panaco, Inc.",11,"Inland Resources Inc,",,
8,"Carrera Gas Company, LLC",11,"Panther Pipeline, Inc.",11,Kelley Oil & Gas Corporation,,
11,Carrizo Oil & Gas Inc.,11,"Patten Energy Enterprises, Inc. - WMBE",10,Kimball Energy Corporation,,
9,Castle Power LLC,10,Perry Gas Companies,12,"Kimball Trading Company, LLC",,
11,Castle Texas Production Limited Partnership,11,"Petrous, LLC",12,Kimball Production,,
11,Cerrito Gas Marketing Company,11,Petrocom Energy Group Limited,12,"Kimball Resources, Inc.",,
9,Cgas Inc,8,"Petroglyph Energy, Inc.",11,"KNG Energy, Inc.",,
9,CIG Resources Corporation,9,"PG&E Texas Industrial Energy, LP",10,"Laroche Industries, Inc.",,
11,CIMA Energy LLC,10,Phoenix Dominion Energy LLC,12,Lyco Energy Corp,,
11,Chesapeake Energy Corporation,11,"Pioneer Energy Marketing Company, Inc.",11,M & B Industrial Gas Development Corp.,,
11,"Chesapeake Energy Marketing, Inc.",9,Plains Gas Farmers Cooperative Society of He,11,MBF FX CORP.,,
11,Clarke-Mobile Counties Gas District,11,Plains Resources Co,11,"Medallion Gas Services, Inc.",,
7,"Clayton Williams Energy, Inc.",11,"Premiere Eneterprises, L.L.C. - WMBE",12,Michael Petroleum Corporation,,
10,"Clayton Williams Partnership, Ltd.",11,"ProLiance Energy, LLC",11,Nicole Energy Services Inc.,,
10,"Cody Energy, Inc.",11,Public Service Company of New Hampshire,12,North American Energy Conservation Inc.,,
10,Cokinos Natural Gas Company,8,"Quantum Energy Resources, Inc. - WMBE",12,Northern Alberta Nitrogen Ltd.,,
9,"Comstock Oil & Gas, Inc.",9,"Quicksilver Resources, Inc.",12,"Petro-Hunt, LLC",,
7,"Connecticut Light and Power Company, The",9,Quintana Minerals Canada,11,"Petrotex, Inc.",,
7,"Consolidated Edison Solutions, Inc.",11,Quintana Petroleum Corp,11,"Petsec Energy, Inc.",,
