2002 Rank,NAME OF EMPLOYER,EMPLOYEES(1),BUSINESS,2001 Rank
1,HARVARD UNIVERSITY,8722,HIGHER EDUCATION,1
2,MASSACHUSETTS INST. OF TECHNOLOGY,7741,HIGHER EDUCATION,2
3,CITY OF CAMBRIDGE(3),2934,GOVERNMENT,3
4,MILLENNIUM PHARMACEUTICALS,1882,BIOTECHNOLOGY,8
5,CAMBRIDGE PUBLIC HEALTH COMM.,1671,MEDICAL,4
6,FEDERAL GOVERNMENT,1631.5,GOVERNMENT,6
7,MT AUBURN HOSPITAL,1528,MEDICAL,7
8,BIOGEN INC.,1400,BIOTECHNOLOGY,11
9,GENZYME CORPORATION,1160.5,BIOTECHNOLOGY,13
10,DRAPER LABORATORY INC.,953,RESEARCH & DEVELOPMENT,10
11,WYETH GENETICS INSTITUTE,803,BIOTECHNOLOGY,20
12,COMMONWEALTH OF MASSACHUSETTS,878.5,GOVERNMENT,12
13,"CAMP, DRESSER, MCKEE",693,ENGINEERING CONSULTANTS,13
14,WHOLE FOODS/BREAD & CIRCUS(2),625,RETAIL SUPERMARKET,35
15,QUEST DIAGNOSTICS,620,CLINICAL TESTING SERVICES,14
16,WHITEHEAD INSTITUTE,614,RESEARCH & DEVELOPMENT,21
17,LESLEY UNIVERSITY,573,HIGHER EDUCATION,22
18,AKAMAI TECHNOLOGIES INC.,510.5,INTERNET NETWORK SERVICES,20
19,VERTEX PHARMACEUTICALS INC.,510,PHARMACEUTICAL PRODUCTS,23
20,GRACE CONSTRUCTION(2),500,CONSTRUCTION PRODUCTS,27
21,EF INTERNATIONAL,488,TRAVEL & EXCHANGE PROGRAMS,19
22,MONITOR GROUP,479,MANAGEMENT CONSULTING,24
23,ABT ASSOCIATES(2),469,MANAGEMENT CONSULTING,28
24,SHAWS SUPERMARKETS/STAR MARKET,450,RETAIL SUPERMARKET,25
25,TRANSKARYOTIC THERAPIES(2),423,BIOTECHNOLOGY,34
