Table 3.,"Change in CPI-based annual inflation rate, 1950-2014",,,,,,,,,,,,,,,
,"Consumer Price Indexes (CPI), percentage point change in inflation from the previous year",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,United States,Australia,Austria,Belgium,Canada,Denmark,France,Germany,Italy,Japan,Nether-lands,Norway,Spain,Sweden,Switzer-land,"United
Kingdom"
Year,,,,,,,,,,,,,,,,
1950.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952.0,-6.0,-2.2,NA,-8.5,-7.5,-9.4,-5.2,-5.5,NA,NA,-9.6,-6.9,NA,-9.7,-2.2,0.0
1953.0,-1.1,-13.9,NA,-1.2,-4.3,-3.0,-12.7,-3.8,NA,NA,0.0,-7.2,NA,-6.6,-3.3,-6.1
1954.0,0.0,-0.5,NA,2.1,2.1,2.5,1.0,2.1,NA,NA,4.0,2.1,NA,0.0,1.4,-1.3
1955.0,-1.2,-1.3,NA,-2.3,-0.7,5.0,1.0,1.0,NA,NA,-2.1,-3.2,NA,2.1,0.2,2.7
1956.0,1.9,4.2,NA,2.9,1.4,-1.7,1.0,1.4,1.9,NA,0.0,3.0,NA,2.3,0.6,0.5
1957.0,1.8,-2.8,NA,0.8,2.1,-3.9,1.4,-0.8,-3.8,NA,4.6,-1.2,5.0,-0.5,0.4,-1.3
1958.0,-0.5,-2.2,NA,-1.9,-0.8,-0.2,11.7,0.3,3.7,NA,-4.8,1.8,2.6,-0.2,-0.1,-0.7
1959.0,-2.1,1.4,NA,-0.1,-2.0,1.0,-9.0,-1.7,-3.7,NA,-0.8,-2.0,-6.1,-3.5,-2.5,-2.4
1960.0,1.0,1.6,0.8,-0.9,0.6,0.3,-2.6,1.0,1.7,NA,1.6,-2.6,-6.1,3.3,2.1,0.4
1961.0,-0.7,-1.4,1.7,0.7,0.0,2.2,-0.1,0.9,0.0,NA,-0.8,2.6,0.2,-1.9,0.5,2.4
1962.0,0.0,-2.6,0.8,0.5,0.0,2.0,1.3,-1.3,3.4,NA,0.2,2.4,4.6,2.6,2.4,0.8
1963.0,0.3,0.9,-1.7,0.7,0.0,-1.2,0.1,1.8,3.0,NA,1.9,-2.6,1.5,-1.8,-0.9,-2.2
1964.0,0.0,2.3,1.1,2.0,0.6,-1.6,-1.5,-0.6,-3.6,NA,1.7,3.1,-0.5,0.1,-0.3,1.3
1965.0,0.3,0.5,1.2,-0.2,0.5,2.7,-0.8,0.8,1.2,NA,-0.3,-1.1,6.1,2.1,0.3,1.5
1966.0,1.3,-0.1,-2.8,0.2,1.8,0.5,0.3,0.1,-4.3,NA,0.6,-0.8,-5.8,1.4,1.3,-0.9
1967.0,0.2,0.2,1.8,-1.3,-0.8,0.5,-0.1,-1.4,2.6,NA,-2.7,0.5,-1.9,-2.6,-0.7,-1.4
1968.0,1.1,-1.0,-1.2,-0.2,0.5,0.6,1.7,-0.3,-2.7,NA,0.6,-0.2,-0.3,-2.0,-1.6,2.2
1969.0,1.3,0.8,0.2,1.1,0.9,-4.5,2.1,0.2,1.2,NA,3.8,-1.4,-2.6,0.7,0.1,0.8
1970.0,0.2,0.1,1.4,0.1,-1.8,3.0,-1.2,1.8,2.4,NA,-3.1,8.0,3.4,4.2,1.1,0.9
1971.0,-1.3,2.7,0.3,0.5,0.0,-0.6,0.2,1.6,-0.2,NA,3.1,-3.8,2.0,0.5,3.0,3.0
1972.0,-1.2,-0.1,1.6,1.0,1.8,0.8,0.7,0.2,2.0,-2.1,0.3,0.1,0.4,-1.4,0.1,-2.3
1973.0,3.0,3.1,1.2,1.5,3.0,2.6,1.0,1.7,3.8,7.2,0.2,1.0,3.2,0.7,2.0,2.1
1974.0,4.8,6.3,2.0,5.8,3.2,6.0,6.6,-0.2,8.6,11.3,1.6,1.3,4.0,3.2,1.1,6.8
1975.0,-1.9,-0.2,-1.1,0.1,-0.3,-5.7,-2.0,-0.9,-2.3,-11.3,0.6,2.6,1.7,-0.1,-3.1,8.2
1976.0,-3.3,-1.9,-1.1,-3.6,-3.5,-0.6,-2.1,-1.8,-0.4,-2.3,-1.4,-2.4,0.0,0.6,-5.0,-7.6
