STATE SENATE DISTRICT NO.12,,,,
36837.0,"O'Hearn, r","Franks, d",Scatter,Squires
Brookline,1163.0,786.0,6.0,
Greenville,342.0,357.0,,
Hollis,2315.0,1390.0,6.0,
Mason,319.0,248.0,1.0,
Nashua Ward 1,2619.0,2008.0,9.0,48.0
Nashua Ward 2,2154.0,1873.0,7.0,
Nashua Ward 3,1662.0,1710.0,,
Nashua Ward 5,2038.0,1933.0,15.0,
,,,,
Totals,12612.0,10305.0,44.0,48.0
,,,,
STATE SENATE DISTRICT NO.13,,,,
,"LaGatta, r","Pignatelli, d","Postpischil, lib",Scatter
Nashua Ward 4,656.0,1451.0,92.0,1.0
Nashua Ward 6,1042.0,2180.0,108.0,2.0
Nashua Ward 7,1071.0,1938.0,119.0,
Nashua Ward 8,1326.0,2112.0,136.0,1.0
Nashua Ward 9,1532.0,2447.0,140.0,3.0
,,,,
Totals,5627.0,10128.0,595.0,7.0
,,,,
STATE SENATE DISTRICT NO.14,,,,
,"Francoeur, r","Foy, d","Wallack, lib",Scatter
Hudson,5034.0,3847.0,295.0,5.0
Litchfield,1790.0,1345.0,98.0,1.0
Londonderry,5612.0,3705.0,364.0,9.0
,,,,
Totals,12436.0,8897.0,757.0,15.0
