DESIGN SERVICES GUIDE,,,,,,,,,,,,,EXHIBIT C-04
UNIVERSITY OF FLORIDA,,,,,,,,,FACILITIES PLANNING AND CONSTRUCTION,,,,
SCHEDULE OF CONTRACT VALUES - ARTICLE 8.2 GENERAL CONDITIONS,,,,,,,,,,,,,
,Payment Application No.:,0.0,,,,,,,Date:,,,,
,UF Project No.:,UF-000,,,,,,,Contractor:,,,,
,,,,,,,,,,,,,
A,B,C,,,,,,,D,,,,
ITEM NO.,DESCRIPTION OF WORK,QUANTITY,,UNIT COST,,ORIGINAL,CHANGE ORDERS,CURRENT,QUANTITY TO DATE,COSTS,,,
,,TOTAL,UNITS,LABOR,MATERIAL,,,,,TO DATE,PRIOR,THIS PERIOD,REMAINING
,Credits to Owner,,,,,,,,,,,,
8.1,Discounts/Credits to Owner,,,,,,,,,,,,
8.1.1,"Trade discount, rebates, refunds",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1.2,Revenue from sale of surplus,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1.3,Revenue from recycled material,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Sub-Total Credits to Owner*,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
,Project Reimbursable,,,,,,,,,,,,
8.2.4,Insurance and bonds,,,,,,,,,,,,
8.2.4.1,builder's risk insurance,1.0,Lump Sum,0.0,100000.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,100000.0
8.2.4.2,payment & performance bonds,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.5,"Sales, use and gross receipt taxes",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.6,Building &  permit fee,,,,,,,,,,,,
8.2.6.1,building & operating permit fees,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.6.2,inspection & filing fee,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.6.3,sewer & water fees,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.6.4,royalties and patent costs,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.7,Trash Removal/Dump Fees,,,,,,,,,,,,
8.2.7.1,trash removal /  dump fee,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.7.2,daily clean-up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.8,Site emergency costs,,,,,,,,,,,,
8.2.8.1,Safety/ First Aid,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.9,Legal costs,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10,Temporary site utilities,,,,,,,,,,,,
8.2.10.1,temporary electric power & lighting,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.2,temporary telephone & telecomm,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.3,temporary water,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.4,temporary steam & hot water,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.5,temporary chilled water,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.6,temporary gas service,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.10.7,temporary weather protection,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11,Temporary safety costs,,,,,,,,,,,,
8.2.11.1,barricades & safety equipment,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.2,temporary roads & parking,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.3,dust control,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.4,pest & varmint control,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.5,"temporary hoists, scaffolds, ladders",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.6,temporary work protection,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.7,temporary project signs,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.11.8,temporary fire protection,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.12,Site security & watchmen,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.13,Surveying & Layout,,,,,,,,,,,,
8.2.13.1,surveys,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.13.2,layout,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.14,Construction Dwgs./Specs,,,,,,,,,,,,
8.2.14.1,shop drawing preparation,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.14.2,coordination plan / as-built records,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.14.3,photographs & digital image record,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.15,Construction Testing,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.16,Reproduction of documents,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.17,Other costs,,,,,,,,,,,,0.0
8.2.17.1,self-performed work,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.18,Hand tools,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.19,Rented equipment,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.20,Mobilization / demobilization costs,,,,,,,,,,,,
8.2.20.1,tool shed setup,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.20.2,field office setup,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2.20.3,temporary fences,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Sub-Total Article 8.2 Reimbursable,,,,,100000.0,0.0,100000.0,,0.0,0.0,0.0,100000.0
,TOTAL- GENERAL CONDITIONS,,,,,100000.0,0.0,100000.0,,0.0,0.0,0.0,100000.0
Note:,Adjustments to the Schedule of Values under Article 8 allowances are permitted only when documented through the Change Order process.,,,,,,,,,,,,
