"Table 7--U.S. feed grain imports by selected sources (1,000 metric tons) 1/, 6/14/2012",,,,,,
Import and country/region,,---------- 2009/10 ----------,,---------- 2010/11 ----------,,2011/12
,,Mkt year,Jun-Apr,Mkt year,Jun-Apr,Jun-Apr
Oats,Canada,1563.267482,1469.3084470000003,1393.2928080000002,1300.167487,1079.680017
,Finland,47.538488,34.941638,73.932572,73.932572,7.837
,Sweden,23.5782,23.5782,,,
,All other countries,1.6294659999999999,1.5780379999999998,0.42352900000000004,0.274505,0.7936009999999999
,Total 2/,1636.0136360000001,1529.406323,1467.648909,1374.3745640000002,1088.3106180000002
,,,,,,
,,,,,,
Malting barley,Canada,316.81619,296.976315,174.724159,169.091904,234.26021500000002
,All other countries,0.019691,0.019691,0.006579999999999999,0.006579999999999999,0.244638
,Total 2/,316.83588100000003,296.996006,174.73073899999997,169.09848399999998,234.50485300000003
,,,,,,
,,,,,,
Other barley 3/,Canada,30.581621,28.207682,30.697570999999996,24.936363999999998,57.93648199999999
,All other countries,13.911215000000002,13.892415000000003,1.288141,1.274698,0.4004149999999999
,Total 2/,44.492836,42.100097,31.985711999999996,26.211062,58.336897
,,,,,,
"1/ Grain only. Market year (June-May) and market year to date.
2/ Totals may not add due to rounding.",,,,,,
"3/ Grain for purposes other than malting, such as feed and seed use.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics.",,,,,,
Date run: 6/15/2012,,,,,,
