,"POWER CREDIT WATCH LIST, AS OF 12/11/2000, CALL 3-1803",,,,,
CALL CREDIT FOR APPROVAL FOR TRADES WITH ANY COUNTERPARTY THAT EXPIRE BEYOND 12 MONTHS FROM THE CURRENT DEAL DATE.,,,,,,
,Call credit for approval for deals with any counterparties that have not traded with EPMI within the past SIX MONTHS.,,,,,
,,Counterparty,Physical,Max Tenor,Financial,Max Tenor
,,ABAG POWER,NO TRADES,N/A,NO TRADES,N/A
,,"ACN Power, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,AES Power Inc.,NO TRADES,N/A,NO TRADES,N/A
,,"Allegheny Electric Cooperative, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Alliant Services Company,Call Credit for approval beyond,1 Month,NO TRADES,N/A
,,"Alternate Power Source, Inc.",Call Credit for approval,Any trade,Call Credit for approval,Any Trades
,,Ameren Services Company,Call Credit for approval beyond,12 Months,NO TRADES,N/A
,,American Municipal Power-Ohio Inc.,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Avista Energy, Inc.","OK - master, Call beyond",12 Months,OK - master,12 Months
,,"AYP Energy, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Ballard Petroleum LLC,L/C or prepay required,N/A,NO TRADES,N/A
,,Besicorp Group Inc.,NO TRADES,N/A,NO TRADES,N/A
,,Big Rivers Electric Corporation,NO TRADES,N/A,NO TRADES,N/A
,,"Blackhills-Pepperell Power Associates, Inc",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Blue Earth, City of",NO TRADES,N/A,NO TRADES,N/A
,,Braintree Electric Light Department,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Cajun Electric Power Cooperative, Inc.",Call Credit for approval,Any Trade,NO TRADES,N/A
,,Calpine Power Services Company,"OK - master, Call beyond",12 Months,Trade subject to credit,Any Trade
,,Cargill-Alliant LLC,Call Credit for approval beyond,9 months,Trade subject to credit,Any Trade
,,Central Hudson Enterprises Corporation,Call Credit for approval,Any Trade,NO TRADES,N/A
,,Central Maine Power Company Inc.,NO TRADES,N/A,NO TRADES,N/A
,,Central Minnesota Municipal Power Agency,NO TRADES,N/A,NO TRADES,N/A
,,Central Vermont Public Service Corp.,Call Credit for approval beyond,Day Trades,NO TRADES,N/A
,,"Chicago Electric Trading, LLC",NO TRADES,N/A,NO TRADES,N/A
,,"Cinergy Capital and Trading, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Citizens Power Sales,MERGED W/ EDISON MISSION (SEE EDISON BELOW),N/A,NO TRADES,N/A
,,"City of Redding, CA","OK - master, Call beyond",12 months,Trade subject to credit,Any trade
,,"City of Springfield, IL",NO TRADES,N/A,NO TRADES,N/A
,,CNG Power Services Corporation,NO TRADES,N/A,NO TRADES,N/A
,,Commercial Energy of Montana,NO TRADES,N/A,NO TRADES,N/A
,,Commonwealth Energy Corporation,NO TRADES,N/A,NO TRADES,N/A
,,Connecticut Light and Power,Call Credit for approval,Day Trades,NO TRADES,N/A
,,Connecticut Municipal Electric Energy Coop,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Conoco Power Marketing, Inc.",Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Consolidated Edison Energy, Inc.",Call Credit for approval,1 month,NO TRADES,N/A
