Owners Forms,,,,,,,,
USAA-GIC,,,,,,,,
Pennsylvania,,,,,,,,
Catastrophe & Total Loss History,,,,,,,,
,,,,,,,,
,,,,,,,,
Accident Year,Catastrophe Incurred Losses,Total Incurred Losses,,,,,,
1993-06-30 00:00:00,0,0,,,,,,
1994-06-30 00:00:00,0,0,,,,,,
1995-06-30 00:00:00,0,0,,,,,,
1996-06-30 00:00:00,0,0,,,,,,
1997-06-30 00:00:00,0,0,,,,,,
1998-06-30 00:00:00,0,0,,,,,,
1999-06-30 00:00:00,0,0,,,,,,
2000-06-30 00:00:00,0,0,,,,,,
2001-06-30 00:00:00,0,0,,,,,,
2002-06-30 00:00:00,0,0,,,,,,
2003-06-30 00:00:00,0,0,,,,,,
2004-06-30 00:00:00,0,0,,,,,,
2005-06-30 00:00:00,0,0,,,,,,
2006-06-30 00:00:00,0,0,,,,,,
2007-06-30 00:00:00,0,788,,,,,,
2008-06-30 00:00:00,9108,25195,,,,,,
2009-06-30 00:00:00,5144,479165,,,,,,
2010-06-30 00:00:00,134210,603044,,,,,,
2011-06-30 00:00:00,210275,918399,,,,,,
2012-06-30 00:00:00,580343,3711647,,,,,,
