STATE SENATE DISTRICT NO. 23,,,,,
36837.0,"Jones, r","Hollingworth, d","Williams, i",Scatter,
East Kingston,479.0,408.0,40.0,,
Exeter,2682.0,3479.0,738.0,1.0,
Hampton,2812.0,4809.0,330.0,5.0,
Hampton Falls,551.0,488.0,47.0,1.0,
Kensington,419.0,557.0,106.0,,
Newfields,399.0,368.0,43.0,,
Newton,730.0,964.0,157.0,,
North Hampton,1176.0,1269.0,85.0,4.0,
Seabrook,1403.0,1713.0,241.0,,
South Hampton,202.0,267.0,20.0,,
,,,,,
Totals,10853.0,14322.0,1807.0,11.0,
,,,,,
STATE SENATE DISTRICT NO. 24,,,,,
,"Semprini, r",Recount,"Cohen, d",Recount,Scatter
Greenland,1056.0,1069.0,725.0,729.0,
New Castle,414.0,415.0,330.0,329.0,
Newington,310.0,311.0,185.0,183.0,2.0
Newmarket,1563.0,1588.0,2220.0,2250.0,5.0
Portsmouth Ward 1,883.0,885.0,984.0,985.0,
Portsmouth Ward 2,974.0,976.0,1672.0,1678.0,5.0
Portsmouth Ward 3,709.0,710.0,684.0,686.0,2.0
Portsmouth Ward 4,1457.0,1453.0,1354.0,1348.0,4.0
Portsmouth Ward 5,1072.0,1076.0,1429.0,1460.0,3.0
Rye,1847.0,1854.0,1527.0,1531.0,3.0
Stratham,2007.0,2012.0,1538.0,1553.0,
,,,,,
Totals,12292.0,12349.0,12648.0,12732.0,24.0
,,,,,
,,,,,
