LABEL,UPC,ARTIST,TITLE,RELEASEDATE,PRODUCTTYPE,GENRE,PRICE,RETURNABLE,STATUS
Atlantic-Elektra,075678696060,Needtobreathe,Natural Splice Large Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Atlantic-Elektra,075678696053,Needtobreathe,Natural Splice Medium Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Atlantic-Elektra,075678696046,Needtobreathe,Natural Splice Xlarge Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Atlantic-Elektra,075678695971,Needtobreathe,Black Scribble Stack Medium Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Merch,679143015822,Needtobreathe,Unisex Band Logo Size Xlarge,2009-01-06,T-Shirt,Na,18.99,N,Available
Merch,679143015815,Needtobreathe,Unisex Band Logo Size Large,2009-01-06,T-Shirt,Na,18.99,N,Available
Merch,679143015808,Needtobreathe,Unisex Band Logo Size Medium,2009-01-06,T-Shirt,Na,18.99,N,Available
Merch,679143015792,Needtobreathe,Unisex Band Logo Size Small,2009-01-06,T-Shirt,Na,18.99,N,Available
Atlantic-Elektra,075678695964,Needtobreathe,Black Scribble Stack Large Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Atlantic-Elektra,075678695957,Needtobreathe,Black Scribble Stack Xlarge Unisex,2014-04-15,T-Shirt,Na,18.99,Y,Available
Atlantic-Elektra,075678720819,Needtobreathe,Charcoal Worn Large Unisex,2014-04-04,T-Shirt,Rock,9.5,Y,To Be Retired
Atlantic-Elektra,075678720802,Needtobreathe,Charcoal Worn Xlarge Unisex,2014-04-04,T-Shirt,Rock,9.5,Y,To Be Retired
Atlantic-Elektra,075678720826,Needtobreathe,Charcoal Worn Medium Unisex,2014-04-04,T-Shirt,Rock,9.5,Y,To Be Retired
