Security/,Trade,Settlement,Instru-,,Posi-,Strike,Notional,,Terminations,,,,Market,,Unrealized,Realized,Total,Prior Day,,Prior Day,,,,,Prior YTD,,Current QTR,,
Ticker,Date,Date,ment,Cost,tion,Price,Units,Value,Date,Price,Units,Value,Price/Value,Report Date,Gain/(Loss),Gain/(Loss),Gain/(Loss),Realized,Total,Price/Value,Column,Check,,,Realized,Total,Realized,Total,
PUBLICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TEC Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,1.17868389193476,78000,91937.34,,,,,2.8586155579726116,2001-03-09 00:00:00,131034.67000000001,0,131034.67000000001,0,128491.94,2.8260163654724306,,0,,,0,119827.52,0,11207.15,0.0004442016015673289
Active Power,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,53.00000019586597,1276383,67648299.25,2001-01-16 00:00:00,25.265857777464394,255276,6449767.11,18.75,2001-03-09 00:00:00,-34972914.95,-7079860.939999881,-42052775.88999988,-7079860.939999881,-41286945.64,19.5,,0,,,0,-39647647.19,-7079860.939999881,-2405128.7,-0.002499999478459358
Avici Systems,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,162.5,1093426,177681725,2001-01-11 00:00:00,30.43898,1000,30438.98,13.9375,2001-03-09 00:00:00,-162293537.62,-132061.02,-162425598.64000002,-132061.02,-162562151.89,13.8125,,0,,,0,-150756109.75,-132061.02,-11669488.89,-0.0016666650772094727
Carrizo Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,4.19540251455472,156250,655531.64,,,,,5.142891898344605,2001-03-09 00:00:00,148045.21999999997,0,148045.21999999997,0,221004.61,5.609832007005014,,0,,,0,289157.77,0,-141112.55,0.0017344816005788743
Catalytica After 12/14,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,1339286,116115000,,,,,17.875,2001-03-09 00:00:00,-92175262.75,0,-92175262.75,0,-92677495,17.5,,0,2000-12-14 00:00:00,public shares exchanged,0,-93012316.5,0,837053.75,0
Paradigm,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,5.875,59891,351859.63,,,,,6,2001-03-09 00:00:00,7486.369999999995,0,7486.369999999995,0,7486.369999999995,6,,0,,,0,-82350.13,0,89836.5,0
Place Resources,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,1.68395,735000,1237703.25,2000-11-09 00:00:00,1.93798449612403,735000,1424418.6046511622,0,2001-03-09 00:00:00,0,186715.35465116202,186715.35465116202,186715.35465116202,186715.35465116217,1.937984496124031,,,,,186715.35465116202,186715.35465116217,0,0,0
DevX Energy Common,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,14.039765555621337,10134.6,142287.41,,,,,8.1875,2001-03-09 00:00:00,-59310.37000000001,0,-59310.37000000001,0,-59310.37000000001,8.1875,,0,2000-10-25 00:00:00,exchange,0,-62477.43,0,3167.06,0.0025000003665809345
