,Enron North America - West Gas,,,,,,,,,,,,,,,,,,,,,,,,,NYMEX Month,,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-11-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Current,,2.696,2.935,2.982,2.942,2.875,2.9130000000000003,2.9530000000000003,2.99,3.023,3.0260000000000002,3.045,3.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10-Day High,,2.8520000000000003,3.041,3.081,3.0660000000000003,3.0260000000000002,3.068,3.108,3.1460000000000004,3.182,3.194,3.221,3.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENA - West Gas Contacts,,,,,,,,,,,,,,,,,,,,,,,,,10-Day Low,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Houston Office,,,,,,,,,Regional Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Barry Tycholiz,,,(713) 853-1587,,,,,,Mark Whitt,,,(303) 575-6473,,,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kim Ward,,,(713) 853-0685,,,,,,Paul Lucci,,,(303) 575-6474,,,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stephanie Miller,,,(713) 853-1688,,,,,,Tyrell Harrison,,,(303) 575-6478,,,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Philip Polsky,,,(713) 853-5181,,,,,,Dave Fuller,,,(503) 464-3732,,,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forward Prices (US$/MMBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NYMEX,,,,,,,,,,,,IF NWPL Rocky Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Fixed Price,,Basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SETTLE,D,,,,,,,,,,,BID,OFFER,BID,OFFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,1.91,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROM,,,,,,,,,,,,,,,2.09,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-12-01 00:00:00,,,2.696,2.696,,,,,,,,,,,2.346,2.366,-0.35,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-12-01 00:00:00,to,2002-03-01 00:00:00,2.88875,2.88875,,,,,,,,,,,2.49875,2.51875,-0.39,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-04-01 00:00:00,to,2002-10-01 00:00:00,2.975,2.975,,,,,,,,,,,2.41,2.43,-0.565,-0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-11-01 00:00:00,to,2003-03-01 00:00:00,3.3811999999999998,3.3811999999999998,,,,,,,,,,,3.0841999999999996,3.1041999999999996,-0.297,-0.27699999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Year Strip*,,,2.9670833333333335,2.9670833333333335,,,,,,,,,,,2.48125,2.50125,-0.48583333333333334,-0.4658333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IF CIG Rocky Mountains,,,,,IF EL Paso Permian,,,,,IF EL Paso San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fixed Price,,Basis,,,Fixed Price,,Basis,,,Fixed Price,,Basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BID,OFFER,BID,OFFER,,BID,OFFER,BID,OFFER,,BID,OFFER,BID,OFFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,1.9,1.92,,,,1.98,2,,,,1.99,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROM,,,,,1.89,1.91,,,,2.29,2.31,,,,2.24,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-12-01 00:00:00,,,,,2.2960000000000003,2.3160000000000003,-0.4,-0.38,,2.5260000000000002,2.5460000000000003,-0.17,-0.15,,2.476,2.496,-0.22,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-12-01 00:00:00,to,2002-03-01 00:00:00,,,2.4425,2.4625,-0.44625,-0.42625,,2.68875,2.70875,-0.2,-0.18,,2.625,2.645,-0.26375,-0.24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-04-01 00:00:00,to,2002-10-01 00:00:00,,,2.29,2.31,-0.685,-0.665,,2.8053571428571433,2.8253571428571433,-0.16964285714285715,-0.14964285714285713,,2.64,2.66,-0.335,-0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-11-01 00:00:00,to,2003-03-01 00:00:00,,,3.0391999999999997,3.0591999999999997,-0.34199999999999997,-0.32199999999999995,,3.2051999999999996,3.2251999999999996,-0.17600000000000002,-0.156,,3.1561999999999997,3.1761999999999997,-0.225,-0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
