People QuickFacts,Dutchess County,New York
"Population, 2013 estimate","296,916","19,651,127"
"Population, 2010 (April 1) estimates base","297,488","19,378,105"
"Population, percent change, April 1, 2010 to July 1, 2013",-0.2%,1.4%
"Population, 2010","297,488","19,378,102"
"Persons under 5 years, percent, 2013",4.7%,6.0%
"Persons under 18 years, percent, 2013",20.5%,21.6%
"Persons 65 years and over, percent, 2013",15.1%,14.4%
"Female persons, percent, 2013",50.3%,51.5%
,,
"White alone, percent, 2013 (a)",82.5%,70.9%
"Black or African American alone, percent, 2013 (a)",10.9%,17.5%
"American Indian and Alaska Native alone, percent, 2013 (a)",0.5%,1.0%
"Asian alone, percent, 2013 (a)",3.8%,8.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)",0.1%,0.1%
"Two or More Races, percent, 2013",2.3%,2.3%
"Hispanic or Latino, percent, 2013 (b)",11.3%,18.4%
"White alone, not Hispanic or Latino, percent, 2013",73.3%,57.2%
,,
"Living in same house 1 year & over, percent, 2008-2012",87.5%,88.7%
"Foreign born persons, percent, 2008-2012",11.8%,22.0%
"Language other than English spoken at home, pct age 5+, 2008-2012",15.3%,29.8%
"High school graduate or higher, percent of persons age 25+, 2008-2012",89.3%,84.9%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012",32.5%,32.8%
"Veterans, 2008-2012","19,631","957,004"
"Mean travel time to work (minutes), workers age 16+, 2008-2012",30.7,31.5
,,
"Housing units, 2013","118,650","8,126,026"
"Homeownership rate, 2008-2012",69.7%,54.5%
"Housing units in multi-unit structures, percent, 2008-2012",28.8%,50.5%
"Median value of owner-occupied housing units, 2008-2012","$299,400","$295,300"
"Households, 2008-2012","107,734","7,230,896"
"Persons per household, 2008-2012",2.59,2.6
"Per capita money income in past 12 months (2012 dollars), 2008-2012","$33,037","$32,104"
"Median household income, 2008-2012","$71,508","$57,683"
"Persons below poverty level, percent, 2008-2012",9.1%,14.9%
,,
Business QuickFacts,Dutchess County,New York
"Private nonfarm establishments, 2012","7,488","527,001"
"Private nonfarm employment, 2012","91,392","7,556,521"
"Private nonfarm employment, percent change, 2011-2012",-1.4%,2.5%
"Nonemployer establishments, 2012","20,470","1,612,106"
,,
"Total number of firms, 2007","26,974","1,956,733"
"Black-owned firms, percent, 2007",5.1%,10.4%
"American Indian- and Alaska Native-owned firms, percent, 2007",F,0.7%
"Asian-owned firms, percent, 2007",S,10.1%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007",F,0.1%
"Hispanic-owned firms, percent, 2007",S,9.9%
"Women-owned firms, percent, 2007",32.3%,30.4%
,,
"Manufacturers shipments, 2007 ($1000)","3,823,002","162,720,173"
"Merchant wholesaler sales, 2007 ($1000)","982,323","313,461,904"
"Retail sales, 2007 ($1000)","3,599,202","230,718,065"
"Retail sales per capita, 2007","$12,334","$11,879"
"Accommodation and food services sales, 2007 ($1000)","424,664","39,813,499"
"Building permits, 2012",393.0,"24,872"
,,
Geography QuickFacts,Dutchess County,New York
"Land area in square miles, 2010",795.63,"47,126.40"
"Persons per square mile, 2010",373.9,411.2
FIPS Code,27.0,36.0
Metropolitan or Micropolitan Statistical Area,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
