Home School DBN,Home School Name,Home School Address,City,Zip Code,Summer School Site 1,Summer School Site Address,City,Zip Code,Summer School Site 2,Summer School Site Address,City,Zip Code
01M015,P.S. 015 Roberto Clemente,333 EAST 4 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M019,P.S. 019 Asher Levy,185 1 AVENUE,MANHATTAN,10003,M064,600 EAST 6 STREET,MANHATTAN,10009,,,,
01M020,P.S. 020 Anna Silver,166 ESSEX STREET,MANHATTAN,10002,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M034,P.S. 034 Franklin D. Roosevelt,730 EAST 12 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002
01M063,The STAR Academy - P.S.63,121 EAST 3 STREET,MANHATTAN,10009,M064,600 EAST 6 STREET,MANHATTAN,10009,,,,
01M064,P.S. 064 Robert Simon,600 EAST 6 STREET,MANHATTAN,10009,M064,600 EAST 6 STREET,MANHATTAN,10009,,,,
01M110,P.S. 110 Florence Nightingale,285 DELANCY STREET,MANHATTAN,10002,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M134,P.S. 134 Henrietta Szold,293 EAST BROADWAY,MANHATTAN,10002,M142,100 ATTORNEY STREET,MANHATTAN,10002,,,,
01M137,P.S. 137 John L. Bernstein,293 EAST BROADWAY,MANHATTAN,10002,M142,100 ATTORNEY STREET,MANHATTAN,10002,,,,
01M140,P.S. 140 Nathan Straus,123 RIDGE STREET,MANHATTAN,10002,M142,100 ATTORNEY STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002
01M142,P.S. 142 Amalia Castro,100 ATTORNEY STREET,MANHATTAN,10002,M142,100 ATTORNEY STREET,MANHATTAN,10002,,,,
01M184,P.S. 184m Shuang Wen,327 CHERRY STREET,MANHATTAN,10002,M020,166 ESSEX STREET,MANHATTAN,10002,M131,100 HESTER STREET,MANHATTAN,10002
01M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,MANHATTAN,10002,M188,442 EAST HOUSTON STREET,MANHATTAN,10002,,,,
01M292,Henry Street School for International Studies,220 HENRY STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M301,"Technology, Arts, and Sciences Studio",185 1 AVENUE,MANHATTAN,10003,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
01M315,The East Village Community School,610 EAST 12 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M332,University Neighborhood Middle School,220 HENRY STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
