"UNIVERSITY OF HAWAI‘I, MAUI COMMUNITY COLLEGE",,,,,,,,,,,,,,,,,,,,,,
PEER GROUP  1/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,Caldwell Community College & Technical Institute,,,Hudson,,NC,,,Associate of Arts Colleges,,,Associate's College,,,198118.0,,,4835.0,,,www.cccti.edu
,2.0,Carl Sandburg College,,,Galesburg,,IL,,,Associate of Arts Colleges,,,Associate's College,,,143613.0,,,7265.0,,,www.sandburg.edu
,3.0,Cisco Junior College,,,Cisco,,TX,,,Associate of Arts Colleges,,,Associate's College,,,223898.0,,,3553.0,,,www.cisco.cc.tx.us
,4.0,Craven Community College,,,New Bern,,NC,,,Associate of Arts Colleges,,,Associate's College,,,198367.0,,,6799.0,,,www.cravencc.edu
,5.0,Dodge City Community College,,,Dodge City,,KS,,,Associate of Arts Colleges,,,Associate's College,,,154998.0,,,1913.0,,,www.dccc.cc.ks.us
,6.0,Gavilan College,,,Gilroy,,CA,,,Associate of Arts Colleges,,,Associate's College,,,114938.0,,,1202.0,,,www.gavilan.edu
,7.0,Germanna Community College,,,Locust Grove,,VA,,,Associate of Arts Colleges,,,Associate's College,,,232195.0,,,8660.0,,,www.gcc.cc.va.us
,8.0,Greenfield Community College,,,Greenfield,,MA,,,Associate of Arts Colleges,,,Associate's College,,,165981.0,,,2169.0,,,www.gcc.mass.edu
,9.0,Mineral Area College,,,Park Hills,,MO,,,Associate of Arts Colleges,,,Associate's College,,,178217.0,,,2486.0,,,www.mac.cc.mo.us
,10.0,New Mexico Junior College,,,Hobbs,,NM,,,Associate of Arts Colleges,,,Associate's College,,,187903.0,,,2655.0,,,www.nmjc.cc.nm.us
,11.0,North Country Community College,,,Saranac Lake,,NY,,,Associate of Arts Colleges,,,Associate's College,,,194028.0,,,7111.0,,,www.nccc.edu
,12.0,Northern Wyoming Community College District (Sheridan College),,,Sheridan,,WY,,,Associate of Arts Colleges,,,Associate's Colleges,,,240666.0,,,3930.0,,,www.sheridan.edu
,13.0,Porterville College,,,Porterville,,CA,,,Associate of Arts Colleges,,,Associate's College,,,121363.0,,,1268.0,,,www.pc.cc.ca.us
,14.0,Sauk Valley Community College,,,Dixon,,IL,,,Associate of Arts Colleges,,,Associate's College,,,148672.0,,,1752.0,,,www.svcc.cc.il.us
,15.0,South Florida Community College,,,Avon Park,,FL,,,Associate of Arts Colleges,,,Associate's College,,,137315.0,,,1522.0,,,www.sfcc.cc.fl.us
,16.0,Southwestern Oregon Community College,,,Coos Bay,,OR,,,Associate of Arts Colleges,,,Associate's College,,,210155.0,,,3220.0,,,www.socc.edu
,17.0,Temple College 2/,,,Temple,,TX,,,Associate of Arts Colleges,,,Associate's College,,,228608.0,,,3627.0,,,www.templejc.edu
,18.0,West Virginia Northern Community College,,,Wheeling,,WV,,,Associate of Arts Colleges,,,Associate's College,,,238014.0,,,9054.0,,,www.northern.wvnet.edu
,19.0,Western Piedmont Community College,,,Morganton,,NC,,,Associate of Arts Colleges,,,Associate's College,,,199908.0,,,2982.0,,,www.wp.cc.nc.us
,,,,,,,,,,,,,,,,,,,,,,
,,"University of Hawai‘i, Maui Community College",,,Kahului,,HI,,,Associate of Arts Colleges,,,Associate's Colleges,,,141839.0,,,1615.0,,,www.maui.hawaii.edu
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Note:  Maui Community College peer group listing was developed by the National Center for Higher Education Management Systems (NCHEMS) Information Service.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1/  Benchmark comparison group for Maui Community College is not available.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2/  Name changed from Temple Junior College in 1996.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,
,,"Peer Group Listing:  University of Hawai‘i, Office of Planning & Policy, Revised April 1998",,,,,,,,,,,,,,,,,,,,
,,"Institution Names, Campus Locations, Unit ID, and FICE:  Higher Education Directory, 2004",,,,,,,,,,,,,,,,,,,,
,,"Carnegie Classifications:  Carnegie Foundation for the Advancement of Teaching, ""The Carnegie Classification of Institutions of Higher Education, 2000 Edition,"" Electronic Data File, 2000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Group Listing last updated:  April 1998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Institution Information last updated:  October 2004,,,,,,,,,,,,,,,,,,,,,
