الجدول 76: متوسط العمر عند الزواج الأول، آخر سنة متوفرة,,,,,,,,,,,,
"Table 76: Mean age at first marriage, latest available year",,,,,,,,,,,,
,,,,,,,,,,,,
"Country
(Census and/or Survey)",السنة,مجموع السكان,,المواطنون,,غير مواطنين,,حضر,,ريف,,"البلد
(تعداد و/أو مسح)"
,,total population,,nationals,,non-nationals,,urban,,rural,,
,year,ذكور,اناث,ذكور,اناث,ذكور,اناث,ذكور,اناث,ذكور,اناث,
,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,
Bahrain,,,,,,,,,,,,البحرين
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
administrative records,2010,26.7,23.2,26.6,22.9,28.3,26.1,…,…,…,…,السجلات الادارية
Egypt,,,,,,,,,,,,مصر
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,2011,28.5,23.6,…,…,…,…,…,…,…,…,المسوحات
administrative records,2010,28.7,23.8,28.7,23.8,…,…,…,…,…,…,السجلات الادارية
Iraq,,,,,,,,,,,,العراق
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,...,…,19.5,…,…,…,…,…,…,…,…,المسوحات
Jordan,,,,,,,,,,,,الأردن
census,2004,…,…,28.8,25.9,…,…,…,…,…,…,التعداد
survey,2012,30,25.9,...,...,…,…,…,…,…,…,المسوحات
Kuwait,,,,,,,,,,,,الكويت
census,2005,28.9,27.5,27.5,25.3,29,28.3,…,…,…,…,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Lebanon,,,,,,,,,,,,لبنان
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,2009,…,27.7,…,…,…,…,…,…,…,…,المسوحات
Libya,,,,,,,,,,,,ليبيا
census,2004,…,…,33,31,…,…,…,…,…,…,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Morocco,,,,,,,,,,,,المغرب
census,2010,31.4,26.6,…,…,…,…,32.5,27.4,30,25.6,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Oman,,,,,,,,,,,,عمان
census,2010,27.7,25.6,28.4,26.1,26.6,23.3,…,…,…,…,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Palestine,,,,,,,,,,,,فلسطين
census,2007,24.5,19.7,24.5,19.7,…,…,24.7,19.7,24.2,19.8,التعداد
survey,2010,…,18.7,…,18,…,…,…,18.7,…,18.8,المسوحات
administrative records,2011,24.6,20,…,…,…,…,…,…,…,…,السجلات الادارية
Qatar,,,,,,,,,,,,قطر
census,2010,27.9,25,26.5,23.9,29.6,26.5,…,…,…,…,التعداد
survey,2011,..,..,26.7,24.1,29.6,26.5,…,…,…,…,المسوحات
administrative records,2011,28,25.1,26.7,24.1,29.6,26.5,…,…,…,…,السجلات الادارية
Saudi Arabia,,,,,,,,,,,,المملكة العربية السعودية
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,2007,…,…,25.2,20.4,…,…,…,…,…,…,المسوحات
Sudan,,,,,,,,,,,,السودان
census,2008,28.4,23.2,…,…,…,…,31.1,25.3,27.1,22.4,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Syrian Arab Republic,,,,,,,,,,,,الجمهورية العربية السورية
census,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,2009,29.1,25.3,…,…,…,…,29.2,24.7,29,26.1,المسوحات
Tunis,,,,,,,,,,,,تونس
census,,,,,,,,,,,,التعداد
survey,2007,…,…,25.2,20.4,…,…,…,…,…,…,المسوحات
administrative records,2011,…,…,32.7,27.7,…,…,…,…,…,…,
United Arab Emirates,,,,,,,,,,,,الإمارات العربية المتحدة
census,2005,26.78,25.25,26.96,25.62,26.69,25.1,26.82978855926954,25.322914832909813,26.504046888919742,25.02373336727834,التعداد
survey,1995,27.259946202067695,24.933925521819386,26.05,23.96,27.63,25.05,27.71327575723136,25.22105951995219,27.043510707525698,23.667680087545502,المسوحات
Yemen,,,,,,,,,,,,اليمن
census,2004,25.45,22.14,…,…,…,…,26.32,22.89,24.92,21.79,التعداد
survey,…,…,…,…,…,…,…,…,…,…,…,المسوحات
