الجدول 78:  توزيع الحالة الزواجية (%)، حسب اخر تعداد و/او اخر مسح,,,,,,,,,,,,,,,
"Table 78: Distribution of marital status (%), according to last census and/or survey",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country,السنة,"تحديد العمر
(10+، 12+، 15+)","لم يسبق له/لها الزواج
  single",,"متزوج/ متزوجة
  married",,"منفصل(ة)/ مطلق(ة)
separated/ divorced",,"ارمل/ ارملة
widowed",,"غيره
  others",,"المجموع
  Total",,البلد
,year,"specify age (10+, 12+, 15+)","ذكور
Male","اناث
Female","ذكور
Male","اناث
Female","ذكور
Male","اناث
Female","ذكور
Male","اناث
Female","ذكور
Male","اناث
Female","ذكور
Male","اناث
Female",
Bahrain,,,,,,,,,,,,,,,البحرين
census,2010,,59.3,40.9,39.8,53.1,0.7,2.2,0.2,3.7,…,…,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Egypt,,,,,,,,,,,,,,,مصر
census,...,,16.6106110576083,12.3919199015423,31.4968131830769,32.3576857933432,0.186310384772059,0.601069772568838,0.878496419256946,5.47709348783149,…,…,49.172231044714195,50.827768955285805,التعداد
survey,2011,,32.5,33.6,66.3,59.7,0.8,2.9,0.4,3.8,…,…,…,…,المسوحات
Iraq,,,,,,,,,,,,,,,العراق
census,…,,…,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,2007,,25.7,26.5,23,19.1,0.1,0.6,0.4,4.4,3.5,…,49.3,50.7,المسوحات
Jordan,,,,,,,,,,,,,,,الاردن
census,…,,…,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Kuwait,,,,,,,,,,,,,,,الكويت
census,2011,,38.5,35.2,60.2,55.7,0.7,2.8,0.5,6.3,…,…,58.18448407571307,41.81551592428693,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Lebanon,,,,,,,,,,,,,,,لبنان
census,…,,…,…,…,…,…,…,…,…,…,…,,…,التعداد
survey,2007,,22.1495272965659,19.358058634581802,25.1792020378912,26.1957810962425,0.417673026128494,0.799283121206063,0.88931682468188,5.0111579627022405,…,…,48.6357191852674,51.3642808147326,المسوحات
Libya,,,,,,,,,,,,,,,ليبيا
census,2006,,57.77,49.33,41.35,42.77,0.26,1.27,0.62,6.63,…,…,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Morocco,,,,,,,,,,,,,,,المغرب
census,…,,…,…,…,…,…,…,…,…,…,…,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Oman,,,,,,,,,,,,,,,عمان
census,2010,,23.4,13.8,36.6,21.8,0.4,1.1,0.3,2.5,0.1,0,60.9,39.1,التعداد
survey,2008,,23.2,14,39.2,20.1,0.3,0.8,0.2,2,0.1,0.0192314651584786,63,37,المسوحات
Palestine,,,,,,,,,,,,,,,فلسطين
census,2007,12+,49,40.9,49.7,51.9,0.3,1.2,0.6,5.7,0.4,0.3,…,…,التعداد
survey,2010,,44.2,35.9,54.8,56.5,0.3,1.5,0.6,6.1,…,…,…,…,المسوحات
Qatar,,,,,,,,,,,,,,,قطر
census,2004,,19.0251400476396,8.87110065560859,51.9800975345717,18.3214754749649,0.19604067236745998,0.435626662225391,0.139483805826051,1.0310351467963002,…,…,71.3407620604048,28.6592379395952,التعداد
survey,2010,,25,25,20.062,21.0607,1.4696,0,3.3003,3.2163252,0.168,0.176352,50,50,المسوحات
Saudi Arabia,,,,,,,,,,,,,,,المملكة العربية السعودية
census,2004,,18.2,14.3,27,27.3,0.3,0.7,0.2,2.5,0,0,45.6,44.8,التعداد
survey,2007,,40.1,32.1,58.7,60.2,0.8,2.4,0.4,5.4,…,…,50.5,49.5,المسوحات
Sudan,,,,,,,,,,,,,,,السودان
census,2008,,48.4,32.9,49.8,58.9,0.9,2.5,0.9,5.7,…,…,49.92363771887514,50.076362281124865,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Syrian Arab Republic,,,,,,,,,,,,,,,الجمهورية العربية السورية
census,2004,,22.6695125681938,16.6757451341986,28.015746825226902,29.824484328683997,0.10155638040789401,0.28346974389632,0.262895250643817,1.96056078891678,0.11125186181174299,0.0947771180200464,51.1609628862842,48.8390371137158,التعداد
survey,2009,,20.3619460195573,14.993045963471399,29.9948403113658,30.377614857995,0.170862009288592,0.503728596782959,0.567651399920799,3.0303108416182103,…,…,51.095299740132404,48.9047002598676,المسوحات
Tunisia,,,,,,,,,,,,,,,تونس
census,2004,,46.6,37.9,51.8,52.1,0.5,1.5,1,8.5,…,…,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
United Arab Emirates,,,,,,,,,,,,,,,الإمارات العربية المتحدة
census,2005,,19.886,9.009,51.753,17.405,0.263,0.444,0.341,0.808,0.047,0.042,72.29,27.708,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
Yemen,,,,,,,,,,,,,,,اليمن
census,2004,,53.2,42.8,44.3,48.8,0.7,1.4,1.2,6.3,0.6,0.6,…,…,التعداد
survey,…,,…,…,…,…,…,…,…,…,…,…,…,…,المسوحات
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
