CROP YEAR 2003,FY03 12 Months 9/1/02 - 8/31/03,FY03 4th Qtr 6/1/03 - 8/31/03,FY03 3rd Qtr 3/1/03 - 5/31/03,FY03 2nd Qtr 12/1/02 - 2/28/03,FY03 1st Qtr 9/1/02 - 11/30/02
Net Sales,4936.0,1307.0,1470.0,1301.0,858.0
Net Income (Loss),68.0,-188.0,174.0,100.0,-18.0
Diluted Earnings (Loss) per Share,0.26,-0.72,0.67,0.38,-0.07
Total seeds and genomics,1905.0,258.0,615.0,655.0,377.0
Roundup and other glyphosate-based agricultural herbicides,1804.0,708.0,463.0,373.0,260.0
All other agricultural productivity products,1227.0,341.0,392.0,273.0,221.0
Seed and Genomics Segment EBIT,183.0,-145.0,139.0,146.0,43.0
Agricultural Productivity Segment EBIT,0.0,-137.0,137.0,55.0,-55.0
Net Interest Expense,69.0,17.0,18.0,19.0,15.0
Income Tax Expense (Benefit),34.0,-111.0,84.0,70.0,-9.0
Seed and Genomics Segment Depreciation,96.0,24.0,24.0,24.0,24.0
Agricultural Productivity Segment Depreciation,233.0,59.0,58.0,58.0,58.0
Seed and Genomics Segment Amortization,121.0,32.0,31.0,32.0,26.0
Agricultural Productivity Segment Amortization,3.0,1.0,0.0,1.0,1.0
Net Cash Provided (Required) by Operations,1128.0,,,,
Net Cash Provided (Required) by Investing Activities,-482.0,,,,
Free Cash Flow *,646.0,,,,
