Crime By Council,Battle Creek 1.0,Greater East Side 2.0,West Side 3.0,Dayton's Bluff 4.0,Payne-Phalen 5.0,North End 6.0,Thomas Dale 7.0,Summit-University 8.0,West 7th 9.0,Como 10.0,Hamline-Midway 11.0,St. Anthony Park 12.0,Union Park 13.0,Mac-Groveland 14.0,Highland 15.0,Summit Hill 16.0,Downtown 17.0,Citywide Total
Agg. Assault,,2.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,8.0
Agg. Assault Dom.,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,6.0
Auto Theft,2.0,2.0,,3.0,7.0,5.0,3.0,5.0,,,3.0,1.0,1.0,,,,,32.0
Burglary,6.0,5.0,6.0,8.0,7.0,6.0,6.0,8.0,5.0,,,1.0,4.0,3.0,4.0,,2.0,71.0
Discharge,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,14.0
Graffiti,,,3.0,1.0,8.0,1.0,,,1.0,,,1.0,5.0,,1.0,,,21.0
Narcotics,4.0,5.0,,7.0,6.0,3.0,4.0,5.0,1.0,2.0,4.0,,,,3.0,2.0,9.0,55.0
Other Asasult Dom.,3.0,3.0,,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,30.0
Rape,,,,,,,1.0,,,,1.0,,,,,1.0,,3.0
Robbery,2.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,1.0,,1.0,,,15.0
Theft,11.0,17.0,9.0,15.0,24.0,16.0,4.0,13.0,2.0,5.0,14.0,6.0,35.0,7.0,10.0,3.0,15.0,206.0
Vandalism,2.0,2.0,,6.0,9.0,5.0,6.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,,50.0
