Fiscal Period,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec00,Dec01,Dec02,Dec03,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),0.0,0.0,0.0,0.0,180.96,184.37,159.18,124.28,89.43,53.07,58.8,40.65,31.76,26.84,27.03,,0.0,0.0,0.0,0.0,49.54,78.22,51.87,44.38,48.79,47.69,43.44,44.82,44.79,39.1,30.5,31.08,34.91,32.82,25.22,23.18,26.66,23.33,16.09,13.1,12.97,14.52,11.81,14.09,17.62,15.13,11.96,12.66,16.12,9.24,6.56,7.56,8.6,8.27,7.32,7.54,7.18,6.6,5.71
EBITDA per Share ($),0.0,0.0,0.0,0.0,4.3,4.53,3.28,0.62,0.37,0.02,-0.34,0.05,0.23,-0.15,-0.15000000000000002,,0.0,0.0,0.0,0.0,0.0,2.72,0.42,0.95,0.94,1.31,1.33,1.08,1.27,0.71,0.21,0.52,0.85,0.6,-1.35,-0.07,0.86,0.32,-0.74,-0.43,0.45,0.01,-0.03,-0.14,0.23,-0.14,-0.3,-0.07,0.03,0.07,0.0,-0.03,0.1,0.21,-0.04,-0.04,-0.16,0.06,-0.01
EBIT per Share ($),0.0,0.0,0.0,0.0,3.69,3.79,2.52,-0.06,-0.29,-0.52,-0.78,-0.19,0.09,-0.27,-0.26,,0.0,0.0,0.0,0.0,1.33,2.33,0.21,0.78,0.76,1.12,1.13,0.89,1.08,0.52,0.02,0.32,0.66,0.42,-1.46,-0.25,0.67,0.14,-0.86,-0.59,0.32,-0.12,-0.15,-0.26,0.12,-0.24,-0.4,-0.17,-0.06,0.02,-0.04,-0.07,0.06,0.17,-0.08,-0.08,-0.18,0.04,-0.04
Earnings per Share (diluted) ($),0.0,0.0,0.0,0.0,1.02,1.46,0.51,-0.91,-1.02,-1.98,-1.73,-0.89,-0.38,-0.51,-0.529,,0.0,0.0,0.0,0.0,0.52,0.48,-0.325,0.28,0.25,0.46,0.47,0.32,0.31,0.07,-0.2,-0.01,0.18,0.03,-1.11,-0.34,0.21,-0.08,-0.81,-1.95,0.02,-0.44,0.39,-0.48,-0.11,-0.48,-0.658,-0.4,-0.31,-0.12,-0.172,-0.18,-0.06,0.05,-0.189,-0.19,-0.27,-0.04,-0.029
Free Cashflow per Share ($),0.0,0.0,0.0,0.0,6.28,3.68,1.74,2.16,5.97,-0.7,-1.11,-1.32,-1.28,-0.56,-0.84,,0.0,0.0,0.0,0.0,0.0,2.64,3.29,-2.74,0.67,2.67,3.07,-2.18,-1.6,1.47,4.04,-2.7,0.28,1.41,3.16,-0.71,1.64,2.17,2.84,-0.6,0.33,-0.21,-0.23,-1.54,-1.14,1.03,0.54,-2.16,-1.29,0.33,0.55,-1.5,-0.37,0.38,0.2,-1.45,-0.47,0.73,0.35
Dividends Per Share,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book Value Per Share ($),0.0,0.0,0.0,0.0,6.97,6.08,6.13,4.95,3.18,1.58,0.03,0.14,-0.32,-0.07,-0.07,,0.0,0.0,0.0,0.0,0.0,1.74,6.08,5.15,5.3,5.66,6.08,6.35,6.52,6.41,6.13,5.96,6.13,6.02,4.95,4.43,4.7,4.61,3.18,1.37,1.5,1.21,1.58,1.14,1.05,0.65,0.03,-0.3,-0.58,0.53,0.14,-0.04,-0.09,-0.02,-0.32,0.07,-0.17,-0.19,-0.07
Month End Stock Price,0.0,0.0,0.0,0.0,14.47,11.25,10.4,3.93,1.89,2.77,3.66,1.5,2.81,1.95,1.45,,0.0,0.0,0.0,0.0,0.0,0.0,14.47,13.51,10.58,13.44,11.25,16.0,13.03,10.05,10.4,10.5,10.7,7.04,3.93,5.09,3.54,5.29,1.89,2.61,3.0,4.01,2.77,3.81,2.63,3.99,3.66,3.7,2.31,1.45,1.5,2.64,2.35,2.34,2.81,2.85,2.15,1.95,1.95
Return on Equity %,1.0999999999999999,4.5,4.3,8.799999999999999,18.3,24.3,8.4,-18.0,-30.8,-120.9,-5372.7,-460.59999999999997,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,244.4,-16.400000000000002,21.6,19.2,32.4,31.6,20.4,19.2,4.8,-12.4,-0.4,11.200000000000001,2.0,-88.0,-30.0,17.599999999999998,-6.800000000000001,-97.6,-538.0,5.2,-138.0,94.8,-158.0,-39.6,-278.0,-8171.599999999999,0.0,0.0,-75.6,-489.59999999999997,0.0,0.0,0.0,0.0,-897.6000000000001,0.0,0.0,0.0
Return on Assets %,0.8999999999999999,3.5999999999999996,3.5000000000000004,6.9,2.3,3.9,1.6,-3.2,-4.3,-11.200000000000001,-10.100000000000001,-7.7,-4.2,-7.7,-2.0,,0.0,0.0,0.0,0.0,0.0,6.4,-2.0,2.8000000000000003,2.4,4.3999999999999995,5.2,3.2,2.8000000000000003,0.8,-2.4,0.0,2.0,0.4,-15.6,-4.8,3.2,-1.2,-13.600000000000001,-39.2,0.4,-9.2,8.799999999999999,-10.0,-2.0,-10.4,-15.6,-8.4,-6.0,-4.3999999999999995,-8.0,-7.199999999999999,-2.4,2.0,-8.4,-7.199999999999999,-12.4,-2.0,-2.0
