Title,URL,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,TOTAL
"Psychological Response to Injury, Recovery, and Social Support:  A Survey of Athletes at an NCAA Division I University",http://digitalcommons.uri.edu/srhonorsprog/9,50,35,66,149,181,140,145,142,192,233,285,205,1823
La double vie de Baudelaire: le trouble bipolaire et la dépendance à l’opium,http://digitalcommons.uri.edu/srhonorsprog/58,64,42,66,105,120,63,70,59,75,103,127,78,972
The Power of Ridicule: An Analysis of Satire,http://digitalcommons.uri.edu/srhonorsprog/63,39,50,66,82,76,67,58,54,88,118,98,57,853
Developing Global Competence in Engineering Students:  U.S. and German Approaches,http://digitalcommons.uri.edu/ojgee/vol3/iss2/1,109,200,47,59,63,45,42,58,74,50,44,23,814
L'Avenir de la Pharmacie: Une Comparaison des Modèles Français et Américain,http://digitalcommons.uri.edu/srhonorsprog/56,3,266,129,31,41,37,36,22,34,49,38,21,707
Green Hall,http://digitalcommons.uri.edu/photographs/17,47,58,109,96,65,41,37,26,67,7,0,2,555
The Narragansett Dawn,http://digitalcommons.uri.edu/sc_pubs/5,51,38,37,56,46,29,53,44,24,33,42,39,492
Mai '68: Une Revolution Culturelle,http://digitalcommons.uri.edu/srhonorsprog/31,17,10,28,36,63,53,42,47,50,48,50,18,462
Entertaining Politics and the College Student,http://digitalcommons.uri.edu/srhonorsprog/20,33,15,27,62,36,56,21,22,115,26,20,15,448
Foucault and the Hupomnemata: Self Writing as an Art of Life,http://digitalcommons.uri.edu/srhonorsprog/18,17,22,35,68,52,33,39,45,20,52,46,15,444
Where Have All the Protest Songs Gone?,http://digitalcommons.uri.edu/srhonorsprog/43,2,10,11,29,34,10,11,44,59,72,77,37,396
Rodman Hall,http://digitalcommons.uri.edu/photographs/22,23,23,56,28,41,29,46,25,51,22,10,11,365
Educating Engineers as Global Citizens: A Call for Action / A Report of the National Summit Meeting on the Globalization of Engineering Education,http://digitalcommons.uri.edu/ojgee/vol4/iss1/1,0,0,0,0,0,0,0,0,0,147,112,95,354
