Local Education Agencies,Elementary Teachers (K-6),Secondary Teachers (7-12),All K-12 Classroom Teachers,Elementary Counselors,Secondary Counselors,School Administrators
American Leadership Academy,30.238095238095237,23.84732824427481,26.344186046511627,[1],[1],1132.8
American Prep Academy,26.942266571632217,19.00826446280992,23.955555555555556,[1],[1],414.6153846153846
AMES,[1],25.510204081632654,25.510204081632654,[1],254.49101796407186,212.5
Beehive Science & Technology,[1],13.555555555555555,13.555555555555555,[1],[1],[1]
CBA Center,[1],14.22413793103448,14.22413793103448,[1],[1],[1]
Channing Hall,26.186014399842197,16.67445846968989,23.89960666791534,[1],[1],286.9995501574449
City Academy,[1],12.098456403838131,12.098456403838131,[1],145.0,[1]
DaVinci Academy,[1],25.590551181102363,25.590551181102363,[1],325.0,209.6774193548387
East Hollywood,[1],21.750508868857224,21.750508868857224,[1],467.5,325.5004351610096
Entheos Academy,29.210689869484153,8.771929824561404,23.113824683820322,[1],[1],[1]
Fast Forward High,[1],18.462663376291015,18.462663376291015,[1],194.23076923076923,240.47619047619048
Freedom Academy,19.6,[2],18.76595744680851,[1],[1],441.0
George Washington,25.444596443228452,22.22222222222222,25.083510476768904,[1],[1],[1]
Intech Collegiate High School,[1],22.666666666666668,22.666666666666668,[1],158.66666666666666,91.53846153846153
Itineris Early College,[1],21.8944099378882,21.8944099378882,[1],141.0,141.0
John Hancock,19.823489477257297,11.399620012666245,17.295448066140835,[1],[1],182.0
Lakeview Academy,24.993801140590133,10.778443113772456,21.45650959210281,[1],[1],[1]
Legacy Prep Academy,26.17765355511623,13.485714285714286,21.43558648960246,[1],[1],502.0
Liberty Academy,20.425208807896734,15.315315315315315,19.393939393939394,[1],[1],[1]
Lincoln Academy,28.076923076923077,21.176470588235293,25.348837209302324,[1],360.0,[1]
Moab Community,25.0,[1],25.0,[1],[1],[1]
Monticello Academy,30.90733481052213,9.615384615384615,21.862030652593052,[1],[1],[1]
Mountainville Academy,24.352024394375743,7.554945054945055,21.028672373963854,[1],[1],619.0
Navigator Pointe Academy,26.094027202838557,14.787234042553191,21.45847871598046,[1],[1],492.0
Noah Webster Academy,27.833333333333332,[1],27.833333333333332,[1],[1],[1]
North Davis Prep Academy,27.51996546514138,[1],27.51996546514138,[1],[1],510.0
North Star Academy,28.312570781426952,24.63458696009197,27.098802232941303,522.3880597014925,454.5454545454545,500.0
NUAMES,[1],27.442992134895036,27.442992134895036,[1],485.0,485.0
Odyssey Charter,28.74576271186441,6.854009595613434,25.13017885442608,[1],[1],444.0
Ogden Prep Academy,27.733333333333334,19.733333333333334,25.066666666666666,[1],[1],296.8421052631579
Paradigm High School,[1],14.962962962962964,14.962962962962964,[1],[1],224.44444444444443
Pinnacle Canyon,19.7985651214128,15.341515474919957,18.27937431793379,[1],[1],174.7826086956522
Ranches,32.27272727272727,8.0,27.77777777777778,[1],[1],[1]
Reagan Academy,24.093023255813954,13.661971830985916,21.503496503496503,[1],[1],615.0
Renaissance Academy,25.519259365855998,15.938729041606294,23.71680037386089,[1],[1],304.5
Salt Lake Arts Academy,35.32934131736527,21.593533487297922,25.416666666666668,[1],[1],305.0
Salt Lake SPA,[1],66.11570247933885,66.11570247933885,[1],160.0,101.26582278481013
Soldier Hollow,19.0,25.0,19.324324324324323,[1],[1],178.75
Spectrum Academy,59.78260869565217,[1],73.75776397515527,[1],[1],283.5820895522388
SUCCESS Academy,[1],38.8,38.8,[1],194.0,194.0
Success School,[1],23.0,23.0,[1],[1],[1]
Summit Academy,32.666666666666664,23.0,32.114285714285714,[1],[1],562.0
Syracuse Arts Academy,25.333333333333332,[1],25.333333333333332,[1],[1],532.0
Thomas Edison-North,21.493506493506494,17.5,20.736842105263158,[1],[1],394.0
Thomas Edison-South,25.51948051948052,20.384615384615383,24.77777777777778,[1],[1],446.0
Timpanogos Academy,23.43509096515572,13.054463784390792,20.266506705514377,[1],[1],473.0
Tuacahn High School,[1],18.527918781725887,18.527918781725887,[1],219.0,95.21739130434783
UCAS,[1],33.956043956043956,33.956043956043956,[1],131.48936170212767,213.10344827586206
Uintah River,[1],29.0,29.0,[1],[1],64.44444444444444
Walden School,[1],13.246753246753247,13.246753246753247,[1],[1],[1]
Wasatch Peak Academy,26.516961299569996,[1],26.516961299569996,[1],[1],658.102766798419
