Mathematics Raw Score,Scale Score,Raw Score,Scale Score
0,300,41,565
1,353,42,568
2,382,43,571
3,400,44,574
4,413,45,577
5,423,46,581
6,432,47,584
7,439,48,590
8,446,49,591
9,452,50,594
10,458,51,600
11,463,52,602
12,468,53,606
13,473,54,610
14,477,55,614
15,482,56,619
16,486,57,624
17,490,58,629
18,493,59,634
19,497,60,640
20,500,61,647
21,504,62,655
22,507,63,663
23,511,64,673
24,514,65,686
25,517,66,704
26,520,67,733
27,523,68,780
28,526,,
29,529,,
30,532,,
31,535,,
32,538,,
33,541,,
34,544,,
35,547,,
36,550,,
37,553,,
38,556,,
39,559,,
40,562,,
