Order of Difficulty (easy to hard),Location,Test / Session,Item No.,Point for CR Item,Item Type,Content Standard/ Subcontent Area,Benchmark,Benchmark Descriptor,DOK
1,510.82,G10 MA S1,20,1 of 4,CR,CS 3 SA 1,3.3c,Predict values using a line of best fit.,DOK 3
2,537.34,G10 MA S2,32,1 of 2,CR,CS 3,3.3a,"Graph data sets, create a scatter plot, and identify the control (independent) variable and dependent variable.",DOK 3
3,558,G10 MA S3,50,,MC,CS 2 SA 1,2.4a,Identify and interpret x-and y-intercepts in the context of a problem.,DOK 2
4,568.81,G10 MA S1,20,2 of 4,CR,CS 3 SA 1,3.3c,Predict values using a line of best fit.,DOK 3
5,571.59,G10 MA S2,29,,MC,CS 3 SA 1,3.3e,"Recognize which model, linear or nonlinear, fits the data most appropriately.",DOK 2
6,580.97,G10 MA S3,59,,MC,CS 2,2.2c,Interpret a graphical representation of a real-world situation.,DOK 2
7,602.47,G10 MA S1,12,1 of 2,CR,CS 2 SA 1,2.3a,"Solve problems involving functions and relations using calculators, graphs, tables, and algebraic methods.",DOK 2
8,607.57,G10 MA S2,24,,MC,CS 3 SA 2,3.1b,Draw conclusions about a large population based upon a properly chosen random sample.,DOK 3
9,612.29,G10 MA S2,39,,MC,CS 2 SA 1,2.1a,"Model real world phenomena involving linear, quadratic and exponential relationships using multiple representations of rules that can take the form of a recursive process, a function, an equation, or an inequality.",DOK 2
10,617.25,G10 MA S3,52,,MC,CS 1/6,1.3a,Use number sense to estimate and justify the reasonableness of solutions to problems involving real numbers.,DOK 2
11,617.3,G10 MA S2,38,,MC,CS 2,2.4a,Identify and interpret x-and y-intercepts in the context of a problem.,DOK 2
12,618.17,G10 MA S2,23,1 of 2,CR,CS 1/6,6.1a,"Use ratios, proportions, and percents in problem-solving situations that involve rational numbers.",DOK 2
13,621.82,G10 MA S1,18,,MC,CS 2 SA 1,2.2c,Interpret a graphical representation of a real-world situation.,DOK 2
14,622.99,G10 MA S3,57,1 of 3,CR,CS 4/5 SA 1,5.1c,"Given the rate of change, model real-world problems algebraically or graphically.",DOK 2
15,624.12,G10 MA S2,40,1 of 4,CR,CS 2 SA 1,2.2a,"Represent functional relationships using written explanations, tables, equations, and graphs, and describe the connections among these representations.",DOK 3
16,624.29,G10 MA S3,60,1 of 4,CR,CS 4/5,4.2a,Use the Pythagorean Theorem and its converse to solve real-world problems.,DOK 3
17,624.99,G10 MA S1,5,,MC,CS 1/6,6.2a,Apply appropriate computational methods to solve multi-step problems involving all types of numbers from the real number system.,DOK 1
18,628.43,G10 MA S1,14,,MC,CS 3,3.1c,"Select and use an appropriate display to represent and describe a set of data (for example, scatter plot, line graph and histogram).",DOK 2
19,629.91,G10 MA S1,8,1 of 3,CR,CS 4/5 SA 1,5.1c,"Given the rate of change, model real-world problems algebraically or graphically.",DOK 2
20,635.21,G10 MA S3,60,2 of 4,CR,CS 4/5,4.2a,Use the Pythagorean Theorem and its converse to solve real-world problems.,DOK 3
21,637.09,G10 MA S3,49,1 of 3,CR,CS 2 SA 1,2.1a,"Model real world phenomena involving linear, quadratic and exponential relationships using multiple representations of rules that can take the form of a recursive process, a function, an equation, or an inequality.",DOK 3
22,637.55,G10 MA S2,31,,MC,CS 3,3.1c,"Select and use an appropriate display to represent and describe a set of data (for example, scatter  plot, line graph and histogram).",DOK 2
