,Democratic,Republican,Undeclared,Total,,#1
Amherst,2421.0,3302.0,3126.0,8849.0,,337.0
Antrim*,572.0,589.0,897.0,2058.0,,152.0
Bedford,3938.0,7545.0,4916.0,16399.0,,737.0
Bennington,270.0,342.0,489.0,1101.0,,97.0
Brookline,670.0,1144.0,1703.0,3517.0,,201.0
Deering,330.0,412.0,664.0,1406.0,,120.0
Francestown,266.0,371.0,576.0,1213.0,,58.0
Goffstown,3419.0,5013.0,4400.0,12832.0,,1020.0
Greenfield,314.0,357.0,487.0,1158.0,,117.0
Greenville,406.0,308.0,692.0,1406.0,,119.0
Hancock,356.0,353.0,658.0,1367.0,,80.0
Hillsborough,882.0,1079.0,2220.0,4181.0,,390.0
Hollis,1235.0,1869.0,2650.0,5754.0,,260.0
Hudson,4228.0,5111.0,6966.0,16305.0,,1246.0
Litchfield,1449.0,1942.0,2512.0,5903.0,,339.0
Lyndeborough,256.0,380.0,643.0,1279.0,,88.0
Manchester Ward 1,2474.0,2398.0,2147.0,7019.0,,486.0
Manchester Ward 2,2282.0,1926.0,2261.0,6469.0,,691.0
Manchester Ward 3,1701.0,908.0,1600.0,4209.0,,845.0
Manchester Ward 4,1983.0,1303.0,2017.0,5303.0,,696.0
Manchester Ward 5,1903.0,915.0,1578.0,4396.0,,703.0
Manchester Ward 6,2246.0,2094.0,2204.0,6544.0,,683.0
Manchester Ward 7,2097.0,1441.0,1836.0,5374.0,,700.0
Manchester Ward 8,2136.0,2108.0,2268.0,6512.0,,563.0
Manchester Ward 9,2108.0,1364.0,2027.0,5499.0,,678.0
Manchester Ward 10,2264.0,1634.0,1896.0,5794.0,,621.0
Manchester Ward 11,1724.0,1129.0,1792.0,4645.0,,666.0
Manchester Ward 12,2126.0,1975.0,2409.0,6510.0,,833.0
Mason,212.0,304.0,453.0,969.0,,47.0
Merrimack,5203.0,6724.0,7515.0,19442.0,,1323.0
Milford,2700.0,3452.0,4742.0,10894.0,,861.0
Mont Vernon,504.0,649.0,743.0,1896.0,,101.0
Nashua Ward 1,2051.0,1903.0,2992.0,6946.0,,495.0
Nashua Ward 2,1800.0,1749.0,2650.0,6199.0,,627.0
Nashua Ward 3,1984.0,1456.0,2448.0,5888.0,,611.0
Nashua Ward 4,1815.0,719.0,2055.0,4589.0,,711.0
Nashua Ward 5,1994.0,1755.0,2870.0,6619.0,,525.0
Nashua Ward 6,1921.0,1136.0,2377.0,5434.0,,625.0
Nashua Ward 7,1886.0,1186.0,2128.0,5200.0,,603.0
Nashua Ward 8,1934.0,1545.0,2686.0,6165.0,,609.0
Nashua Ward 9,1876.0,1670.0,3272.0,6818.0,,584.0
New Boston,977.0,1519.0,1493.0,3989.0,,252.0
New Ipswich,556.0,1333.0,1662.0,3551.0,,229.0
Pelham,2178.0,2343.0,4549.0,9070.0,,419.0
Peterborough,1996.0,1459.0,2001.0,5456.0,,298.0
Sharon,96.0,70.0,115.0,281.0,,25.0
Temple,227.0,256.0,511.0,994.0,,77.0
Weare,1306.0,2134.0,2756.0,6196.0,,365.0
Wilton,848.0,798.0,1458.0,3104.0,,203.0
Windsor,28.0,33.0,96.0,157.0,,9.0
