Name of Agency:,Street Address:,"City, State, ZIP:",County:,Phone Number:,Fee:
Alcoholism Intervention Services,"8436 Fairview Ave, Suite D","Boise, ID 83704",Ada,(208) 338-5249,100.0
Ascent Behavioral Health Services,"366 SW 5th Ave, Suite 100","Meridian, ID 83542",Ada,(208) 898-9755,150.0
Ashwood Recovery,"1833 Millenium Way, Suite# 120","Meridian, ID 83642",Ada,(888) 277-0068,90.0
Center for Behavioral Health,92 S. Cole Rd.,"Boise, ID 83704",Ada,(208) 376-5021,100.0
Center for Behavioral Health,"1965 S. Eagle Rd., Suite 180","Meridian, ID 83542",Ada,(208) 288-0649,100.0
Choices Impact,"600 N. Curtis, Suite 245","Boise, Idaho 83706",Ada,(208) 336-0744,90.0
Easter Seals-Goodwill,"8620 W. Emerald St., Suite 150","Boise, ID 83704-4839",Ada,(208) 672-2900,$50-$75
Walker Center,5420 W Franklin Rd,"Boise, ID 83705",Ada,(208) 336-9076,Unknown
Dave Liddle & Associates,"600 N. Curtis Rd., Suite 201","Boise, ID 83706",Ada,(208) 424-3189,150.0
A New Way Counseling,809 N. Arthur Ave.,"Pocatello, ID 83204",Bannock,(208) 339-4632,50.0
A to Z Family Services,"1501 Bench, Ste B","Pocatello, ID 83201",Bannock,(208) 478-9822,150.0
Bannock Youth Foundation,110 South 19th,"Pocatello, ID 83201",Bannock,(208) 251-1787,45.0
Lighthouse for Recovery,"1135 Yellowstone, Suite D","Pocatello, ID 83201",Bannock,(208) 237-3365,150.0
"Mental Wellness Centers, Inc.","1070 Hiline Rd., Suite 210","Pocatello, ID 83201",Bannock,(208) 478-9081,125.0
A to Z Family Services,150 S Broadway,"Blackfoot, ID 83221",Bingham,(208) 785-1326,150.0
Alliance Family Services,"141 Citation Way, Unit 5","Hailey, ID 83333",Blaine,(208) 578-2222,$160-$200
Alternative Counseling and Rehabilitation,37 Highway 57,"Priest River, ID 837569",Bonner,(208) 448-4855,100.0
Tamarac Treatment and Counseling Center,101 N. Boyer Ave,"Sandpoint, ID 83864",Bonner,(208) 263-5551,90.0
A to Z Family Services,380 N Capital Ave,"Idaho Falls, ID 83402",Bonneville,(208) 881-5059,150.0
Human Dynamics and Diagnostics,2267 Teton Plaza,"Idaho Falls, ID 83404",Bonneville,(208) 528-5466,90.0
Integrated Healthcare and Counseling,3355 S. Holmes Ave.,"Idaho Falls, ID 83404",Bonneville,(208) 523-2080,125.0
"Mental Wellness Centers, Inc.",2420 East 25th Circle,"Idaho Falls, ID 83404",Bonneville,(208) 542-1026,125.0
"Warnke & Woolf Services, P.C.","545 Shoup Ave., Suite 311","Idaho Falls, ID 83403",Bonneville,(208) 569-9113,Unknown
Rawlings Community Counseling,6658 Comanche St.,"Bonners Ferry, Idaho 83805",Boundary,208) 267-0900,100.0
"Mental Wellness Centers, Inc.",159 N Idaho St,"Arco, ID 83213",Butte,(208) 681-2594,125.0
A Fresh Start Recovery Services,1123 Blaine St.,"Caldwell, ID 83605",Canyon,(208) 459-9222,150.0
Bell Counseling,2719 S. Kimball,"Caldwell, ID 83617",Canyon,(208) 459-6557,200.0
Caldwell Family Services,524 Cleveland Blvd,"Caldwell, ID 83605",Canyon,(208) 455-5111,125.0
Community Services Counseling (Contact: Rebecca Drnjevic),974 Corporate Ln. Ste. 102,"Nampa, ID 83651",Canyon,(208) 860-3724,$100-$200
Cook & Tafoya-Fisher Behavioral Health,16 12th Avenue South,"Nampa, ID 83651",Canyon,(208) 461-3720,90.0
Family Services Counseling Center,704 Albany St.,"Caldwell, ID",Canyon,(208) 454-5133,135.0
Four Rivers Mental Health,1605 S. Kimball Ave,"Caldwell, ID",Canyon,(208) 454-2766,75.0
Mountain States Chemical Dependency,"1305 2nd St South, Suite 201","Nampa, ID 83651",Canyon,(208) 463-0202,160.0
Peak Recovery LLC,"2423 S. Georgia, Suite A","Caldwell, ID 83605",Canyon,(208) 455-1788,200.0
Port of Hope,508 E. Florida,"Nampa, ID 83686",Canyon,(208) 463-0118,Unknown
Alcoholism Intervention Services (Contact: Don Easteppe),,"Caldwell, ID 83605",Canyon,(208) 459-6712,$100-$150
Life Counseling Center,112 12th Ave,"Nampa, ID 83686",Canyon,(208) 465-5433,100.0
Montgomery Counseling Center,323 12th Avenue Rd.,"Nampa, ID 83686",Canyon,(208) 463-0212,120.0
Preferred Child and Family Services,531 E 5th St.,"Burley, ID 83318",Cassia,(208) 678-9114,100.0
Rainbow's End Recovery Center,25341 Hwy 93,"Challis, ID 83226",Custer,(208) 879-2267,125.0
Ascent Behavioral Health Services,1140 American Legion Blvd.,"Mountain Home, ID 83647",Elmore,(208) 580-0209,150.0
Creating Options,140 E. 2nd North,"Mountain Home, ID 83647",Elmore,(208) 587-8095,90.0
Emmett Family Services,426 Highway 16,"Emmett, ID 83617",Gem,(208) 365-2525,125.0
Walker Center,605 11th Ave E,"Gooding, ID 83301",Gooding,(208) 934-8461,Unknown
"Camas Professional Counseling, LLC",83 Highway 95 North,"Grangeville, ID 83530",Idaho,(208) 983-0235,190.0
ValleyView Recovery,109 S. Mill,"Grangeville, ID 83530",Idaho,(208) 983-0898,150.0
Alcoholism Intervention Services (Contact: Anna Stowe),"276 E 300 North, Building B","Jerome, ID 83338",Jerome,(208) 324-7250,$105 plus fees for diving record if applicable
Kent Thibault Counseling,"414 N. Lincoln, Ste. #3","Jerome, ID 83338",Jerome,(208) 324-8284,100.0
Valley  Community Counseling,"215 West Yakima St., Suite 3 & 4","Jerome, ID 83338",Jerome,(208) 736-0695,$100 in-state violations; $150 out-of-state violations
Restored Paths,109 E. Harrison,"Coeur d' Alene, ID 83815",Kootenai,(208) 664-8347,300.0
Abundant Wellness Center,"1125 E. Polston Ave, Suite A","Post Falls, ID 83854",Kootenai,(208) 457-1540,150.0
Port of Hope,2115 E. Sherman Ave.,"Coeur d' Alene, ID 83814",Kootenai,(208) 664-3300,Unknown
Rathdrum Counseling Center,14954 Coeur d' Alene St.,"Rathdrum, ID 83858",Kootenai,(208) 687-0538,100.0
Weeks and Vietri Counseling,818 South Washington,"Moscow, ID",Latah,(208) 882-8514,150.0
ChangePoint,"618 D St., Suite c","Lewiston, ID 83501",Nez Perce,(208) 750-1000,225.0
Nez Perce County Court Services,1113 F St.,"Lewiston, ID 83501",Nez Perce,(208) 799-3176,225.0
Riverside Recovery,1720 18th Ave.,"Lewiston, ID 83501",Nez Perce,(208) 746-4097,200.0
Road to Recovery,"20 N. Main, #2","Malad, ID 83252",Oneida,(208) 317-6300,Unknown
Bell Counseling,235 N. Main St.,Payette Idaho 83661,Payette,(208) 642-7169,200.0
Payette Family Services,"501 N 16th St, Ste # 108","Payette, ID 83661",Payette,(208) 642-6160,125.0
A to Z Family Services,127 Idaho St.,"American Falls, ID 83211",Power,(208) 226-1751,150.0
Solutions for Life,239 Idaho St.,"American Falls, ID 83211",Power,(208) 226-7500,100.0
"Mental Wellness Centers, Inc.","620 Centennial Mountain Dr, Ste # 12","Driggs, ID 83422",Teton,(208) 542-1026,125.0
Crosspointe Mental Health,1363 Fillmore St.,"Twin Falls, ID 83301",Twin Falls,(208) 736-7090,$150 plus fees for necessary records to complete evaluation.
Lifestyle Changes Counseling,371 Locust St. South,"Twin Falls, ID 83301",Twin Falls,(208) 734-5230,130.0
Preferred Child and Family Services,284 Martin St.,"Twin Falls, ID 83301",Twin Falls,(208) 733-7186,100.0
Treatment and Recovery Clinic,233 Gooding St. N,"Twin Falls, ID 83301",Twin Falls,(208) 736-5048,200.0
Valley  Community Counseling,"1092 Eastland Dr. North, Suite C & D","Twin Falls, ID 83301",Twin Falls,(208) 736-0695,$100 in-state violations; $150 out-of-state violations
Walker Center,762 Falls Ave,"Twin Falls, ID 83301",Twin Falls,(208) 734-4200,Unknown
McCall Family Services,"106 East Park St. , Suite 100","McCall, ID 83638",Valley,(208) 634-3554,150.0
