,,Counterparty,Physical,Max Tenor,Financial,Max Tenor
,,ABAG POWER,NO TRADES,,NO TRADES,
,,"ACN Power, Inc.",NO TRADES,,NO TRADES,
,,AES Power Inc.,NO TRADES,,NO TRADES,
,,"Allegheny Electric Cooperative, Inc.",NO TRADES,,NO TRADES,
,,Alliant Services Company,Call Credit for approval beyond,1 Month,NO TRADES,
,,"Alternate Power Source, Inc.",Call Credit for approval,Any trade,Call Credit for approval,Any Trades
,,Ameren Services Company,Call Credit for approval beyond,12 Months,NO TRADES,
,,American Municipal Power-Ohio Inc.,Call Credit for approval,Any Trade,NO TRADES,
,,"Avista Energy, Inc.","OK - master, Call beyond",12 Months,OK - master,12 Months
,,"AYP Energy, Inc.",NO TRADES,,NO TRADES,
,,Ballard Petroleum LLC,L/C or prepay required,,NO TRADES,
,,Besicorp Group Inc.,NO TRADES,,NO TRADES,
,,Big Rivers Electric Corporation,NO TRADES,,NO TRADES,
,,"Blackhills-Pepperell Power Associates, Inc",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Blue Earth, City of",NO TRADES,,NO TRADES,
,,Braintree Electric Light Department,Call Credit for approval,Any Trade,NO TRADES,
,,"Cajun Electric Power Cooperative, Inc.",Call Credit for approval,Any Trade,NO TRADES,
,,Calpine Power Services Company,"OK - master, Call beyond",12 Months,Trade subject to credit,Any Trade
,,Cargill-Alliant LLC,Call Credit for approval beyond,9 months,Trade subject to credit,Any Trade
,,Central Hudson Enterprises Corporation,Call Credit for approval,Any Trade,NO TRADES,
,,Central Maine Power Company Inc.,NO TRADES,,NO TRADES,
,,Central Minnesota Municipal Power Agency,NO TRADES,,NO TRADES,
,,Central Vermont Public Service Corp.,Call Credit for approval beyond,Day Trades,NO TRADES,
,,"Chicago Electric Trading, LLC",NO TRADES,,NO TRADES,
,,"Cinergy Capital and Trading, Inc.",NO TRADES,,NO TRADES,
,,Citizens Power Sales,MERGED W/ EDISON MISSION (SEE EDISON BELOW),,NO TRADES,
,,"City of Redding, CA","OK - master, Call beyond",12 months,Trade subject to credit,Any trade
,,"City of Springfield, IL",NO TRADES,,NO TRADES,
,,CNG Power Services Corporation,NO TRADES,,NO TRADES,
,,Commercial Energy of Montana,NO TRADES,,NO TRADES,
,,Commonwealth Energy Corporation,NO TRADES,,NO TRADES,
