,POS,POS CH,PRICE,PRICE CH,P&L,P&L CH,,POS,POS CH,PRICE,PRICE CH,P&L,P&L CH,,POS,POS CH,P&L,P&L CH,,,Days,Off Peak MWH,OFF Peak Pos,,,,
2001-11-01 00:00:00,0,0,17.5,0,71423.99999999997,0,,0,0,20,0,0,0,,0,0,71423.99999999997,0,,,21,,,,,,
2001-12-01 00:00:00,-200,0,16,0,92823.51882934562,0,,-100,-50,22.75,0,-108799.99999999996,-8000,,-300,-50,-15976.48117065434,-8000,,,20,21200,-84800,,,,
2002-01-01 00:00:00,-150,0,19.704000000000004,0.5500000000000007,24792.20646362286,-32340.000000000044,,50,0,25.32,0,-62128.000000000015,0,,-100,0,-37335.793536377154,-32340.000000000044,,,22,19600,-58800,,,,
2002-02-01 00:00:00,-150,0,18.698545454545457,0.5500000000000007,93088.82331542963,-29040.00000000006,,50,0,24.57,0,-68480.00000000001,0,,-100,0,24608.823315429618,-29040.00000000006,,,20,17600,-52800,,,,
2002-03-01 00:00:00,-250,-50,18.530627450980393,0.5500000000000007,88141.02334594705,-48564.80000000012,,0,0,24.75,0,0,0,,-250,-50,88141.02334594705,-48564.80000000012,,,21,20400,-102000,,,,
2002-04-01 00:00:00,-250,-50,17.88626086956522,0.5500000000000007,151129.9808349607,-31947.20000000004,,0,0,24.45,0,0,0,,-250,-50,151129.9808349607,-31947.20000000004,,,22,18400,-92000,,,,
2002-05-01 00:00:00,-450,0,18.876244897959186,0.5500000000000007,82590.3999999997,-97020.00000000015,,0,0,26.795,0,0,0,,-450,0,82590.3999999997,-97020.00000000015,,,22,19600,-176400,,,,
2002-06-01 00:00:00,-300,-50,20.5758,0.5500000000000007,38823.998168945196,-52516.0000000001,,0,0,30.45,0,0,0,,-300,-50,38823.998168945196,-52516.0000000001,,,20,20000,-120000,,,,
2002-07-01 00:00:00,-600,-50,24.548000000000002,0.5500000000000007,-142782.531671143,-118540.80000000016,,0,0,38.35,0,0,0,,-600,-50,-142782.531671143,-118540.80000000016,,,22,19600,-235200,,,,
2002-08-01 00:00:00,-600,-50,24.312081632653058,0.5500000000000007,-91438.53191528245,-113916.80000000012,,0,0,38.35,0,0,0,,-600,-50,-91438.53191528245,-113916.80000000012,,,22,19600,-235200,,,,
2002-09-01 00:00:00,-300,-50,19.27988,0.5500000000000007,125006.03513183614,-49597.600000000006,,0,0,27.5,0,0,0,,-300,-50,125006.03513183614,-49597.600000000006,,,20,20000,-120000,,,,
2002-10-01 00:00:00,-400,-50,18.365851063829787,0.5500000000000007,206296.00000000017,-54818,,0,0,27.63,0,0,0,,-400,-50,206296.00000000017,-54818,,,23,18800,-150400,,,,
2002-11-01 00:00:00,-400,-50,18.936000000000003,0.5500000000000007,128239.99999999955,-69720.00000000019,,0,0,26.63,0,0,0,,-400,-50,128239.99999999955,-69720.00000000019,,,20,20000,-160000,,,,
2002-12-01 00:00:00,-400,-50,20.016882352941177,0.5500000000000007,-45595.20000000004,-93164.40000000008,,0,0,27.03,0,0,0,,-400,-50,-45595.20000000004,-93164.40000000008,,,21,20400,-163200,,,,
