,Futures Commission Merchant / Retail Foreign Exchange Dealer,Reg As    (a),DSRO    (b),A/O Date,Adjusted Net Capital,Net Capital Requirement   (c),Excess Net Capital   (d),Customers' Assets in Seg  (e),Customers' Seg Required 4d(a)(2)  (f),Excess/Deficient Funds in Seg   (g),Funds in Separate Section 30.7 Accounts  (h),Customer Amount Pt. 30 Required  (i),Excess/Deficient Funds in Separate Section 30.7 Accounts (j),Total Amount of Retail Forex Obligation  (k)
1.0,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2013-06-30 00:00:00,438981131,125119181,313861950,2720601655,2465733838,254867817,148377996,105593754,42784242,0
2.0,ADM INVESTOR SERVICES INC,FCM,CBOT,2013-06-30 00:00:00,271925497,139189496,132736001,3240534700,2996963649,243571051,206042478,135503551,70538927,0
3.0,ADVANTAGE FUTURES LLC,FCM,CME,2013-06-30 00:00:00,22772553,10505479,12267074,458266191,443152550,15113641,31870674,28559821,3310853,0
4.0,ALPARI (US) LLC,FCMRFD,NFA,2013-06-30 00:00:00,23321257,20077365,3243892,4094012,1332575,2761437,4103896,2580231,1523665,11547290
5.0,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2013-06-30 00:00:00,136047354,1000000,135047354,0,0,0,0,0,0,0
6.0,AMP GLOBAL CLEARING LLC,FCM,NFA,2013-06-30 00:00:00,2508979,1500000,1008979,42618086,40997979,1620107,559327,364968,194359,0
7.0,BARCLAYS CAPITAL INC,FCM BD,NYME,2013-06-30 00:00:00,5993062818,1192813959,4800248859,6297318824,6061103578,236215246,4359729431,4119114747,240614684,0
8.0,BGC FINANCIAL LP,FCM BD,NFA,2013-06-30 00:00:00,48325117,7487426,40837691,0,0,0,0,0,0,0
9.0,BNP PARIBAS PRIME BROKERAGE INC,FCM BD,NYME,2013-06-30 00:00:00,3386135246,228410786,3157724460,2494374125,2251596291,242777834,20669559,3220238,17449321,0
10.0,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2013-06-30 00:00:00,1400900250,138229988,1262670262,978591048,615566709,363024339,1000000,0,1000000,0
11.0,BNY MELLON CLEARING LLC,FCM,CME,2013-06-30 00:00:00,287463464,20000000,267463464,255352341,93531405,161820936,34969888,15553793,19416095,0
12.0,BOCI COMMODITIES & FUTURES USA LLC,FCM,NFA,2013-06-30 00:00:00,4769865,1000000,3769865,0,0,0,0,0,0,0
13.0,CANTOR FITZGERALD & CO,FCM BD,CBOT,2013-06-30 00:00:00,221804656,9227995,212576661,6212232,1247147,4965085,0,0,0,0
14.0,CAPITAL MARKET SERVICES LLC,FCM,NFA,2013-06-30 00:00:00,2250260,1000000,1250260,0,0,0,0,0,0,0
15.0,CHS HEDGING INC,FCM,CBOT,2013-06-30 00:00:00,25745543,9349663,16395880,180747828,156366548,24381280,1447905,454525,993380,0
16.0,CITADEL SECURITIES LLC,FCM BD,CME,2013-06-30 00:00:00,393089594,1215260,391874334,0,0,0,0,0,0,0
17.0,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2013-06-30 00:00:00,5090243714,796530980,4293712734,7512038174,7173583785,338454389,1249835222,972871441,276963781,0
18.0,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2013-06-30 00:00:00,6775330708,2076470324,4698860384,8572355980,7177950056,1394405924,3310194016,2683084863,627109153,0
19.0,CROSSLAND LLC,FCM,CBOT,2013-06-30 00:00:00,9194606,3139575,6055031,85109702,83490249,1619453,18212162,17438071,774091,0
20.0,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2013-06-30 00:00:00,2654670,1500000,1154670,58843126,57850926,992200,894232,741875,152357,0
21.0,CX CAPITAL MARKETS LLC,FCM BD,NFA,2013-06-30 00:00:00,1014164,1000000,14164,0,0,0,0,0,0,0
