,,,PG&E,SoCal,Total 36938.0,,Total 36937.0,Change,Weekly Report 36930.0,,,,,,,,,,,,,
,California Production,,186100.0,343900.0,530000.0,,528800.0,1200.0,526000.0,,,,,,,,,,,,,
,Topock,,665100.0,430400.0,1095500.0,,1206500.0,-111000.0,1262100.0,,,,,,,,,,,,,
,Ehrenberg,,,1190400.0,1190400.0,,1168000.0,22400.0,1252300.0,,,,,,,,,,,,,
,Kern/Mojave,,45800.0,535400.0,581200.0,,495400.0,85800.0,550600.0,,,,,,,,,,,,,
,PG&E-GT Northwest to PG&E,,1758400.0,,,,,,,,,,,,,,,,,,,
,PG&E to SoCal (KRS),,-299000.0,299000.0,,,,,,,,,,,,,,,,,,
,Total PG&E-GT Northwest,,1758400.0,,1758400.0,,1843800.0,-85400.0,1842800.0,,,,,,,,,,,,,
,Transwestern **,,227800.0,785300.0,1013100.0,,1075300.0,-62200.0,1073700.0,,,,,,,,,,,,,
,Wild Goose-Net (Inj.)/Withdrawal,,55900.0,,55900.0,,0.0,55900.0,26400.0,,,,,,,,,,,,,
,Storage-Net (Injection)/Withdrawal,,238000.0,792000.0,1030000.0,,1187100.0,-157100.0,1191500.0,,,,,,,,,,,,,
