Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec97,Dec98,Dec99,Dec00,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA per Share ($),-0.02,0.0,0.0,-0.06,-0.18,-0.27,-0.47,-0.49,-0.51,-0.47,-0.36,-0.38,-0.3,-0.26,-0.22,-0.22999999999999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.03,-0.05,-0.03,0.11,-0.11,-0.11,-0.14,-0.09,-0.12,-0.12,-0.16,-0.16,-0.09,-0.1,-0.16,-0.08,-0.11,-0.13,-0.14,-0.11,-0.09,-0.07,-0.09,-0.13,-0.09,-0.08,-0.09,-0.07,-0.06,-0.09,-0.08,-0.05,-0.07,-0.09,-0.05,-0.07,-0.06,-0.05,-0.05
EBIT per Share ($),-0.02,0.0,0.0,-0.06,-0.18,-0.27,-0.47,-0.49,-0.52,-0.51,-0.4,-0.42,-0.34,-0.3,-0.26,-0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.03,-0.05,-0.03,0.11,-0.11,-0.11,-0.14,-0.09,-0.12,-0.12,-0.16,-0.16,-0.09,-0.11,-0.17,-0.09,-0.12,-0.14,-0.15,-0.12,-0.1,-0.08,-0.1,-0.14,-0.1,-0.09,-0.1,-0.08,-0.07,-0.1,-0.08,-0.06,-0.08,-0.09,-0.06,-0.07,-0.06,-0.06,-0.06
Earnings per Share (diluted) ($),-0.024,0.0,0.0,-0.055,-0.18,-0.26,-0.45,-0.47,-0.46,-0.48,-0.41,-0.46,-0.2,-0.28,-0.25,-0.246,,0.0,0.0,0.0,0.0,0.0,-0.011,-0.011,-0.011,-0.021,-0.045,-0.045,-0.045,-0.042,-0.17,-0.02,-0.04,-0.027,-0.11,-0.1,-0.11,-0.135,-0.08,-0.12,-0.11,-0.153,-0.14,-0.09,-0.09,-0.15,-0.08,-0.11,-0.14,-0.145,-0.13,-0.08,-0.1,-0.094,-0.15,-0.05,-0.12,-0.142,0.05,-0.06,-0.1,-0.087,-0.05,-0.08,-0.09,-0.062,-0.07,-0.06,-0.06,-0.056
Free Cashflow per Share ($),-0.02,0.0,0.0,-0.01,-0.1,-0.13,-0.38,-0.41,-0.79,-0.44,-0.33,-0.29,-0.25,-0.25,-0.21,-0.21999999999999997,,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.1,-0.02,-0.04,-0.02,-0.03,-0.06,-0.07,-0.11,-0.13,-0.09,-0.09,-0.12,-0.11,-0.15,-0.11,-0.2,-0.3,-0.15,-0.09,-0.07,-0.12,-0.09,-0.11,-0.06,-0.07,-0.07,-0.08,-0.07,-0.06,-0.07,-0.07,-0.05,-0.06,-0.05,-0.07,-0.08,-0.05,-0.06,-0.06,-0.05,-0.05
Dividends Per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book Value Per Share ($),0.08,0.08,0.08,0.1,0.24,0.66,0.77,0.47,1.81,1.18,0.81,0.54,0.77,0.5,0.26,0.26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.72,0.71,0.68,0.66,0.61,0.57,0.46,0.77,0.76,0.69,0.58,0.47,0.34,1.76,1.5,1.81,1.72,1.63,1.53,1.18,1.2,1.12,1.02,0.81,0.72,0.65,0.57,0.54,0.93,0.9,0.84,0.77,0.73,0.65,0.56,0.5,0.44,0.37,0.31,0.26
Month End Stock Price,0.375,0.062,0.05,1.25,6.65,4.22,7.02,4.99,3.4,1.25,2.81,4.18,2.0,1.03,0.6,1.21,,0.24,0.281,0.375,0.062,0.05,0.12,0.22,0.85,1.25,1.6,1.26,3.7,6.65,7.2,3.97,6.51,4.22,5.63,5.6,6.06,7.02,9.16,7.4,5.6,4.99,4.94,3.37,3.693,3.4,3.59,3.0,1.91,1.25,1.91,1.49,2.56,2.81,2.58,1.76,2.2,4.18,2.88,2.11,1.63,2.0,1.7,1.35,1.53,1.03,0.951,0.53,0.56,0.6
Return on Equity %,-29.32,-1.01,0.0,-49.75,-75.01,-35.839999999999996,-54.83,-99.35000000000001,-20.74,-40.0,-50.7,-84.50999999999999,-25.22,-56.39999999999999,-97.43,-85.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.03999999999999,0.0,0.0,0.0,-75.0,-86.0,-12.76,-25.040000000000003,-15.040000000000001,-71.2,-72.72,-91.4,-74.24,-43.88,-68.36,-77.32,-130.96,-170.0,-18.0,-20.919999999999998,-31.680000000000003,-18.4,-27.88,-35.44,-48.92,-43.96,-30.36,-39.2,-46.52,-82.32000000000001,-31.680000000000003,-84.04,-104.03999999999999,19.52,-24.84,-45.68,-45.12,-25.840000000000003,-50.4,-66.12,-49.16,-67.96,-67.96,-78.44,-85.2
Return on Assets %,-28.96,-1.01,0.0,-46.239999999999995,-67.51,-35.260000000000005,-53.86,-94.53,-19.77,-36.21,-45.81,-67.78999999999999,-23.94,-52.87,-87.25,-76.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.67999999999999,0.0,0.0,0.0,-67.52,-82.12,-12.520000000000001,-24.52,-14.799999999999999,-70.16,-70.52000000000001,-90.0,-72.96000000000001,-43.8,-67.80000000000001,-76.75999999999999,-124.6,-158.07999999999998,-17.52,-19.919999999999998,-30.2,-17.88,-27.279999999999998,-32.440000000000005,-44.28,-38.6,-27.12,-36.480000000000004,-42.0,-72.48,-29.12,-73.44000000000001,-83.48,18.279999999999998,-23.64,-43.56,-42.84,-24.84,-47.8,-62.36000000000001,-46.08,-63.04,-62.88,-71.16,-76.32
