,,,,,,,地　　　　　 域   Area,,,職 業 （ 大 分 類 ） 別 15 歳 以 上 就 業 者 数 総　　数  Total,Ａ 専 門 的 ・ 技    術    的 職業従事者,Ｂ 管  理  的  職業従事者,Ｃ 事      務  従  事  者,Ｄ 販      売  従  事  者,Employed persons 15 years of age Ｅ サービス  職業従事者,Ｆ 保     安  職業従事者,Ｇ 農 林 漁 業  作  業  者,and over by occupation (major groups) Ｈ 運  輸  ・ 通      信 従  事  者,Ｉ 生産工程・  労務作業者,Ｊ 分類不能の  職　　　　業,総　数  Total,職 業 別 就 業 者 割 合 （ ％ ） Ａ 専門的・ 技術的 職   業 従事者,Ｂ 管理的 職業 従事者,Ｃ 事務  従事者,Ｄ 販売  従事者,Ｅ サービス 職業 従事者,Ｆ 保安 職業 従事者,Percent by occupation Ｇ 農林漁業  作業者,Ｈ 運輸・ 通信 従事者,Ｉ 生産工程 ・労務 作業者,J 分類不能  の職業
,,,,,,,全　　　国　　　Japan,,,62977960.0,8489745.0,1798152.0,12063827.0,9491850.0,5561829.0,995712.0,3149337.0,2257821.0,18433062.0,736625.0,100.0,13.5,2.9,19.2,15.1,8.8,1.6,5.0,3.6,29.3,1.2
,,,,,,,01,北海道,,2728347.0,351632.0,84027.0,478801.0,405230.0,256788.0,82275.0,208992.0,123012.0,709000.0,28590.0,100.0,12.9,3.1,17.5,14.9,9.4,3.0,7.7,4.5,26.0,1.0
,,,,,,,02,青森県,,730108.0,79968.0,18174.0,109627.0,92684.0,58565.0,21788.0,101485.0,31873.0,212982.0,2962.0,100.0,11.0,2.5,15.0,12.7,8.0,3.0,13.9,4.4,29.2,0.4
,,,,,,,03,岩手県,,728229.0,84209.0,19779.0,113744.0,87197.0,57970.0,9648.0,101747.0,28366.0,225101.0,468.0,100.0,11.6,2.7,15.6,12.0,8.0,1.3,14.0,3.9,30.9,0.1
,,,,,,,04,宮城県,,1151754.0,140953.0,34602.0,215319.0,183933.0,94870.0,21161.0,72420.0,47780.0,330013.0,10703.0,100.0,12.2,3.0,18.7,16.0,8.2,1.8,6.3,4.1,28.7,0.9
,,,,,,,05,秋田県,,587127.0,65833.0,14684.0,93939.0,73808.0,48642.0,8490.0,63193.0,21787.0,196010.0,741.0,100.0,11.2,2.5,16.0,12.6,8.3,1.4,10.8,3.7,33.4,0.1
,,,,,,,06,山形県,,642698.0,69345.0,17967.0,104388.0,79549.0,48533.0,9388.0,70623.0,20739.0,221482.0,684.0,100.0,10.8,2.8,16.2,12.4,7.6,1.5,11.0,3.2,34.5,0.1
,,,,,,,07,福島県,,1058604.0,116469.0,28296.0,169454.0,130741.0,82940.0,14276.0,101315.0,39071.0,371631.0,4411.0,100.0,11.0,2.7,16.0,12.4,7.8,1.3,9.6,3.7,35.1,0.4
,,,,,,,08,茨城県,,1432602.0,179243.0,31914.0,240603.0,168753.0,113452.0,20382.0,121768.0,54324.0,489724.0,12439.0,100.0,12.5,2.2,16.8,11.8,7.9,1.4,8.5,3.8,34.2,0.9
,,,,,,,09,栃木県,,1026226.0,120751.0,23871.0,167524.0,127451.0,89815.0,11141.0,75156.0,36809.0,366999.0,6709.0,100.0,11.8,2.3,16.3,12.4,8.8,1.1,7.3,3.6,35.8,0.7
,,,,,,,10,群馬県,,1043621.0,121430.0,26422.0,175885.0,131470.0,88633.0,11118.0,71195.0,35529.0,376838.0,5101.0,100.0,11.6,2.5,16.9,12.6,8.5,1.1,6.8,3.4,36.1,0.5
,,,,,,,11,埼玉県,,2694882.0,317533.0,63966.0,487550.0,384490.0,232793.0,38896.0,84832.0,109076.0,925348.0,50398.0,100.0,11.8,2.4,18.1,14.3,8.6,1.4,3.1,4.0,34.3,1.9
