Accident Year,Catastrophe Incurred Losses,Total Incurred Losses,,,,,,
1993-06-30 00:00:00,324726,1348340,,,,,,
1994-06-30 00:00:00,846900,3138212,,,,,,
1995-06-30 00:00:00,32042,2244029,,,,,,
1996-06-30 00:00:00,1046150,3480585,,,,,,
1997-06-30 00:00:00,108694,2009313,,,,,,
1998-06-30 00:00:00,328524,2663839,,,,,,
1999-06-30 00:00:00,196185,3278390,,,,,,
2000-06-30 00:00:00,1241516,5598217,,,,,,
2001-06-30 00:00:00,156647,3833596,,,,,,
2002-06-30 00:00:00,69954,3868750,,,,,,
2003-06-30 00:00:00,457367,4401651,,,,,,
2004-06-30 00:00:00,1196312,6929144,,,,,,
2005-06-30 00:00:00,825340,8835244,,,,,,
2006-06-30 00:00:00,565786,7516935,,,,,,
2007-06-30 00:00:00,949749,8099781,,,,,,
2008-06-30 00:00:00,310283,10989905,,,,,,
2009-06-30 00:00:00,893694,11260337,,,,,,
2010-06-30 00:00:00,6182182,18610140,,,,,,
2011-06-30 00:00:00,2421095,16923863,,,,,,
2012-06-30 00:00:00,4188357,17356359,,,,,,
