SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,129670,69890,159550,4900,4610,-0.0591,118
11-2022,Sales Managers,BD+,122180,58730,153900,840,870,0.035699999999999996,22
11-3051,Industrial Production Managers,BD+,107970,69020,127440,350,320,-0.0857,12
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,59290,39980,68940,530,470,-0.11320000000000001,12
13-1023,Purchasing Agents,LT OJT,68260,46270,79250,2610,2360,-0.09570000000000001,56
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,65340,44540,75740,3530,3440,-0.0254,90
13-1051,Cost Estimators,BD,70800,46720,82840,570,620,0.0877,16
13-1081,Logisticians,BD+,75360,55430,85320,1560,1690,0.0833,36
13-1111,Management Analysts,BD+,93870,56120,112740,4570,4600,0.006500000000000001,81
13-1151,Training & Development Specialists,BD,62500,40800,73350,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,66720,41230,79470,,,,
13-2011,Accountants & Auditors,BD,78970,45880,95520,8390,8560,0.0202,164
13-2072,Loan Officers,MT OJT,65930,45240,76280,1030,990,-0.0388,11
15-1061,Database Administrators,BD,,,,640,710,0.1093,15
15-1121,Computer Systems Analysts,BD,85580,59600,98570,,,,
15-1131,Computer Programmers,BD,83130,53870,97750,,,,
15-1132,"Software Developers, Applications",BD,93520,70460,105050,,,,
15-1133,"Software Developers, Systems Software",BD,100940,69510,116650,,,,
15-1142,Network & Computer Systems Administrators,BD,82610,55170,96330,,,,
15-1150,Computer Support Specialists,PS,51540,34750,59940,,,,
17-2051,Civil Engineers,BD,87400,60050,101080,1300,1320,0.015300000000000001,36
17-2071,Electrical Engineers,BD,90510,59980,105780,520,500,-0.0384,12
17-2112,Industrial Engineers,BD,84070,58930,96650,490,580,0.18359999999999999,21
17-2141,Mechanical Engineers,BD,92960,64420,107220,1280,1250,-0.023399999999999997,28
17-3011,Architectural & Civil Drafters,AD,55880,39310,64160,970,850,-0.12369999999999999,28
17-3013,Mechanical Drafters,AD,49590,34230,57270,230,220,-0.0434,7
17-3024,Electro-Mechanical Technicians,AD,,,,10,10,,0
