Local Education Agencies,Elementary Teachers (K-6),Secondary Teachers (7-12),All K-12 Classroom Teachers,Elementary Counselors,Secondary Counselors,School Administrators
Alpine,26.58527339294562,29.401485843571187,27.727865358497425,[1],388.6331444759207,547.5512195121951
Beaver,23.710777626193725,24.71462608015362,24.146608821849284,[1],320.2764976958525,368.0
Box Elder,24.710046051509465,25.18979849190622,24.92741455906531,[1],326.26666666666665,458.75536480686696
Cache,27.344679309867306,24.123254817644206,25.8305638462436,[1],388.35890163723093,493.7410071942446
Carbon,23.428607967261332,22.85282396592002,23.15106150432219,916.0,265.6549520766773,317.72727272727275
Daggett,16.3265306122449,11.325028312570783,13.53668441476401,[1],[1],428.5714285714286
Davis,26.281972000084465,23.831236199251627,25.128601285114588,1115.0929510766966,404.93247041526735,520.3578012747911
Duchesne,20.546209477767597,20.668357780963934,20.60351429103628,[1],386.3917525773196,323.2142857142857
Emery,21.7119594329179,19.377940040721757,20.534971410363077,[1],[1],244.21052631578948
Garfield,19.119266055045873,14.518487570503448,16.758379189594798,947.2727272727273,463.33333333333337,226.02409638554215
Grand,20.337662337662337,19.561302995580295,19.959017484099316,[1],358.5,300.0
Granite,26.61631262361199,22.075783238150358,24.35314122891677,12587.333333333334,329.8992018824128,461.09103078982605
Iron,24.8964161813741,23.45119675252452,24.242992459756007,960.2,439.05882352941177,439.8453608247423
Jordan,27.995511328092245,26.87969353318537,27.483331647018186,21704.5,503.6961073366662,501.7388535031847
Juab,25.11111111111111,26.651183867678714,25.788215370822336,[1],931.6831683168317,328.73015873015873
Kane,21.03438123589257,16.396401817142515,18.61835506519559,[1],311.42857142857144,330.0
Millard,23.328546353917346,18.46300322941729,20.634931941051192,946.2783171521036,1070.8955223880596,340.8235294117647
Morgan,24.78055367994598,21.05037513397642,22.87000439174352,[1],668.0272108843537,487.8220140515223
Nebo,27.918941776960057,26.729162339433586,27.412494447515844,1607.5395130286201,399.962553828871,514.68
North Sanpete,21.04201680672269,20.478074076877945,20.77676989771847,[1],[1],333.42857142857144
North Summit,20.559210526315788,18.934026137616122,19.728903547582654,1000.0,320.6666666666667,256.1357702349869
Park City,21.084561560220337,17.38429366858986,19.13968527224172,503.55555555555554,311.7469879518072,433.6
Piute,15.734989648033126,10.792349726775956,12.757201646090534,460.60606060606057,464.70588235294116,227.94117647058826
Rich,14.159292035398229,13.743218806509946,13.938618925831202,416.0,506.66666666666663,221.3197969543147
San Juan,19.59357407661678,13.974437942716355,16.290017766813406,4324.242424242424,311.587982832618,198.55172413793105
Sevier,26.544672876591523,20.886678658343033,23.65771359157781,25892.47311827957,558.8901472253681,335.0921465167852
South Sanpete,23.152861329631342,17.555662748483076,20.082446660353185,[1],256.49109792284867,262.1818181818182
South Summit,20.217391304347828,19.70160673297628,19.980049289989434,744.0,412.0,302.6666666666667
Tintic,13.714902807775378,11.396743787489287,12.422360248447205,635.0,266.0,162.5
Tooele,26.215980547146938,23.99936139441408,25.26248177069657,2465.3333333333335,408.88,484.2794083481762
Uintah,24.645433000961162,24.868131305372053,24.7383810403201,2946.4912280701756,286.5234835968846,385.8
Wasatch,25.839552238805968,19.592113788528586,22.703690511220206,831.0,340.17857142857144,399.8181818181818
Washington,25.68738327936798,24.092040908084616,24.970622194240104,1074.203846453321,358.5110718652357,468.3076923076923
Wayne,18.51106639839034,13.653156288483162,15.80968827224819,[1],[1],424.8
Weber,25.596277841727776,27.13869731800766,26.27597882073263,1096.4827586206898,324.48082091375517,511.9298245614035
Salt Lake,24.969885124480673,22.510963131395158,23.91061854557231,1147.7923964807492,362.0149253731343,468.498462623137
Ogden,26.69240546668669,22.66339563116315,24.85233478212415,581.1468219156233,425.126696092856,480.3076923076923
Provo,26.534969298825956,23.93124457804588,25.311584064186132,[1],456.2307692307692,435.45335942596216
Logan,23.21861506018047,20.50260350520701,21.929328781678834,[1],322.875,427.94117647058823
Murray,23.293178426318008,24.73721710310376,23.97397284056855,1812.2222222222222,359.5531766348615,453.7142857142857
