,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Series Start,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0,34335.0
Series End,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0,40179.0
No. Obs,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0
Series ID,A367164K,A367209C,A367254R,A367299V,A367174R,A367219J,A367264V,A367309L,A367179A,A367224A,A367269F,A367314F,A367184V,A367229L,A367274X,A367319T,A367189F,A367234F,A367279K,A367324K,A367194X,A367239T,A367284C,A367329W,A367199K,A367244K,A367289R,A367334R,A367204T,A367249W,A367294J,A367339A,A367169W,A367214W,A367259A,A367304A,A367165L,A367210L,A367255T,A367300T,A367175T,A367220T,A367265W,A367310W,A367180K,A367225C,A367270R,A367315J,A367185W,A367230W,A367275A,A367320A,A367190R,A367235J,A367280V,A367325L,A367195A,A367240A,A367285F,A367330F,A367200J,A367245L,A367290X,A367335T,A367205V,A367250F,A367295K,A367340K,A367170F,A367215X,A367260K,A367305C,A367166R,A367211R,A367256V,A367301V,A367176V,A367221V,A367266X,A367311X,A367181L,A367226F,A367271T,A367316K,A367186X,A367231X,A367276C,A367321C,A367191T,A367236K,A367281W,A367326R,A367196C,A367241C,A367286J,A367331J,A367201K,A367246R,A367291A,A367336V,A367206W,A367251J,A367296L,A367341L,A367171J,A367216A,A367261L,A367306F
34335.0,9925.0,943.0,1720.0,12588.0,6420.0,612.0,1035.0,8067.0,4806.0,642.0,1352.0,6800.0,1721.0,189.0,327.0,2237.0,2822.0,470.0,725.0,4017.0,532.0,53.0,124.0,709.0,177.0,42.0,91.0,310.0,737.0,45.0,86.0,868.0,27140.0,2996.0,5460.0,35596.0,13080.0,1227.0,2652.0,16959.0,8814.0,806.0,1672.0,11292.0,6268.0,809.0,1984.0,9061.0,2264.0,234.0,480.0,2978.0,3617.0,542.0,950.0,5109.0,768.0,68.0,182.0,1018.0,263.0,63.0,138.0,464.0,950.0,56.0,134.0,1140.0,36024.0,3805.0,8193.0,48022.0,13340.0,1239.0,2631.0,17210.0,8919.0,782.0,1717.0,11418.0,6325.0,781.0,1946.0,9051.0,2330.0,236.0,478.0,3045.0,3564.0,534.0,986.0,5084.0,761.0,62.0,211.0,1034.0,261.0,71.0,135.0,467.0,940.0,51.0,145.0,1136.0,36442.0,3756.0,8249.0,48446.0
