SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,87670,49520,106750,690,650,-0.057999999999999996,17
11-2022,Sales Managers,BD+,111600,68800,133000,170,150,-0.1176,4
11-3051,Industrial Production Managers,BD+,78480,51640,91910,110,100,-0.0909,4
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,53410,34000,63110,170,160,-0.0588,4
13-1023,Purchasing Agents,LT OJT,46170,32360,53080,250,220,-0.12,5
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,58890,42190,67240,330,320,-0.030300000000000004,9
13-1051,Cost Estimators,BD,56740,40660,64780,130,150,0.15380000000000002,4
13-1081,Logisticians,BD+,75390,52600,86790,120,150,0.25,5
13-1111,Management Analysts,BD+,73600,50450,85170,570,590,0.0351,12
13-1151,Training & Development Specialists,BD,46660,33560,53200,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,56460,39020,65180,,,,
13-2011,Accountants & Auditors,BD,54020,36360,62860,780,820,0.0513,18
13-2072,Loan Officers,MT OJT,59510,32950,72790,190,180,-0.0526,2
15-1121,Computer Systems Analysts,BD,75550,56460,85090,,,,
15-1131,Computer Programmers,BD,67410,45180,78530,,,,
15-1132,"Software Developers, Applications",BD,83790,60480,95440,,,,
15-1133,"Software Developers, Systems Software",BD,74030,66820,77640,,,,
15-1142,Network & Computer Systems Administrators,BD,62730,42950,72610,,,,
15-1150,Computer Support Specialists,PS,42030,27560,49270,,,,
17-2051,Civil Engineers,BD,65330,51030,72480,170,170,,4
17-2112,Industrial Engineers,BD,68800,43500,81450,170,160,-0.0588,4
17-2141,Mechanical Engineers,BD,65800,50340,73530,190,170,-0.10529999999999999,4
17-3011,Architectural & Civil Drafters,AD,40890,29020,46820,110,90,-0.1818,3
17-3013,Mechanical Drafters,AD,40150,31480,44490,120,100,-0.16670000000000001,3
17-3026,Industrial Engineering Technicians,AD,51710,33300,60920,60,60,,1
19-4021,Biological Technicians,BD,37700,21650,45720,30,30,,1
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,37500,24790,43850,110,130,0.1818,4
21-1014,Mental Health Counselors,MD,31640,23560,35680,370,430,0.16219999999999998,14
21-1015,Rehabilitation Counselors,MD,43040,31030,49040,80,90,0.125,3
21-1021,"Child, Family & School Social Workers",BD,35060,23050,41070,300,360,0.2,12
21-1022,Healthcare Social Workers,MD,46470,36600,51410,170,190,0.1176,6
21-1023,Mental Health & Substance Abuse Social Workers,BD,36360,25440,41830,120,140,0.16670000000000001,4
23-2011,Paralegals & Legal Assistants,AD,37350,23480,44280,120,150,0.25,4
25-1011,"Business Teachers, Postsecondary",PhD,57870,34490,69560,120,140,0.16670000000000001,4
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,96270,47750,120530,40,50,0.25,2
25-1081,"Education Teachers, Postsecondary",PhD,57520,34210,69170,200,230,0.15,6
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,41300,25750,49080,160,200,0.25,7
25-2011,Preschool Teachers,AD,24590,19410,27190,390,420,0.07690000000000001,9
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,,,,50,50,,1
25-2053,"Special Education Teachers, Middle School",BD,46360,36390,51340,,,,
25-2054,"Special Education Teachers, Secondary School",BD,57160,43350,64060,,,,
27-2022,Coaches & Scouts,LT OJT,33960,17130,42380,290,320,0.10339999999999999,10
29-1031,Dietitians & Nutritionists,BD,46330,35730,51630,80,80,,2
29-1051,Pharmacists,PROF,104590,99280,107240,250,310,0.24,10
29-1111,Registered Nurses,AD,56290,45320,61780,2960,3520,0.1892,105
29-1122,Occupational Therapists,MD,70550,57590,77030,340,410,0.2059,12
