A ITEM NO.,B DESCRIPTION OF WORK,C QUANTITY TOTAL,UNITS,UNIT COST LABOR,MATERIAL,ORIGINAL,CHANGE ORDERS,CURRENT,D QUANTITY TO DATE,COSTS TO DATE,PRIOR,THIS PERIOD,REMAINING
7.2.1,Home/branch office employees,,,,,,,,,,,,
7.2.1.1,Project Director/Executive,50.0,Hours,58.0,,2900.0,0.0,2900.0,0.0,0.0,0.0,0.0,2900.0
7.2.1.2,Project Manager,2000.0,Hours,38.0,,76000.0,0.0,76000.0,0.0,0.0,0.0,0.0,76000.0
7.2.1.3,Accountant,250.0,Hours,20.0,,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0
7.2.1.3,Accounting Clerk,500.0,Hours,10.0,,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0
7.2.1.4,Safety Director,100.0,Hours,20.0,,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0
7.2.1.5,Secretarial,50.0,Hours,10.0,,500.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0
7.2.1.6,Field employees,,,,,,,,,,,,
7.2.1.7,Project Superintendent,2000.0,Hours,24.0,,48000.0,0.0,48000.0,0.0,0.0,0.0,0.0,48000.0
7.2.1.7,Project Assistant Superintendent,2000.0,Hours,19.0,,38000.0,0.0,38000.0,0.0,0.0,0.0,0.0,38000.0
7.2.1.8,MEP Superintendent,800.0,Hours,36.0,,28800.0,0.0,28800.0,0.0,0.0,0.0,0.0,28800.0
7.2.1.8,Project Engineer,2000.0,Hours,20.0,,40000.0,0.0,40000.0,0.0,0.0,0.0,0.0,40000.0
7.2.1.9,Project Secretarial,2000.0,Hours,12.0,,24000.0,0.0,24000.0,0.0,0.0,0.0,0.0,24000.0
,Labor Burden for Project Staff,,0.49,,,132398.0,0.0,132398.0,0.0,0.0,0.0,0.0,132398.0
7.2.3,General operating expenses,,,,,,,,,,,,
7.2.3.1,home office expenses,12.0,Months,,500.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0
7.2.4,Capital expenses,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.4.1,field office expenses,0.0,Disallowed,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.4.2,home office expenses,0.0,Disallowed,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.6,Travel / per diem costs,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.6.1,field office personnel,0.0,Disallowed,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.6.2,home office personnel,0.0,Disallowed,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.7,Cost estimating service,12.0,Months,,800.0,9600.0,0.0,9600.0,,0.0,0.0,0.0,9600.0
7.2.8,Minor expenses,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.1,long distance telephone,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.2,site telephone service,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.3,cellular phone service,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.4,postage,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.5,express delivery,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.8.6,office supplies,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9,Cost of equipment,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.1,typewriters / computers,1.0,Allowance,,10000.0,10000.0,0.0,10000.0,,0.0,0.0,0.0,10000.0
7.2.9.2,cameras / video recorders,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.3,radios / pagers,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.4,copiers /  printers / fax,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.5,audio recorders / dictating units,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.6,construction trailers,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7.2.9.7,construction vehicles,12.0,Months,,500.0,6000.0,0.0,6000.0,,0.0,0.0,0.0,6000.0
7.2.9.8,construction vehicle fuel/repair/maint..,12.0,Months,,200.0,2400.0,0.0,2400.0,,0.0,0.0,0.0,2400.0
7.2.9.9,construction office furniture,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
