CROP YEAR 2003,FY03 12 months 9/1/02 - 8/31/03,,FY03 4th Qtr 6/1/03 - 8/31/03,,FY03 3rd Qtr 3/1/03 - 5/31/03,,FY03 2nd Qtr 12/1/02 - 2/28/03,,FY03 1st Qtr 9/1/02 - 11/30/02,
Net Sales,4936.0,,1307.0,,1470.0,,1301.0,,858.0,
Cost of Goods Sold,2621.0,,718.0,,744.0,,657.0,,502.0,
"Selling, General and Administrative Expenses",1045.0,,281.0,,301.0,,244.0,,219.0,
Bad-Debt Expense,72.0,,33.0,,5.0,,13.0,,21.0,
Research and Development Expenses,510.0,,131.0,,123.0,,135.0,,121.0,
Amortization and Adjustments of Goodwill,0.0,,0.0,,0.0,,0.0,,0.0,
Restructuring Charges - Net,34.0,,-5.0,,0.0,,31.0,,8.0,
Income (Loss) from Operations,654.0,,149.0,,297.0,,221.0,,-13.0,
Interest Expense - Net,69.0,,17.0,,18.0,,19.0,,15.0,
Other Expense (Income) - Net,471.0,,431.0,,21.0,,20.0,,-1.0,
Income Tax Expense (Benefit),34.0,,-111.0,,84.0,,70.0,,-9.0,
Cumulative Effect of Accounting Change - Net of Tax,-12.0,,0.0,,0.0,,-12.0,,0.0,
EPS - Basic (Net Income (Loss) before Accounting Change),0.31000000000000005,,-0.72,,0.67,,0.43,,-0.07,
EPS - Basic (Cumulative Effect of Accounting Change - Net of tax),-0.05,,0.0,,0.0,,-0.05,,0.0,
EPS - Basic (Net Income (Loss)),0.26000000000000006,,-0.72,,0.67,,0.38,,-0.07,
EPS - Diluted (Net Income (Loss) before Accounting Change),0.31000000000000005,,-0.72,,0.67,,0.43,,-0.07,
EPS - Diluted (Cumulative Effect of Accounting Change - Net of tax),-0.04999999999999999,,0.0,,0.0,,-0.04999999999999999,,0.0,
EPS - Diluted (Net Income (Loss)),0.26000000000000006,,-0.72,,0.67,,0.38,,-0.07,
Basic Shares,261.6,,262.1,,261.43336066666666,,261.4181413333333,,261.40047466666664,
Diluted Shares,261.8,,264.4,,261.70593833333334,,261.4278806666667,,261.401833,
