Month,Maximum Daily Injection Quantity  Dth/day/month,Injection Demand Rate  $US/Dth/day/month,Injection Demand Charge (A)  $US/month,Inventory Demand Rate  $US/Dth/month,Inventory Demand Charge (B)  $US/month,Maximum Daily Withdrawal Quantity  Dth/day/month,Withdrawal Demand Rate  $US/Dth/day/month,Withdrawal Demand Charge (C)  $US/month,Monthly Storage Demand Charge (A)+(B)+(C) $US/month,,
April,10000,4,40000,0.03,30000,10000,2,20000,90000,,Rack Rate
May,10000,4,40000,0.03,30000,10000,2,20000,90000,,
June,10000,4,40000,0.03,30000,10000,2,20000,90000,,994000
July,8000,3,24000,0.03,30000,10000,2,20000,74000,,
August,8000,3,24000,0.03,30000,10000,2,20000,74000,,
September,10000,3,30000,0.03,30000,10000,2,20000,80000,,
October,10000,4,40000,0.03,30000,10000,2,20000,90000,,
November,10000,3,30000,0.03,30000,15000,3,45000,105000,,
December,8000,3,24000,0.03,30000,20000,3,60000,114000,,
January,8000,3,24000,0.03,30000,20000,3,60000,114000,,
February,8000,3,24000,0.03,30000,15000,3,45000,99000,,
March,8000,3,24000,0.03,30000,15000,2,30000,84000,,
