,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,1.0,Catawba Valley Community College,,,Hickory,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198233.0,,,5318.0,,,www.cvcc.cc.nc.us
,2.0,Coastal Carolina Community College,,,Jacksonville,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198330.0,,,5316.0,,,www.coastal.cc.nc.us
,3.0,College of Southern Idaho,,,Twin Falls,,ID,,,Associate of Arts Colleges,,,Associate's Colleges,,,142559.0,,,1619.0,,,www.csi.edu
,4.0,Community College of Beaver County,,,Monaca,,PA,,,Associate of Arts Colleges,,,Associate's Colleges,,,211079.0,,,6807.0,,,www.ccbc.edu
,5.0,Lenoir Community College,,,Kinston,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198817.0,,,2940.0,,,www.lenoir.cc.nc.us
,6.0,North Idaho College,,,Coeur d'Alene,,ID,,,Associate of Arts Colleges,,,Associate's Colleges,,,142443.0,,,1623.0,,,www.nidc.edu
,7.0,Northeast Community College,,,Norfolk,,NE,,,Associate of Arts Colleges,,,Associate's Colleges,,,181491.0,,,11667.0,,,www.northeastcollege.com
,8.0,Northwest-Shoals Community College  2/,,,Muscle Shoals,,AL,,,Associate of Arts Colleges,,,Associate's Colleges,,,101736.0,,,5697.0,,,www.nwscc.edu
,9.0,Piedmont Technical College,,,Greenwood,,SC,,,Associate of Arts Colleges,,,Associate's Colleges,,,218520.0,,,3992.0,,,www.ptc.edu
,10.0,Rockingham Community College,,,Wentworth,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,199485.0,,,2958.0,,,www.rcc.cc.nc.us
,11.0,Rogue Community College,,,Grants Pass,,OR,,,Associate of Arts Colleges,,,Associate's Colleges,,,209940.0,,,10182.0,,,www.roguecc.edu
,12.0,San Juan College,,,Farmington,,NM,,,Associate of Arts Colleges,,,Associate's Colleges,,,188100.0,,,2660.0,,,www.sanjuancollege.edu
,13.0,State University of New York (SUNY) College of Technology at Canton,,,Canton,,NY,,,Associate of Arts Colleges,,,Associate's Colleges,,,196015.0,,,2855.0,,,www.canton.edu
,14.0,Washington State Community College,,,Marietta,,OH,,,Associate of Arts Colleges,,,Associate's Colleges,,,206446.0,,,10453.0,,,www.wscc.edu
,15.0,Wayne Community College,,,Goldsboro,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,199892.0,,,2980.0,,,www.waynecc.edu
,,"University of Hawai‘i, Hawai‘i Community College",,,Hilo,,HI,,,Associate of Arts Colleges,,,Associate's Colleges,,,383190.0,,,5258.0,,,www.hawcc.hawaii.edu
