36837.0,"Gordon, r","Chong, d",Scatter,
Ashland,619.0,218.0,1.0,
Bath,322.0,90.0,,
Belmont,1816.0,700.0,,
Benton,76.0,34.0,,
Bridgewater,452.0,94.0,1.0,
Bristol,1117.0,186.0,,
Campton,796.0,374.0,,
Dorchester,130.0,26.0,1.0,
Easton,89.0,61.0,,
Ellsworth,41.0,11.0,,
Groton,180.0,37.0,,
Haverhill,1349.0,288.0,,
Hebron,288.0,52.0,,
Holderness,729.0,344.0,,
Landaff,124.0,41.0,1.0,
Lincoln,480.0,212.0,,
Livermore,0.0,0.0,,
Lyman,175.0,61.0,1.0,
Lyme,473.0,486.0,,
Monroe,354.0,62.0,1.0,
New Hampton,737.0,214.0,7.0,
Orford,359.0,180.0,,
Piermont,284.0,84.0,1.0,
Plymouth,1320.0,1040.0,6.0,
Rumney,571.0,87.0,,
Sanbornton,912.0,432.0,,
Thornton,623.0,287.0,,
Tilton,878.0,445.0,,
Warren,325.0,65.0,,
Waterville Valley,115.0,54.0,,
Wentworth,302.0,71.0,,
Woodstock,390.0,174.0,,
