FALL SEMESTER 2008,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2009,,
"Aug. 12,",Tue.,,Deadline for Readmission,,Jan. 2,Fri.
,,,INTERSESSION,,Jan. 5-16,
"Aug. 22,",Fri.,,International Student Orientation Begins,,"Jan. 13,",Tue.
"Aug. 23,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan. 14,",Wed.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan. 19,",Mon.
"Aug. 27,",Wed.,,CLASSES BEGIN,,"Jan. 20,",Tues.
"Aug. 28,",Thu.,,Late Registration Fees in Effect,,"Jan. 21,",Wed.
"Sept. 1,",Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 8,",Mon.,,Last Day for Registration and to Add a Course,,"Jan. 28,",Wed.
"Sept. 12,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Feb. 4,",Wed.
"Sept. 12,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Feb. 4,",Wed.
"Sept. 23,",Tues.,,Last Day to Apply for Graduation,,"Feb. 13,",Fri.
"Sept. 29,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 8,",Wed.,,Academic Alert Grades Due in EASY,,"Mar. 2,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar. 14-22,
"Oct. 27,",Mon.,,Registration Appointments Available on EASY,,"Mar. 30,",Mon.
"Oct. 30,",Thu.,,Last Day to Drop a Course,,"Mar. 30,",Fri.
"Nov. 10,",Mon.,,Registration for Spring 2009* (Begins),,,
,,,Registration for Fall Semester 2009 & Summer 2009* (Begins),,"Apr. 13,",Mon.
Nov. 27-30,,,<THANKSGIVING RECESS>,,,
"Nov. 21,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr. 17,",Fri.
"Dec. 1,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr. 24,",Fri.
"Dec. 5,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"May 1,",Fri.
Dec. 6-9,,,Reading Days,,May 2-5,
Dec. 10-17,,,FINAL EXAMS,,May 6-14,
,,,Honors Day Convocation (Spring),,TBA,Thu.
"Dec. 17,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 14,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec. 18,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May 15,",Fri.
"Dec. 19,",Fri.,,Housing Closes at NOON for Commencement Participants,,"May 16,",Sat.
"Dec. 20,",Sat.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May 18,",Mon.
"Dec. 24,",Tues.,,Final Grades Available to Students in EASY,,"May 21,",Thu.
