SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,89510,48110,110220,1190,1070,-0.1008,29
11-2022,Sales Managers,BD+,101370,57610,123250,210,210,,5
11-3051,Industrial Production Managers,BD+,77160,51210,90140,220,220,,8
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,48300,31800,56550,220,210,-0.0455,5
13-1023,Purchasing Agents,LT OJT,51680,36080,59480,290,260,-0.10339999999999999,6
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,54360,35600,63740,270,260,-0.037000000000000005,7
13-1051,Cost Estimators,BD,54550,35470,64090,290,320,0.10339999999999999,9
13-1081,Logisticians,BD+,55410,39650,63290,70,70,,2
13-1111,Management Analysts,BD+,71330,42800,85590,340,300,-0.1176,6
13-1151,Training & Development Specialists,BD,46540,30890,54370,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,51910,32560,61590,,,,
13-2011,Accountants & Auditors,BD,55850,35540,66000,1510,1560,0.0331,32
13-2072,Loan Officers,MT OJT,64290,40700,76080,690,610,-0.1159,7
15-1121,Computer Systems Analysts,BD,73690,58320,81380,,,,
15-1131,Computer Programmers,BD,62190,41020,72770,,,,
15-1132,"Software Developers, Applications",BD,77250,54640,88560,,,,
15-1133,"Software Developers, Systems Software",BD,116550,64830,142410,,,,
15-1142,Network & Computer Systems Administrators,BD,63750,42120,74560,,,,
15-1150,Computer Support Specialists,PS,37790,23280,45040,,,,
17-2051,Civil Engineers,BD,70250,51520,79610,240,270,0.125,9
17-2112,Industrial Engineers,BD,72990,49390,84790,210,240,0.1429,8
17-2141,Mechanical Engineers,BD,76180,52480,88020,200,190,-0.05,4
17-3011,Architectural & Civil Drafters,AD,45810,31620,52900,120,130,0.0833,4
17-3013,Mechanical Drafters,AD,41500,31060,46730,90,90,,3
17-3026,Industrial Engineering Technicians,AD,48130,32500,55940,200,190,-0.05,4
19-4021,Biological Technicians,BD,45380,30000,53070,,,,
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,44120,27530,52420,230,250,0.08700000000000001,8
21-1014,Mental Health Counselors,MD,38310,25500,44720,800,920,0.15,28
21-1015,Rehabilitation Counselors,MD,42210,27180,49720,110,100,-0.0909,2
21-1021,"Child, Family & School Social Workers",BD,33500,23870,38310,990,1020,0.030300000000000004,23
21-1022,Healthcare Social Workers,MD,40050,28630,45750,310,320,0.0323,8
21-1023,Mental Health & Substance Abuse Social Workers,BD,30550,20350,35640,280,300,0.0714,8
23-2011,Paralegals & Legal Assistants,AD,41450,30260,47040,190,200,0.0526,4
25-1011,"Business Teachers, Postsecondary",PhD,58810,38910,68760,110,130,0.1818,4
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,64220,42760,74940,110,130,0.1818,4
25-1081,"Education Teachers, Postsecondary",PhD,57060,40110,65540,70,80,0.1429,2
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,51080,34780,59230,190,230,0.21050000000000002,7
25-2011,Preschool Teachers,AD,29900,19200,35240,620,680,0.0968,17
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,61240,48820,67440,80,70,-0.125,2
25-2053,"Special Education Teachers, Middle School",BD,68710,54330,75900,,,,
25-2054,"Special Education Teachers, Secondary School",BD,60890,43340,69670,,,,
27-2022,Coaches & Scouts,LT OJT,24960,16940,28970,150,150,,4
29-1031,Dietitians & Nutritionists,BD,52000,32110,61940,140,140,,4
29-1051,Pharmacists,PROF,99620,74700,112070,410,510,0.2439,16
29-1111,Registered Nurses,AD,58130,47680,63360,4020,4670,0.1617,131
29-1122,Occupational Therapists,MD,76270,61500,83650,230,270,0.1739,7
29-1126,Respiratory Therapists,AD,58220,46700,63980,120,150,0.25,5
29-2011,Medical & Clinical Laboratory Technologists,BD,54720,44060,60060,450,460,0.0222,8
29-2012,Medical & Clinical Laboratory Technicians,AD,36170,25500,41510,440,480,0.0909,11
29-2021,Dental Hygienists,AD,44330,34040,49480,200,220,0.1,6
29-2031,Cardiovascular Technologists & Technicians,AD,51270,36670,58570,100,110,0.1,3
29-2032,Diagnostic Medical Sonographers,AD,64620,49490,72180,60,70,0.16670000000000001,2
29-2037,Radiologic Technologists & Technicians,AD,53700,37860,61620,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,30640,21540,35190,620,640,0.0323,9
29-2052,Pharmacy Technicians,MT OJT,27620,20400,31230,460,620,0.3478,30
29-2055,Surgical Technologists,PS,41420,32370,45940,160,190,0.1875,8
29-2056,Veterinary Technologists & Technicians,AD,,,,100,140,0.4,7
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,39510,33420,42560,1730,1810,0.0462,55
29-2071,Medical Records & Health Information Technicians,PS,29440,20440,33950,330,360,0.0909,13
31-1011,Home Health Aides,ST OJT,22520,17180,25190,2360,2840,0.2034,70
31-1012,"Nursing Aides, Orderlies & Attendants",PS,26500,20580,29450,3380,3710,0.09759999999999999,64
31-2011,Occupational Therapy Assistants,AD,44420,37770,47750,70,100,0.4286,3
31-2021,Physical Therapist Assistants,AD,42510,30600,48470,120,140,0.16670000000000001,5
31-9091,Dental Assistants,PS,33790,24510,38430,520,590,0.1346,16
35-2012,"Cooks, Institution & Cafeteria",ST OJT,24670,20010,27000,720,760,0.055600000000000004,24
35-2014,"Cooks, Restaurant",MT OJT,25460,17370,29500,1560,1660,0.0641,52
37-2021,Pest Control Workers,MT OJT,28830,26230,30140,50,50,,1
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,23340,18960,25520,680,730,0.07350000000000001,13
41-1011,Supervisors - Retail Sales Workers,WK EXP,41400,28320,47940,1930,1950,0.0104,43
41-2022,Parts Salespersons,MT OJT,26250,18940,29900,370,330,-0.1081,4
41-3021,Insurance Sales Agents,MT OJT,60950,34810,74020,580,590,0.0172,13
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,46430,21760,58760,260,250,-0.0385,7
41-4011,"Sales Representatives, Technical & Scientific Products",BD,87980,49670,107140,250,230,-0.08,6
41-4012,Sales Representatives,MT OJT,57750,31220,71020,2620,2640,0.0076,60
41-9022,Real Estate Sales Agents,LT OJT,56880,35960,67340,360,340,-0.055600000000000004,6
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,48380,31750,56700,1640,1540,-0.061000000000000006,34
43-3011,Bill & Account Collectors,MT OJT,29190,21060,33260,330,380,0.1515,10
43-3021,Billing & Posting Clerks,ST OJT,28100,19810,32240,650,620,-0.0462,8
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,32310,22540,37190,3140,3220,0.025500000000000002,57
43-4051,Customer Service Representatives,ST OJT,28930,20390,33190,3570,3980,0.1148,140
43-4111,Interviewers,ST OJT,32250,21720,37510,180,200,0.11109999999999999,7
43-4131,Loan Interviewers & Clerks,ST OJT,28080,21750,31240,210,160,-0.23809999999999998,4
43-5011,Cargo & Freight Agents,ST OJT,44270,34580,49120,,,,
43-5061,"Production, Planning & Expediting Clerks",MT OJT,44780,29940,52200,390,380,-0.0256,11
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,31840,22170,36680,1460,1470,0.0068000000000000005,36
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,41690,28070,48510,1040,1050,0.0096,18
43-6012,Legal Secretaries,MT OJT,32480,27080,35180,340,320,-0.0588,5
43-6014,Secretaries,ST OJT,29380,21000,33570,3240,2950,-0.08950000000000001,52
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,33490,25420,37530,490,430,-0.12240000000000001,6
43-9061,"Office Clerks, General",ST OJT,26990,18290,31340,6010,5980,-0.005,110
45-1011,Farm & Forestry Worker Supervisors,WK EXP,53870,28520,66550,50,60,0.2,1
45-2092,"Farmworkers & Laborers, Crop, Nursery & Greenhouse",ST OJT,21110,16830,23250,750,830,0.1067,27
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,61730,42650,71270,580,570,-0.0172,8
47-2021,Brickmasons & Blockmasons,LT OJT,,,,70,70,,2
47-2031,Carpenters,LT OJT,36060,26600,40780,1930,1830,-0.0518,26
47-2051,Cement Masons & Concrete Finishers,MT OJT,40460,30170,45610,350,360,0.0286,10
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,41860,31900,46830,750,780,0.04,18
47-2111,Electricians,LT OJT,44840,31500,51520,640,630,-0.015600000000000001,17
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,,,,
47-2141,"Painters, Construction & Maintenance",MT OJT,36690,21090,44480,250,260,0.04,6
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,39900,27210,46240,200,210,0.05,5
47-2181,Roofers,MT OJT,32420,21710,37770,90,90,,2
47-2211,Sheet Metal Workers,LT OJT,47300,30410,55750,260,250,-0.0385,6
47-4011,Construction & Building Inspectors,WK EXP,38600,22950,46430,150,160,0.0667,3
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,20,20,,0
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,,,,
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,59330,39360,69320,540,520,-0.037000000000000005,13
49-2021,"Radio, Cellular & Tower Equipment Installers & Repairers",AD,,,,,,,
49-2022,Telecommunications Equipment Installers & Repairers,PS,58660,39330,68330,260,280,0.07690000000000001,8
49-2091,Avionics Technicians,PS,,,,,,,
49-2094,"Electrical & Electronics Repairers, Commercial & Industrial Equipment",PS,48260,38560,53110,120,130,0.0833,5
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,65380,55250,70450,50,40,-0.2,2
49-2098,Security & Fire Alarm Systems Installers,MT OJT,39070,25440,45880,70,80,0.1429,2
49-3021,Automotive Body & Related Repairers,MT OJT,31760,20950,37170,320,310,-0.0313,8
49-3023,Automotive Service Technicians & Mechanics,LT OJT,29900,20640,34530,1370,1380,0.0073,29
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,40230,30770,44960,460,480,0.043500000000000004,13
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,46550,32900,53370,710,700,-0.0141,12
49-9041,Industrial Machinery Mechanics,LT OJT,42710,32940,47600,730,770,0.0548,16
49-9043,"Maintenance Workers, Machinery",MT OJT,37710,28780,42170,160,150,-0.0625,3
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,,,,260,250,-0.0385,8
49-9052,Telecommunications Line Installers & Repairers,LT OJT,51920,35200,60270,230,240,0.043500000000000004,7
49-9071,"Maintenance & Repair Workers, General",MT OJT,33770,24480,38420,,,,
51-1011,Supervisors - Production & Operating Workers,PS,53070,35410,61900,1450,1300,-0.10339999999999999,24
51-3021,Butchers & Meat Cutters,LT OJT,31870,23580,36020,660,700,0.06060000000000001,25
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,30030,18450,35830,520,490,-0.0577,6
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,43680,33750,48640,40,40,,1
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,35510,28060,39240,770,750,-0.026000000000000002,21
51-4041,Machinists,LT OJT,38440,28960,43170,710,700,-0.0141,11
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,34310,27610,37660,220,230,0.0455,5
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,34320,28530,37220,720,660,-0.0833,15
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,34760,30130,37080,60,50,-0.16670000000000001,1
51-8013,Power Plant Operators,LT OJT,61770,47690,68800,200,180,-0.1,7
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,43410,34510,47860,310,290,-0.0645,5
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,33030,24240,37420,770,690,-0.1039,11
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,30210,20100,35260,1450,1440,-0.006900000000000001,27
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,49470,38140,55130,420,450,0.0714,12
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,56080,40840,63700,430,460,0.0698,12
53-3031,Driver/Sales Workers,ST OJT,33170,24790,37360,630,600,-0.047599999999999996,11
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,35790,27070,40150,3860,4130,0.0699,96
53-3033,Light Truck or Delivery Services Drivers,ST OJT,32620,20550,38650,1640,1650,0.0060999999999999995,29
53-7051,Industrial Truck & Tractor Operators,ST OJT,32570,25560,36080,2590,2620,0.0116,69
53-7073,Wellhead Pumpers,MT OJT,,,,,,,
