,Budget Division,2009-10 Credits,2010-11 Credits,Instructional SCH Undergrad 2011-12 SCH,Graduate 2011-12 SCH,total,Lab SCH Undergrad 2011-12 HC,Graduate 2011-12 HC,,Total,,USTD 1101 is fee based course USTD 1201 is tuition based
AG,Agriculture,,4578,5566,316,5882,48,0,48.0,5930,,
AM,Art & Music,,7193,5672,0,5672,1816,0,1816.0,7488,,
BIO,Biology,,10665,10970,257,11227,32,0,32.0,11259,,
BCHM,Chemistry & Biochemistry,,4606,5116,6,5122,383,0,383.0,5505,,
CMMT,"Communication, Mass Media, & Theatre",,9749,9597,300,9897,0,0,0.0,9897,,
EML,English & Modern Langagues,,17274,16530,207,16737,0,0,0.0,16737,,
POLS,Pol Science & Criminal Justice,,10161,3441,0,3441,0,0,0.0,3441,,
HIP,History & Political Science,,9732,12708,54,12762,0,0,0.0,12762,,
MCS,Mathematics & Computer Science,,17192,16717,0,16717,0,0,0.0,16717,,
PHYS,Physics,,7612,6536,0,6536,740,0,740.0,7276,,
AEF,"Accounting, Economics, & Finance",,8826,7806,405,8211,0,0,0.0,8211,,
AS,Aerospace Studies,,514,276,0,276,0,0,0.0,276,,
MM,Management & marketing,,7130,6195,504,6699,0,0,0.0,6699,,
SSCJ,Security Studies & Criminal Justice,,,3730,408,4138,0,0,0.0,4138,,
ED,Teacher Education,,7017,2997,351,3348,0,0,0.0,3348,,
CI,Curriculum & Instruction,,5412,1158,3618,4776,0,0,0.0,4776,,
KIN,Kinesiology,,6400,4248,471,4719,0,0,0.0,4719,,
NRS,Nursing,,10078,8227,2520,10747,306,0,306.0,11053,,
,Athletic Training,,,,,0,,,0.0,0,,
,Physical Therapy,,1101,,,0,,,0.0,0,,
PSS,"Psychology, Sociology & Social Work",,13689,11853,1245,13098,0,0,0.0,13098,,
HONR/USTD,Academic Affairs,,1422,1944,0,1944,0,0,0.0,1944,,
