Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,,,,,,,,,,,,,,
Number of Dwelling Units ;  Northern Territory ;  New ;  Total houses ;,,,Original,A418986F,1970-07-01 00:00:00,2010-10-01 00:00:00,484,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Semi-detached, row or terrace house, townhouse with one storey and similar ;",,,Original,A416289L,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Semi-detached, row or terrace house, townhouse with two or more storeys ;",,,Original,A423400F,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Total semi-detached, row or terrace houses, townhouses and similar ;",,,Original,A416928W,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of one or two storeys ;",,,Original,A424039W,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of three storeys ;",,,Original,A424591A,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of four or more storeys ;",,,Original,A425176K,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
"Number of Dwelling Units ;  Northern Territory ;  New ;  Total flats, units or apartments, excl. att flats and other/unknown ;",,,Original,A417579C,1991-07-01 00:00:00,2010-10-01 00:00:00,232,Number,FLOW,Month,1,,,,,,,,,,,,,,
Number of Dwelling Units ;  Northern Territory ;  New ;  Total other residential building ;,,,Original,A419674L,1970-07-01 00:00:00,2010-10-01 00:00:00,484,Number,FLOW,Month,1,,,,,,,,,,,,,,
Number of Dwelling Units ;  Northern Territory ;  New ;  Total residential building ;,,,Original,A420416V,1956-01-01 00:00:00,2010-10-01 00:00:00,658,Number,FLOW,Month,1,,,,,,,,,,,,,,
Value of Approval ;  Northern Territory ;  New ;  Total houses ;,,,Original,A418988K,1970-07-01 00:00:00,2010-10-01 00:00:00,484,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Semi-detached, row or terrace house, townhouse with one storey and similar ;",,,Original,A416291X,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Semi-detached, row or terrace house, townhouse with two or more storeys ;",,,Original,A423402K,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Total semi-detached, row or terrace houses, townhouses and similar ;",,,Original,A416930J,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of one or two storeys ;",,,Original,A424041J,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of three storeys ;",,,Original,A424593F,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Flat, unit or apartment in a building of four or more storeys ;",,,Original,A425178R,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
"Value of Approval ;  Northern Territory ;  New ;  Total flats, units or apartments, excl. att flats and other/unknown ;",,,Original,A417581R,1991-07-01 00:00:00,2010-10-01 00:00:00,232,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Value of Approval ;  Northern Territory ;  New ;  Total other residential building ;,,,Original,A419676T,1970-07-01 00:00:00,2010-10-01 00:00:00,484,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Value of Approval ;  Northern Territory ;  New ;  Total residential building ;,,,Original,A420418X,1970-07-01 00:00:00,2010-10-01 00:00:00,484,$'000,FLOW,Month,1,,,,,,,,,,,,,,
