SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,91680,49200,112920,530,500,-0.056600000000000004,13
11-2022,Sales Managers,BD+,114180,62330,140110,130,130,,3
11-3051,Industrial Production Managers,BD+,80990,60760,91110,120,110,-0.0833,4
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,56660,35370,67300,80,70,-0.125,2
13-1023,Purchasing Agents,LT OJT,53370,38760,60670,140,130,-0.0714,3
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,65000,49650,72680,80,80,,2
13-1051,Cost Estimators,BD,69010,34820,86110,130,150,0.15380000000000002,4
13-1081,Logisticians,BD+,66030,54470,71820,10,10,,0
13-1111,Management Analysts,BD+,66870,43050,78780,120,120,,2
13-1151,Training & Development Specialists,BD,29210,16610,35500,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,40700,33350,44380,,,,
13-2011,Accountants & Auditors,BD,57450,36410,67970,510,550,0.0784,13
13-2072,Loan Officers,MT OJT,45700,26790,55160,130,130,,1
15-1121,Computer Systems Analysts,BD,75780,44810,91260,,,,
15-1131,Computer Programmers,BD,80030,54840,92620,,,,
15-1132,"Software Developers, Applications",BD,70400,48650,81280,,,,
15-1133,"Software Developers, Systems Software",BD,68810,64980,70720,,,,
15-1142,Network & Computer Systems Administrators,BD,59040,47160,64970,,,,
15-1150,Computer Support Specialists,PS,46440,25670,56830,,,,
17-2051,Civil Engineers,BD,91120,56780,108280,80,80,,2
17-2112,Industrial Engineers,BD,70090,49860,80210,130,150,0.15380000000000002,6
17-2141,Mechanical Engineers,BD,76490,50970,89260,170,180,0.0588,4
17-3011,Architectural & Civil Drafters,AD,40910,31950,45400,40,40,,1
17-3013,Mechanical Drafters,AD,44040,31420,50350,40,40,,1
17-3026,Industrial Engineering Technicians,AD,47760,37850,52720,70,80,0.1429,2
19-4021,Biological Technicians,BD,,,,10,10,,0
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,36250,27120,40810,170,210,0.2353,7
21-1014,Mental Health Counselors,MD,48000,29210,57400,390,450,0.15380000000000002,14
21-1015,Rehabilitation Counselors,MD,32090,19770,38250,160,180,0.125,5
21-1021,"Child, Family & School Social Workers",BD,37040,27300,41900,230,250,0.08700000000000001,7
21-1022,Healthcare Social Workers,MD,33980,27220,37370,480,530,0.1042,15
21-1023,Mental Health & Substance Abuse Social Workers,BD,,,,240,280,0.16670000000000001,10
23-2011,Paralegals & Legal Assistants,AD,34980,17290,43820,10,10,,0
25-1011,"Business Teachers, Postsecondary",PhD,,,,30,40,0.3333,2
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,,,,60,70,0.16670000000000001,2
25-1081,"Education Teachers, Postsecondary",PhD,,,,30,30,,2
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,,,,80,100,0.25,3
25-2011,Preschool Teachers,AD,33020,22570,38240,110,120,0.0909,3
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,62060,48100,69040,30,30,,1
25-2053,"Special Education Teachers, Middle School",BD,52600,40260,58770,,,,
25-2054,"Special Education Teachers, Secondary School",BD,53660,40590,60190,,,,
27-2022,Coaches & Scouts,LT OJT,30650,16860,37550,200,210,0.05,6
29-1031,Dietitians & Nutritionists,BD,51850,29550,63010,20,20,,1
29-1051,Pharmacists,PROF,100750,85040,108610,190,230,0.21050000000000002,7
29-1111,Registered Nurses,AD,53540,39970,60330,2020,2350,0.1634,66
29-1122,Occupational Therapists,MD,59950,43160,68350,60,70,0.16670000000000001,2
29-1126,Respiratory Therapists,AD,51920,40880,57450,40,50,0.25,2
29-2011,Medical & Clinical Laboratory Technologists,BD,48350,35330,54850,90,80,-0.11109999999999999,1
29-2012,Medical & Clinical Laboratory Technicians,AD,39880,28260,45690,120,130,0.0833,3
29-2021,Dental Hygienists,AD,56570,51140,59280,40,40,,2
29-2031,Cardiovascular Technologists & Technicians,AD,51190,31850,60860,10,20,1,0
29-2032,Diagnostic Medical Sonographers,AD,59340,46940,65530,30,30,,0
29-2037,Radiologic Technologists & Technicians,AD,45810,35030,51200,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,27320,18870,31550,290,310,0.069,5
29-2052,Pharmacy Technicians,MT OJT,23530,19170,25710,200,270,0.35,13
29-2055,Surgical Technologists,PS,37830,28490,42490,70,80,0.1429,3
29-2056,Veterinary Technologists & Technicians,AD,27150,21950,29760,60,80,0.3333,3
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,35920,30920,38420,670,700,0.044800000000000006,21
29-2071,Medical Records & Health Information Technicians,PS,32440,22540,37390,130,130,,4
31-1012,"Nursing Aides, Orderlies & Attendants",PS,23370,20670,24720,1320,1440,0.0909,23
31-2011,Occupational Therapy Assistants,AD,46780,40800,49770,20,20,,1
31-2021,Physical Therapist Assistants,AD,37730,27780,42700,100,120,0.2,3
31-9091,Dental Assistants,PS,31730,23530,35830,220,250,0.1364,7
33-3012,Correctional Officers & Jailers,MT OJT,48000,34070,54960,260,270,0.0385,7
37-2021,Pest Control Workers,MT OJT,,,,10,10,,0
41-1011,Supervisors - Retail Sales Workers,WK EXP,37570,24790,43950,810,840,0.037000000000000005,19
41-2022,Parts Salespersons,MT OJT,24020,18880,26600,400,360,-0.1,5
41-3021,Insurance Sales Agents,MT OJT,86960,42470,109200,80,80,,2
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,46900,25910,57400,110,110,,3
41-4011,"Sales Representatives, Technical & Scientific Products",BD,63540,39620,75510,240,250,0.0417,6
41-4012,Sales Representatives,MT OJT,55720,27650,69760,840,830,-0.011899999999999999,18
41-9022,Real Estate Sales Agents,LT OJT,48680,34830,55610,190,180,-0.0526,3
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,48040,31600,56260,580,550,-0.051699999999999996,12
43-3011,Bill & Account Collectors,MT OJT,29240,21750,32980,100,110,0.1,3
43-3021,Billing & Posting Clerks,ST OJT,28550,20470,32590,410,390,-0.048799999999999996,5
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,31570,20880,36920,1160,1190,0.0259,21
43-4051,Customer Service Representatives,ST OJT,31550,22140,36250,1200,1280,0.0667,41
43-4111,Interviewers,ST OJT,32990,23770,37600,120,120,,3
43-4131,Loan Interviewers & Clerks,ST OJT,31880,26460,34580,90,70,-0.22219999999999998,2
43-5011,Cargo & Freight Agents,ST OJT,,,,,,,
43-5061,"Production, Planning & Expediting Clerks",MT OJT,41620,32540,46170,180,190,0.055600000000000004,5
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,30870,23660,34480,490,470,-0.0408,12
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,43760,29450,50920,320,340,0.0625,7
43-6012,Legal Secretaries,MT OJT,33400,25020,37590,150,150,,2
43-6014,Secretaries,ST OJT,27200,19300,31160,1340,1250,-0.0672,21
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,32420,27330,34970,180,160,-0.11109999999999999,2
43-9061,"Office Clerks, General",ST OJT,24890,17520,28570,2230,2280,0.022400000000000003,46
45-1011,Farm & Forestry Worker Supervisors,WK EXP,,,,30,30,,1
45-4021,Fallers,MT OJT,,,,,,,
45-4022,Logging Equipment Operators,MT OJT,,,,,,,
45-4023,Log Graders & Scalers,MT OJT,,,,10,10,,0
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,67650,40710,81120,210,210,,4
47-2021,Brickmasons & Blockmasons,LT OJT,40340,30640,45190,160,160,,3
47-2031,Carpenters,LT OJT,39890,26560,46550,480,490,0.0208,8
47-2051,Cement Masons & Concrete Finishers,MT OJT,33530,19910,40340,190,190,,6
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,48330,28510,58240,200,210,0.05,5
47-2111,Electricians,LT OJT,53090,35710,61780,350,370,0.0571,10
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,,,,
47-2141,"Painters, Construction & Maintenance",MT OJT,26230,19010,29840,80,80,,1
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,42050,32910,46620,130,140,0.07690000000000001,4
47-2181,Roofers,MT OJT,,,,70,80,0.1429,2
47-2211,Sheet Metal Workers,LT OJT,47560,31380,55650,50,50,,1
47-4011,Construction & Building Inspectors,WK EXP,37360,22090,45000,40,40,,1
47-5011,"Derrick Operators, Oil & Gas",ST OJT,,,,,,,
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,20,30,0.5,1
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,10,10,,0
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,30,40,0.3333,2
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,60050,40490,69840,230,230,,5
49-2022,Telecommunications Equipment Installers & Repairers,PS,,,,210,190,-0.09519999999999999,5
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,39090,25880,45700,20,20,,0
49-3021,Automotive Body & Related Repairers,MT OJT,37230,31520,40090,60,60,,1
49-3023,Automotive Service Technicians & Mechanics,LT OJT,38980,25520,45700,670,700,0.044800000000000006,17
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,36490,29890,39790,170,170,,5
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,39180,27620,44970,150,160,0.0667,4
49-9041,Industrial Machinery Mechanics,LT OJT,44310,32120,50400,360,380,0.055600000000000004,8
49-9043,"Maintenance Workers, Machinery",MT OJT,37290,28620,41630,30,30,,1
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,,,,70,70,,2
49-9052,Telecommunications Line Installers & Repairers,LT OJT,57060,38720,66230,140,130,-0.0714,4
49-9071,"Maintenance & Repair Workers, General",MT OJT,32740,20330,38940,,,,
51-1011,Supervisors - Production & Operating Workers,PS,51640,37130,58890,670,630,-0.059699999999999996,11
51-3021,Butchers & Meat Cutters,LT OJT,28610,20660,32590,80,80,,3
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,34170,21460,40520,100,110,0.1,2
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,42650,33950,46990,10,10,,0
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,35040,30830,37150,100,100,,3
51-4041,Machinists,LT OJT,35680,24270,41380,350,390,0.1143,10
