Accident Year,Catastrophe Incurred Losses,Total Incurred Losses,,,,,,
1993-06-30 00:00:00,0,0,,,,,,
1994-06-30 00:00:00,0,0,,,,,,
1995-06-30 00:00:00,0,0,,,,,,
1996-06-30 00:00:00,0,0,,,,,,
1997-06-30 00:00:00,0,0,,,,,,
1998-06-30 00:00:00,0,0,,,,,,
1999-06-30 00:00:00,0,0,,,,,,
2000-06-30 00:00:00,0,0,,,,,,
2001-06-30 00:00:00,0,0,,,,,,
2002-06-30 00:00:00,0,0,,,,,,
2003-06-30 00:00:00,0,0,,,,,,
2004-06-30 00:00:00,0,0,,,,,,
2005-06-30 00:00:00,0,0,,,,,,
2006-06-30 00:00:00,0,0,,,,,,
2007-06-30 00:00:00,11913,30112,,,,,,
2008-06-30 00:00:00,1417,152987,,,,,,
2009-06-30 00:00:00,28794,475219,,,,,,
2010-06-30 00:00:00,437062,977122,,,,,,
2011-06-30 00:00:00,90147,1236344,,,,,,
2012-06-30 00:00:00,326451,1062685,,,,,,
