"A ITEM NO.
(CM's Cost Codes)","B DESCRIPTION OF WORK
Trade Contractor Name & Scope of Work",C SCHEDULE OF VALUES ORIGINAL,"CHANGE ORDERS OWNER
CHANGE",OWNER DIRECT PURCHASE,"BID/TAX
SAVINGS","CM
CONTINGENCY",CURRENT,D WORK COMPLETED FROM PREVIOUS CERT.,E  THIS PERIOD,"F MATERIALS PRESENTLY STORED
(Not in D or E)","G TOTAL COMPLETED & STORED 
 (D + E + F)","% COMPLETE
(G / Current)","H BALANCE TO FINISH
(Current - G)",I RETAINAGE Minimum 10%,Exceptions
1.0,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
2.0,Sitework,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
2.1,Sub-Contractor A,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,Sub-Contractor B,100000.0,0.0,0.0,-60.0,0.0,99940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
,Sub-Contractor C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
4.0,Masonry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
5.0,Metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
6.0,Wood & Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
7.0,Thermal & Moisture Protection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
8.0,Doors & Windows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
9.0,Finishes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
10.0,Specialties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
11.0,Equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
12.0,Furnishings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
13.0,Special Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
14.0,Conveying System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
15.0,Mechanical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
16.0,Electrical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0
