,Democratic,Republican,Undeclared,Total,,#1,,,,,
Belknap County,11491.0,15770.0,18030.0,45291.0,,3220.0,,,,,
Carroll County,8349.0,12337.0,18511.0,39197.0,,2033.0,,,,,
Cheshire County,18855.0,13716.0,26154.0,58725.0,,5622.0,,,,,
Coos County,7054.0,5714.0,9341.0,22109.0,,1443.0,,,,,
Grafton County,20863.0,17209.0,30294.0,68366.0,,5729.0,,,,,
Hillsborough County,80148.0,83505.0,109206.0,272859.0,,23125.0,,,,,
Merrimack County,32899.0,33008.0,43599.0,109506.0,,8963.0,,,,,
Rockingham County,64061.0,69397.0,91775.0,225233.0,,14600.0,,,,,
Strafford County,29735.0,21733.0,35900.0,87368.0,,9789.0,,,,,
Sullivan County,8966.0,8118.0,12790.0,29874.0,,2231.0,,,,,
