,ERCOT OFF PEAK,ERCOT R6,NYMEX GAS,,Days,,,,,,
2001-11-01 00:00:00,17.5,20,4.35,,21,0.0,0.0,,0.55,,
2001-12-01 00:00:00,16,22.75,2.606,,20,,0.0,,Delta,,
2002-01-01 00:00:00,19.704000000000004,25.32,2.915,,22,,2.951,,0.55,0.0,19.47
2002-02-01 00:00:00,18.698545454545457,24.57,2.97,,20,,3.006,,0.55,0.0,
2002-03-01 00:00:00,18.530627450980393,24.75,2.935,,21,,2.972,,0.55,0.0,
2002-04-01 00:00:00,17.88626086956522,24.45,2.99,,22,,2.911,,0.55,0.0,
2002-05-01 00:00:00,18.876244897959186,26.795,2.99,,22,,2.949,,0.55,0.0,
2002-06-01 00:00:00,20.5758,30.45,2.99,,20,,2.987,,0.55,0.0,
2002-07-01 00:00:00,24.548000000000002,38.35,2.99,,22,,3.024,,0.55,0.0,
2002-08-01 00:00:00,24.312081632653058,38.35,2.99,,22,,3.057,,0.55,0.0,
2002-09-01 00:00:00,19.27988,27.5,2.99,,20,,3.06,,0.55,0.0,
2002-10-01 00:00:00,18.365851063829787,27.63,2.99,,23,,3.079,,0.55,0.0,
2002-11-01 00:00:00,18.936000000000003,26.63,3.24,,20,,3.259,,0.55,0.0,
2002-12-01 00:00:00,20.016882352941177,27.03,3.42,,21,,3.439,,0.55,0.0,
2003-01-01 00:00:00,21.494408163265305,29.42,,,22,,,,,,
2003-02-01 00:00:00,21.467636363636363,28.27,,,20,,,,,,
2003-03-01 00:00:00,20.621019607843138,26.666,,,21,,,,,,
2003-04-01 00:00:00,19.759304347826088,27.45,,,22,,,,,,
2003-05-01 00:00:00,20.533960784313724,29.7,,,21,,,,,,
2003-06-01 00:00:00,21.909583333333334,33.25,,,21,,,,,,
2003-07-01 00:00:00,25.367591836734697,41.99,,,22,,,,,,
2003-08-01 00:00:00,24.688666666666673,41.59,,,21,,,,,,
2003-09-01 00:00:00,19.132958333333335,30.45,,,21,,,,,,
2003-10-01 00:00:00,17.965,28.77,,,23,,,,,,
2003-11-01 00:00:00,18.552846153846154,27.77,,,19,,,,,,
2003-12-01 00:00:00,19.477,28.67,,,22,,,,,,
2004-01-01 00:00:00,22.308274509803923,29.46,,,,,,,,,
2004-02-01 00:00:00,22.37663829787234,28.71,,,,,,,,,
2004-03-01 00:00:00,20.9891914893617,27.146,,,,,,,,,
2004-04-01 00:00:00,20.55060869565218,27.93,,,,,,,,,
2004-05-01 00:00:00,21.537320754716983,29.89,,,,,,,,,
2004-06-01 00:00:00,22.36921739130435,33.94,,,,,,,,,
2004-07-01 00:00:00,26.585725490196083,43.49,,,,,,,,,
2004-08-01 00:00:00,25.140040816326533,43.09,,,,,,,,,
2004-09-01 00:00:00,19.928791666666665,30.84,,,,,,,,,
2004-10-01 00:00:00,19.138137254901963,29.06,,,,,,,,,
2004-11-01 00:00:00,19.001208333333334,28.06,,,,,,,,,
2004-12-01 00:00:00,20.10640425531915,28.96,,,,,,,,,
Cal-01,2.696078431372549,,,,255,,,,,,
Cal-02,19.995692989197067,,,,255,,,,,,
Cal-03,20.91695867875793,,,,255,,,,,,
Cal-04,,,,,,,,,,,
Q3-00,#REF!,,,,63,,,,,,
Q4-00,#REF!,,,,63,,,,,,
Q1-01,#REF!,,,,64,,,,,,
Q2-01,#REF!,,,,64,,,,,,
Q3-01,#REF!,,,,63,,,,,,
Q4-01,10.7421875,,,,64,,,,,,
Q1-02,18.993683897801546,,,,63,,,,,,
Q2-02,19.067048857586517,,,,64,,,,,,
Q3-02,22.820615561224493,,,,64,,,,,,
Q4-02,19.085767248122657,,,,64,,,,,,
Q1-03,21.194779660782064,,,,63,,,,,,
Q2-03,20.71904878316816,,,,64,,,,,,
Q3-03,23.099080397002552,,,,64,,,,,,
Q4-03,18.65926682692308,,,,64,,,,,,
Q1-04,,,,,,,,,,,
Q2-04,,,,,,,,,,,
Q3-04,,,,,,,,,,,
Q4-04,,,,,,,,,,,
Wnt-01,#REF!,,,,42,,,,,,
Wnt-02,19.225212121212124,,,,42,,,,,,
Wnt-03,21.481659687251522,,,,42,,,,,,
Wnt-04,,,,,,,,,,,
Smr-00,#REF!,,,,43,,,,,,
Smr-01,#REF!,,,,44,,,,,,
Smr-02,24.430040816326535,,,,44,,,,,,
Smr-03,25.036023730422404,,,,43,,,,,,
Smr-04,,,,,,,,,,,
Spr-01,#REF!,,,,43,,,,,,
Spr-02,18.20095152560519,,,,43,,,,,,
Spr-03,20.180142032950695,,,,43,,,,,,
Spr-04,,,,,,,,,,,
